0.5670083799761115 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.5278778187074386 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.5167132739675017 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.5101016267392703 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.5096545036606084 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.4853445752888183 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.4845146456288086 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.4829087132214169 {'batch_size': 1024, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [128, 64, 32, 16, 8], 'learning_rate': 0.0005, 'verbose': 0}
0.4808303960217183 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.025, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.47957226801452624 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.47293357606291325 {'batch_size': 256, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.05, 0, 0, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
0.46599188888743087 {'batch_size': 512, 'callbacks': [<__main__.RacePerformanceMetricCallback object at 0x0000017D19419C90>], 'class_weight': {0: 0.5142090764100333, 1: 18.09438775510204}, 'dropout': [0.4, 0.3, 0.2, 0, 0], 'epochs': 100, 'layers': [256, 128, 64, 32, 16], 'learning_rate': 0.0005, 'verbose': 0}
