LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:34.462000,1.0,,ULTRASOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,5.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,HYPERSOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,HYPERSOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,HYPERSOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,HYPERSOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,SUPERSOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,5.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,1.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,1.0,,ULTRASOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:33:34.462000,0.0,,HYPERSOFT,4.0,24,1,,,Abu Dhabi,0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:35:49.356000,2.0,,ULTRASOFT,5.0,4,1,,,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:35:57.592000,2.0,,ULTRASOFT,5.0,4,1,441.74777777777945,44,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:35:58.930000,2.0,,ULTRASOFT,5.0,4,1,72.08055555555347,77,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:35:59.404000,2.0,,ULTRASOFT,6.0,4,1,30.773888888891634,5,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:02.016000,2.0,,HYPERSOFT,5.0,4,1,141.37944444444292,7,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:03.471000,2.0,,ULTRASOFT,6.0,4,1,122.88499999999476,16,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:04.531000,2.0,,HYPERSOFT,5.0,4,1,28.95027777778614,3,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:05.121000,2.0,,HYPERSOFT,5.0,4,1,13.816111111118516,8,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:07.556000,2.0,,HYPERSOFT,5.0,4,1,13.543888888880247,11,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:08.671000,2.0,,ULTRASOFT,2.0,4,1,113.66694444443783,31,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:09.723000,2.0,,ULTRASOFT,2.0,4,1,23.09277777778516,33,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:12.049000,2.0,,SUPERSOFT,2.0,4,1,143.69416666666802,55,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:13.218000,2.0,,SUPERSOFT,2.0,4,1,17.66361111110018,9,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:15.337000,2.0,,ULTRASOFT,2.0,4,1,104.09444444445126,10,Abu Dhabi,0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:16.961000,2.0,,SUPERSOFT,2.0,4,1,46.5847222222219,14,Abu Dhabi,0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:36:18.398000,2.0,,SUPERSOFT,2.0,4,1,173.69138888889665,18,Abu Dhabi,0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:36:20.210000,2.0,,SUPERSOFT,2.0,4,1,79.10361111110888,20,Abu Dhabi,0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:36:21.053000,2.0,,SUPERSOFT,2.0,4,1,12.672777777782358,2,Abu Dhabi,0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:36:22.296000,2.0,,ULTRASOFT,2.0,4,1,118.53583333332881,35,Abu Dhabi,0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:38:37.707000,3.0,,ULTRASOFT,6.0,4,1,,,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:38.853000,3.0,,ULTRASOFT,6.0,4,1,61.00694444441251,44,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:39.536000,3.0,,ULTRASOFT,6.0,4,1,9.426388888918154,77,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:41.743000,3.0,,ULTRASOFT,7.0,4,1,98.48527777778327,5,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:42.726000,3.0,,HYPERSOFT,6.0,4,1,38.839999999981956,7,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:44.143000,3.0,,ULTRASOFT,7.0,4,1,83.31111111112114,16,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:45.257000,3.0,,HYPERSOFT,6.0,4,1,6.157499999992069,3,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:46.078000,3.0,,HYPERSOFT,6.0,4,1,38.983888888884394,8,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:46.807000,3.0,,HYPERSOFT,6.0,4,1,47.0911111111036,31,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:48.503000,3.0,,ULTRASOFT,3.0,4,1,31.191388888926667,33,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:49.694000,3.0,,ULTRASOFT,3.0,4,1,13.751388888858855,11,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:51.820000,3.0,,SUPERSOFT,3.0,4,1,174.23500000001695,55,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:52.957000,3.0,,SUPERSOFT,3.0,4,1,9.76083333331917,9,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:54.622000,3.0,,ULTRASOFT,3.0,4,1,94.6841666666769,10,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:57.048000,3.0,,SUPERSOFT,3.0,4,1,77.55805555554798,14,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:58.150000,3.0,,SUPERSOFT,3.0,4,1,165.59138888888992,18,Abu Dhabi,0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
