LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
403.395,1,,33,,,,1,,,,OutLap,False,0,3,2.224,1.469,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,3,,,,1,,,,OutLap,False,0,5,3.25,0.526,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,28,,,,1,,,,OutLap,False,0,18,8.687,0.346,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,44,,,,1,,,,OutLap,False,0,1,0.0,0.0,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,7,,,,1,,,,OutLap,False,0,4,2.724,0.5,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,2,,,,1,,,,OutLap,False,0,20,16.148,7.849,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,18,,,,1,,,,OutLap,False,0,11,5.519,0.251,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,55,,,,1,,,,OutLap,False,0,12,5.875,0.356,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,10,,,,1,,,,OutLap,False,0,15,7.089,0.361,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,9,,,,1,,,,OutLap,False,0,16,7.594,0.505,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,5,,,,1,,,,OutLap,False,0,8,4.393,0.296,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,16,,,,1,,,,OutLap,False,0,14,6.728,0.4,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,14,,,,1,,,,OutLap,False,1,19,9.062,0.375,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,11,,,,1,,,,OutLap,False,0,13,6.328,0.453,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,31,,,,1,,,,OutLap,False,0,10,5.268,0.406,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,20,,,,1,,,,OutLap,False,0,7,4.097,0.56,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,77,,,,1,,,,OutLap,False,0,2,0.755,0.755,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,27,,,,1,,,,OutLap,False,0,9,4.862,0.469,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,35,,,,1,,,,OutLap,False,0,17,8.341,0.747,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
403.395,1,,8,,,,1,,,,OutLap,False,0,6,3.537,0.287,0,Spielberg,23.0,37.5,936.3,False,48.2,64,2.3
476.598,2,69.252,44,,,,2,,,,NoPit,True,0,1,0.0,0.0,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
477.328,2,69.833,77,,SUPERSOFT,4.0,2,1.0,69.34333333333507,44,NoPit,True,0,2,1.341,1.341,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
478.811,2,69.911,33,,SUPERSOFT,4.0,2,1.0,111.53694444444773,77,NoPit,True,0,3,2.866,1.525,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
479.311,2,70.489,7,,ULTRASOFT,4.0,2,1.0,9.48916666666264,33,NoPit,True,0,4,3.95,1.084,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
479.884,2,70.661,3,,SUPERSOFT,4.0,2,1.0,53.56194444444736,7,NoPit,True,0,5,4.675,0.725,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
480.157,2,71.32,8,,ULTRASOFT,4.0,2,1.0,21.076944444440414,3,NoPit,True,0,6,5.584,0.909,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
480.75,2,72.319,20,,ULTRASOFT,4.0,2,1.0,32.76888888888698,8,NoPit,True,0,8,7.15,0.964,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
480.935,2,71.07,5,,ULTRASOFT,4.0,2,1.0,10.05361111111415,20,NoPit,True,0,7,6.186,0.602,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
481.546,2,72.267,27,,ULTRASOFT,4.0,2,1.0,57.29805555555322,5,NoPit,True,0,9,7.899,0.749,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
481.89,2,72.462,31,,SUPERSOFT,1.0,2,1.0,7.265000000001237,18,NoPit,True,0,10,8.5,0.601,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
482.108,2,73.397,18,,ULTRASOFT,1.0,2,1.0,4.934444444446854,27,NoPit,True,0,12,9.644,0.557,0,Spielberg,23.2,36.7,936.2,False,47.9,71,3.1
