LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:23.305000,1,,SUPERSOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,5.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,MEDIUM,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,1.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,4.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,6.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:33:23.305000,1,,SUPERSOFT,6.0,1,1,,,São Paulo,0 days 00:33:19.565000,24.9,70.5,924.1,False,41.3,154,1.0
0 days 00:34:41.418000,2,0 days 00:01:14.771000,SUPERSOFT,5.0,1,1,,,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:42.027000,2,0 days 00:01:15.046000,SUPERSOFT,5.0,1,1,39.12999999999283,44,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:42.632000,2,0 days 00:01:15.054000,SOFT,5.0,1,1,66.76944444445144,77,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:43.079000,2,0 days 00:01:15.045000,SOFT,5.0,1,1,28.308611111109713,5,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:43.729000,2,0 days 00:01:14.517000,SUPERSOFT,5.0,1,1,48.1775000000016,7,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:44.378000,2,0 days 00:01:15.204000,SUPERSOFT,7.0,1,1,31.857777777773663,33,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:45.078000,2,0 days 00:01:15.305000,SUPERSOFT,5.0,1,1,44.63888888888687,16,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:45.685000,2,0 days 00:01:15.926000,SUPERSOFT,6.0,1,1,59.267222222228156,8,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:46.229000,2,0 days 00:01:16.762000,SUPERSOFT,7.0,1,1,26.759444444443943,3,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:46.519000,2,0 days 00:01:15.149000,SUPERSOFT,5.0,1,1,47.07111111111317,10,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:47.043000,2,0 days 00:01:16.693000,SOFT,2.0,1,1,10.346388888887304,9,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:47.533000,2,0 days 00:01:16.998000,SUPERSOFT,2.0,1,1,2.045833333335395,55,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:48.034000,2,0 days 00:01:17.068000,SOFT,2.0,1,1,60.55166666666537,20,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:48.355000,2,,SOFT,2.0,1,1,2.8602777777787196,14,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:49.173000,2,0 days 00:01:16.616000,SOFT,2.0,1,1,53.18666666666559,55,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:49.182000,2,0 days 00:01:17.188000,MEDIUM,2.0,1,1,59.033611111113714,27,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:49.628000,2,0 days 00:01:17.226000,SOFT,2.0,1,1,13.157777777784759,18,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:49.839000,2,0 days 00:01:17.638000,SOFT,2.0,1,1,15.500555555548999,28,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:50.081000,2,0 days 00:01:17.591000,SOFT,2.0,1,1,22.367222222220335,35,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:34:50.725000,2,0 days 00:01:17.923000,SOFT,2.0,1,1,46.65361111110815,31,São Paulo,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
0 days 00:35:56.189000,3,0 days 00:01:13.987000,SUPERSOFT,6.0,1,1,,,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
0 days 00:35:57.073000,3,0 days 00:01:14.482000,SUPERSOFT,6.0,1,1,71.66027777776799,44,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
0 days 00:35:57.686000,3,0 days 00:01:14.321000,SOFT,6.0,1,1,66.74000000001251,77,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
0 days 00:35:58.124000,3,0 days 00:01:15.160000,SOFT,6.0,1,1,31.013611111102364,5,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
0 days 00:35:58.246000,3,0 days 00:01:14.036000,SUPERSOFT,6.0,1,1,0.26388888889414375,7,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
0 days 00:35:59.582000,3,0 days 00:01:15.055000,SUPERSOFT,8.0,1,1,97.65388888889902,7,São Paulo,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
