LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
437.544,1,,5,,,,2,,,,OutLap,False,0,1,0.0,0.0,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,77,,,,2,,,,OutLap,False,0,2,1.923,1.923,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,3,,,,2,,,,OutLap,False,0,5,5.867,0.72,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,27,,,,2,,,,OutLap,False,0,6,6.871,1.004,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,31,,,,2,,,,OutLap,False,0,8,8.289,0.53,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,14,,,,2,,,,OutLap,False,0,11,10.741,0.81,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,20,,,,2,,,,OutLap,False,0,10,9.954,1.101,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,11,,,,2,,,,OutLap,False,0,19,22.9,8.84,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,7,,,,2,,,,OutLap,False,0,4,5.147,1.066,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,2,,,,2,,,,OutLap,False,0,15,12.483,0.514,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,10,,,,2,,,,OutLap,False,0,12,11.152,0.411,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,35,,,,2,,,,OutLap,False,1,16,13.161,0.678,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,33,,,,2,,,,OutLap,False,0,3,4.081,2.158,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,8,,,,2,,,,OutLap,False,0,13,11.453,0.301,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,55,,,,2,,,,OutLap,False,0,9,8.827,0.538,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,9,,,,2,,,,OutLap,False,0,14,11.969,0.516,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,16,,,,2,,,,OutLap,False,0,7,7.759,0.888,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,18,,,,2,,,,OutLap,False,1,18,14.161,0.448,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,44,,,,2,,,,OutLap,False,0,17,13.641,0.48,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
437.544,1,,28,,,,2,,,,OutLap,False,1,20,79.328,56.437,0,Silverstone,26.6,40.4,1008.4,False,53.3,0,1.0
532.619,2,92.918,5,,,,2,,,,NoPit,True,0,1,0.0,0.0,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
534.54,2,94.46,77,,SOFT,4.0,2,1.0,139.7069444444396,5,NoPit,True,0,2,3.472,3.472,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
536.711,2,94.366,33,,SOFT,4.0,2,1.0,116.8236111111164,77,NoPit,True,0,3,5.507,2.035,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
537.746,2,94.29,7,,SOFT,4.0,2,1.0,121.92916666667224,33,NoPit,True,0,4,6.495,0.988,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
538.513,2,94.422,3,,SOFT,4.0,2,1.0,23.147499999998217,7,NoPit,True,0,5,7.381,0.886,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
539.548,2,95.432,27,,MEDIUM,1.0,2,1.0,25.808055555552528,3,NoPit,True,0,6,9.394,2.013,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
540.39,2,95.725,16,,SOFT,6.0,2,1.0,12.86138888889127,55,NoPit,True,0,7,10.543,1.149,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
540.942,2,96.41,31,,SOFT,4.0,2,1.0,49.46555555555278,16,NoPit,True,0,8,11.785,1.242,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
541.462,2,96.714,55,,MEDIUM,1.0,2,1.0,103.26527777777574,27,NoPit,True,0,9,12.622,0.837,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
542.602,2,96.991,20,,SOFT,4.0,2,1.0,6.636388888896363,10,NoPit,True,0,10,13.996,1.374,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
543.416,2,96.9,14,,SOFT,1.0,2,1.0,130.47527777777304,31,NoPit,True,0,11,14.721,0.725,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
543.852,2,97.156,10,,SOFT,1.0,2,1.0,2.3302777777716983,20,NoPit,True,0,12,15.447,0.726,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
544.262,2,97.831,8,,SOFT,4.0,2,1.0,2.012500000007094,2,NoPit,True,0,13,16.438,0.991,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
544.63,2,97.975,9,,SOFT,1.0,2,1.0,23.085277777779993,10,NoPit,True,0,14,16.973,0.535,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
545.192,2,98.833,2,,SOFT,1.0,2,1.0,1.7208333333264818,8,NoPit,True,0,16,18.41,0.878,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
545.753,2,99.349,35,,SOFT,1.0,2,1.0,221.3661111111087,44,NoPit,True,1,17,19.564,1.154,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
546.339,2,96.761,44,,SOFT,5.0,2,1.0,195.8580555555618,2,NoPit,True,0,15,17.532,0.559,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
546.806,2,99.343,18,,MEDIUM,1.0,2,1.0,60.31166666666468,35,NoPit,True,1,18,20.575,1.011,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
555.556,2,95.283,11,,SOFT,1.0,2,1.0,319.9438888888908,18,NoPit,True,0,19,25.213,4.638,0,Silverstone,26.9,38.7,1008.3,False,53.1,41,0.8
