LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
455.94,1,,3,Red Bull Racing,,,1,,,,OutLap,False,0,6,4.418,0.527,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,35,Williams,,,1,,,,OutLap,False,0,15,10.059,0.545,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,18,Williams,,,1,,,,OutLap,False,0,12,8.471,0.793,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,2,McLaren,,,1,,,,OutLap,False,0,16,10.306,0.247,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,11,Force India,,,1,,,,OutLap,False,0,14,9.514,0.287,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,31,Force India,,,1,,,,OutLap,False,0,13,9.227,0.756,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,28,Toro Rosso,,,1,,,,OutLap,False,0,17,10.821,0.515,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,9,Sauber,,,1,,,,OutLap,False,0,20,12.124,0.821,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,77,Mercedes,,,1,,,,OutLap,False,0,2,1.062,1.062,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,55,Renault,,,1,,,,OutLap,False,0,8,5.643,0.402,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,5,Ferrari,,,1,,,,OutLap,False,0,1,0.0,0.0,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,14,McLaren,,,1,,,,OutLap,False,0,11,7.678,0.974,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,27,Renault,,,1,,,,OutLap,False,0,7,5.241,0.823,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,33,Red Bull Racing,,,1,,,,OutLap,False,0,3,2.129,1.067,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,44,Mercedes,,,1,,,,OutLap,False,0,5,3.891,0.74,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,20,Haas F1 Team,,,1,,,,OutLap,False,0,10,6.704,0.513,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,8,Haas F1 Team,,,1,,,,OutLap,False,0,9,6.191,0.548,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
455.94,1,,7,Ferrari,,,1,,,,OutLap,False,0,4,3.151,1.022,0,Shanghai,19.5,23.1,1018.3,False,38.7,60,2.1
