LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
416.587,1,,44,,,,1,,,,OutLap,False,0,13,9.265,0.192,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,77,,,,1,,,,OutLap,False,0,2,1.183,1.183,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,5,,,,1,,,,OutLap,False,0,1,0.0,0.0,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,18,,,,1,,,,OutLap,False,0,16,10.947,0.382,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,7,,,,1,,,,OutLap,False,0,3,2.512,1.329,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,14,,,,1,,,,OutLap,False,0,11,8.55,0.523,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,16,,,,1,,,,OutLap,False,0,10,8.027,0.627,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,33,,,,1,,,,OutLap,False,0,4,3.249,0.737,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,35,,,,1,,,,OutLap,False,0,14,10.238,0.973,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,10,,,,1,,,,OutLap,False,0,18,11.79,0.39,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,27,,,,1,,,,OutLap,False,0,6,5.486,0.842,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,55,,,,1,,,,OutLap,False,0,9,7.4,0.735,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,20,,,,1,,,,OutLap,False,0,5,4.644,1.395,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,8,,,,1,,,,OutLap,False,0,7,6.107,0.621,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,28,,,,1,,,,OutLap,False,0,17,11.4,0.453,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,9,,,,1,,,,OutLap,False,0,15,10.565,0.327,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,11,,,,1,,,,OutLap,False,0,8,6.665,0.558,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,2,,,,1,,,,OutLap,False,0,20,12.47,0.472,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,3,,,,1,,,,OutLap,False,0,19,11.998,0.208,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
416.587,1,,31,,,,1,,,,OutLap,False,0,12,9.073,0.523,0,Hockenheim,26.4,51.1,1001.6,False,44.4,0,1.2
497.624,2,77.942,5,,,,1,,,,NoPit,True,0,1,0.0,0.0,0,Hockenheim,26.5,51.6,1001.4,False,44.3,342,2.2
498.786,2,78.355,77,,ULTRASOFT,4.0,1,1.0,63.17944444444856,5,NoPit,True,0,2,1.578,1.578,0,Hockenheim,26.5,51.6,1001.4,False,44.3,342,2.2
500.13,2,78.311,7,,ULTRASOFT,4.0,1,1.0,118.58361111110571,77,NoPit,True,0,3,2.88,1.302,0,Hockenheim,26.5,51.6,1001.4,False,44.3,342,2.2
