LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
407.319,1,,3,,,,2,,,,OutLap,False,0,1,0.0,0.0,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,11,,,,2,,,,OutLap,False,0,9,8.657,1.296,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,9,,,,2,,,,OutLap,False,0,17,13.018,0.504,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,35,,,,2,,,,OutLap,False,0,12,10.356,0.632,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,55,,,,2,,,,OutLap,False,0,8,7.361,0.876,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,5,,,,2,,,,OutLap,False,0,2,1.234,1.234,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,33,,,,2,,,,OutLap,False,0,18,13.601,0.583,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,18,,,,2,,,,OutLap,False,0,16,12.514,0.457,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,27,,,,2,,,,OutLap,False,0,11,9.724,0.355,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,10,,,,2,,,,OutLap,False,0,10,9.369,0.712,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,16,,,,2,,,,OutLap,False,0,14,11.51,0.56,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,31,,,,2,,,,OutLap,False,0,6,4.903,1.051,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,14,,,,2,,,,OutLap,False,0,7,6.485,1.511,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,44,,,,2,,,,OutLap,False,0,3,2.191,0.957,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,77,,,,2,,,,OutLap,False,0,5,3.931,0.802,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,28,,,,2,,,,OutLap,False,0,15,12.057,0.547,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,8,,,,2,,,,OutLap,False,0,20,14.951,0.42,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,20,,,,2,,,,OutLap,False,0,19,14.531,0.93,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,7,,,,2,,,,OutLap,False,0,4,3.129,0.938,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
407.319,1,,2,,,,2,,,,OutLap,False,0,13,10.95,0.594,0,Monte-Carlo,25.6,51.7,1015.7,False,33.4,0,1.0
