LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
1.0,,,,24,,,
2.0,,,,4,,,
3.0,0 days 00:02:12.826000,SOFT,4.0,4,1.0,,
4.0,0 days 00:02:08.778000,SOFT,5.0,4,1.0,,
5.0,0 days 00:02:10.440000,SOFT,6.0,4,1.0,,
6.0,0 days 00:02:13.880000,SOFT,7.0,4,1.0,,
7.0,0 days 00:01:22.990000,SOFT,8.0,1,1.0,6.806388888820948,5
8.0,0 days 00:01:21.631000,SOFT,9.0,1,1.0,,
9.0,0 days 00:01:21.386000,SOFT,10.0,1,1.0,,
10.0,0 days 00:01:21.790000,SOFT,11.0,1,1.0,,
11.0,0 days 00:01:21.808000,SOFT,12.0,1,1.0,,
12.0,0 days 00:01:21.810000,SOFT,13.0,1,1.0,,
13.0,0 days 00:01:21.936000,SOFT,14.0,1,1.0,,
14.0,0 days 00:01:21.574000,SOFT,15.0,1,1.0,,
15.0,0 days 00:01:21.778000,SOFT,16.0,1,1.0,,
16.0,0 days 00:01:21.562000,SOFT,17.0,1,1.0,,
17.0,0 days 00:01:21.509000,SOFT,18.0,1,1.0,,
18.0,0 days 00:01:21.328000,SOFT,19.0,1,1.0,,
19.0,0 days 00:01:21.393000,SOFT,20.0,1,1.0,,
20.0,0 days 00:01:21.334000,SOFT,21.0,1,1.0,,
21.0,0 days 00:01:21.157000,SOFT,22.0,1,1.0,,
22.0,0 days 00:01:20.849000,SOFT,23.0,1,1.0,,
23.0,0 days 00:01:21.045000,SOFT,24.0,1,1.0,,
24.0,0 days 00:01:21.662000,SOFT,25.0,1,1.0,,
25.0,0 days 00:01:24.565000,SOFT,26.0,1,1.0,,
26.0,0 days 00:01:40.689000,MEDIUM,1.0,1,2.0,,
27.0,0 days 00:01:20.131000,MEDIUM,2.0,1,2.0,22.96027777774725,3
28.0,0 days 00:01:20.711000,MEDIUM,3.0,1,2.0,283.7283333338564,33
29.0,0 days 00:01:20.713000,MEDIUM,4.0,1,2.0,298.7436111116549,33
30.0,0 days 00:01:21.074000,MEDIUM,5.0,1,2.0,258.6833333338436,33
31.0,0 days 00:01:20.948000,MEDIUM,6.0,1,2.0,252.1358333340031,33
32.0,0 days 00:01:21.600000,MEDIUM,7.0,1,2.0,238.23111111141043,33
33.0,0 days 00:01:21.228000,MEDIUM,8.0,1,2.0,291.8558333335677,33
34.0,0 days 00:01:21.854000,MEDIUM,9.0,1,2.0,301.16388888913207,33
35.0,0 days 00:01:20.542000,MEDIUM,10.0,1,2.0,195.4855555560789,33
36.0,0 days 00:01:20.359000,MEDIUM,11.0,1,2.0,,
37.0,0 days 00:01:21.296000,MEDIUM,12.0,1,2.0,,
38.0,0 days 00:01:20.363000,MEDIUM,13.0,1,2.0,,
39.0,0 days 00:01:20.810000,MEDIUM,14.0,1,2.0,,
40.0,0 days 00:01:20.507000,MEDIUM,15.0,2,2.0,,
41.0,0 days 00:01:48.590000,MEDIUM,16.0,26,2.0,,
42.0,0 days 00:02:02.018000,MEDIUM,17.0,67,2.0,,
43.0,0 days 00:01:24.158000,MEDIUM,18.0,72,2.0,,
44.0,0 days 00:01:20.625000,MEDIUM,19.0,1,2.0,,
45.0,0 days 00:01:20.425000,MEDIUM,20.0,1,2.0,,
46.0,0 days 00:01:20.621000,MEDIUM,21.0,1,2.0,,
47.0,0 days 00:01:19.766000,MEDIUM,22.0,1,2.0,,
48.0,0 days 00:01:20.200000,MEDIUM,23.0,1,2.0,,
49.0,0 days 00:01:19.983000,MEDIUM,24.0,1,2.0,,
50.0,0 days 00:01:19.902000,MEDIUM,25.0,1,2.0,,
51.0,0 days 00:01:19.634000,MEDIUM,26.0,1,2.0,,
52.0,0 days 00:01:19.984000,MEDIUM,27.0,1,2.0,,
53.0,0 days 00:01:19.831000,MEDIUM,28.0,1,2.0,,
54.0,0 days 00:01:20.007000,MEDIUM,29.0,1,2.0,,
55.0,0 days 00:01:19.860000,MEDIUM,30.0,1,2.0,,
56.0,0 days 00:01:19.811000,MEDIUM,31.0,1,2.0,,
57.0,0 days 00:01:19.443000,MEDIUM,32.0,1,2.0,,
58.0,0 days 00:01:19.488000,MEDIUM,33.0,1,2.0,,
59.0,0 days 00:01:19.614000,MEDIUM,34.0,1,2.0,,
60.0,0 days 00:01:21.819000,MEDIUM,35.0,1,2.0,,
61.0,0 days 00:01:20.470000,MEDIUM,36.0,1,2.0,,
62.0,0 days 00:01:19.152000,MEDIUM,37.0,1,2.0,,
63.0,0 days 00:01:19.822000,MEDIUM,38.0,1,2.0,,
64.0,0 days 00:01:19.133000,MEDIUM,39.0,1,2.0,,
65.0,0 days 00:01:19.425000,MEDIUM,40.0,1,2.0,,
66.0,0 days 00:01:20.393000,MEDIUM,41.0,1,2.0,,
1.0,,,,24,,,
2.0,,SOFT,4.0,4,1.0,146.31111111110476,5
3.0,0 days 00:02:12.648000,SOFT,5.0,4,1.0,113.13805555554791,5
4.0,0 days 00:02:08.556000,SOFT,6.0,4,1.0,66.62166666666053,5
5.0,0 days 00:02:10.238000,SOFT,7.0,4,1.0,70.95666666666511,5
6.0,0 days 00:02:12.666000,SOFT,8.0,4,1.0,111.26750000000902,5
7.0,0 days 00:01:23.984000,SOFT,9.0,1,1.0,107.2716666667402,44
8.0,0 days 00:01:23.445000,SOFT,10.0,1,1.0,153.0447222222465,5
9.0,0 days 00:01:22.313000,SOFT,11.0,1,1.0,257.1966666666849,5
10.0,0 days 00:01:22.221000,SOFT,12.0,1,1.0,255.94694444454944,5
11.0,0 days 00:01:22.244000,SOFT,13.0,1,1.0,235.65027777784417,5
12.0,0 days 00:01:22.603000,SOFT,14.0,1,1.0,248.02388888909627,5
13.0,0 days 00:01:22.410000,SOFT,15.0,1,1.0,244.49361111133476,5
14.0,0 days 00:01:22.372000,SOFT,16.0,1,1.0,262.61500000021624,5
15.0,0 days 00:01:22.336000,SOFT,17.0,1,1.0,297.32805555589584,5
16.0,0 days 00:01:21.936000,SOFT,18.0,1,1.0,316.37611111134174,5
17.0,0 days 00:01:21.956000,SOFT,19.0,1,1.0,322.4952777781291,5
18.0,0 days 00:01:21.485000,SOFT,20.0,1,1.0,122.72500000023865,5
19.0,0 days 00:01:24.219000,SOFT,21.0,1,1.0,797.056111111262,44
20.0,0 days 00:01:43.642000,MEDIUM,1.0,1,2.0,942.5747222224891,44
21.0,0 days 00:01:20.402000,MEDIUM,2.0,1,2.0,177.8925000003801,20
22.0,0 days 00:01:21.347000,MEDIUM,3.0,1,2.0,349.2005555562646,5
23.0,0 days 00:01:21.182000,MEDIUM,4.0,1,2.0,351.4033333341504,5
24.0,0 days 00:01:21.249000,MEDIUM,5.0,1,2.0,358.113333334084,5
25.0,0 days 00:01:21.347000,MEDIUM,6.0,1,2.0,361.1019444451522,5
26.0,0 days 00:01:20.940000,MEDIUM,7.0,1,2.0,386.15138888935326,5
27.0,0 days 00:01:20.857000,MEDIUM,8.0,1,2.0,390.8705555560009,5
28.0,0 days 00:01:21.015000,MEDIUM,9.0,1,2.0,409.3169444448431,5
29.0,0 days 00:01:21.319000,MEDIUM,10.0,1,2.0,425.6272222227126,5
30.0,0 days 00:01:21.445000,MEDIUM,11.0,1,2.0,440.3391666673415,5
31.0,0 days 00:01:22.081000,MEDIUM,12.0,1,2.0,475.66611111172824,5
32.0,0 days 00:01:20.844000,MEDIUM,13.0,1,2.0,522.3930555560219,5
33.0,0 days 00:01:20.847000,MEDIUM,14.0,1,2.0,526.0377777785761,5
34.0,0 days 00:01:20.589000,MEDIUM,15.0,1,2.0,340.56222222352517,3
35.0,0 days 00:01:20.951000,MEDIUM,16.0,1,2.0,331.8961111117678,33
36.0,0 days 00:01:20.947000,MEDIUM,17.0,1,2.0,584.2294444454601,5
37.0,0 days 00:01:21.402000,MEDIUM,18.0,1,2.0,611.1858333341079,5
38.0,0 days 00:01:21.185000,MEDIUM,19.0,1,2.0,641.5700000012293,5
39.0,0 days 00:01:21.265000,MEDIUM,20.0,1,2.0,649.2141666676034,5
40.0,0 days 00:01:21.257000,MEDIUM,21.0,2,2.0,659.5894444455625,5
41.0,0 days 00:01:56.194000,MEDIUM,22.0,26,2.0,671.6733333343582,5
