LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1972.408,1,,33,Red Bull Racing,MEDIUM,4.0,1,1,,,OutLap,False,0,7,5.067,0.261,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,16,Ferrari,SOFT,4.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,26,Toro Rosso,MEDIUM,1.0,1,1,,,OutLap,False,0,19,10.426,0.366,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,8,Haas F1 Team,MEDIUM,1.0,1,1,,,OutLap,False,0,15,8.595,0.524,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,88,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,16,9.349,0.754,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,23,Toro Rosso,MEDIUM,1.0,1,1,,,OutLap,False,0,18,10.06,0.392,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,77,Mercedes,MEDIUM,4.0,1,1,,,OutLap,False,0,2,1.269,1.269,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,18,Racing Point,MEDIUM,1.0,1,1,,,OutLap,False,0,13,7.745,0.4,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,63,Williams,MEDIUM,1.0,1,1,,,OutLap,False,1,20,11.3,0.874,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,27,Renault,MEDIUM,1.0,1,1,,,OutLap,False,0,12,7.345,0.664,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,3,Renault,MEDIUM,1.0,1,1,,,OutLap,False,0,14,8.071,0.326,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,11,Racing Point,MEDIUM,1.0,1,1,,,OutLap,False,0,11,6.681,0.413,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,44,Mercedes,MEDIUM,5.0,1,1,,,OutLap,False,0,3,2.194,0.925,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,99,Alfa Romeo Racing,SOFT,4.0,1,1,,,OutLap,False,0,9,5.831,0.381,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,7,Alfa Romeo Racing,SOFT,4.0,1,1,,,OutLap,False,0,4,3.734,1.54,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,55,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,17,9.668,0.319,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,4,McLaren,SOFT,4.0,1,1,,,OutLap,False,0,5,4.463,0.729,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,5,Ferrari,SOFT,4.0,1,1,,,OutLap,False,0,6,4.806,0.343,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,20,Haas F1 Team,SOFT,4.0,1,1,,,OutLap,False,0,10,6.268,0.437,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
1972.408,1,,10,Red Bull Racing,SOFT,4.0,1,1,,,OutLap,False,0,8,5.45,0.383,0,Spielberg,71,33.9,19.4,941.0,False,51.3,328,0.9
2044.178,2,69.282,16,Ferrari,SOFT,5.0,1,1,,,NoPit,True,0,1,0.0,0.0,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2045.459,2,69.891,77,Mercedes,MEDIUM,5.0,1,1,91.4266666666681,16,NoPit,True,0,2,1.88,1.88,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2046.351,2,70.327,44,Mercedes,MEDIUM,6.0,1,1,68.93555555555304,77,NoPit,True,0,3,3.257,1.377,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2047.953,2,70.996,7,Alfa Romeo Racing,SOFT,5.0,1,1,91.21722222222616,44,NoPit,True,0,4,5.429,2.172,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2048.688,2,71.101,4,McLaren,SOFT,5.0,1,1,10.467500000001564,5,NoPit,True,0,5,6.317,0.888,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2049.016,2,71.29,5,Ferrari,SOFT,5.0,1,1,81.5066666666653,7,NoPit,True,0,6,6.836,0.519,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2049.224,2,71.495,33,Red Bull Racing,MEDIUM,5.0,1,1,16.543333333333067,10,NoPit,True,0,7,7.3,0.464,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2049.641,2,72.107,10,Red Bull Racing,SOFT,5.0,1,1,52.37888888889029,4,NoPit,True,0,8,8.303,1.003,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2049.977,2,72.571,99,Alfa Romeo Racing,SOFT,5.0,1,1,1.3908333333320115,33,NoPit,True,0,9,9.112,0.809,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
2050.541,2,72.717,20,Haas F1 Team,SOFT,5.0,1,1,42.301944444444416,11,NoPit,True,0,10,9.737,0.625,0,Spielberg,71,33.9,19.8,941.0,False,51.2,260,1.2
