LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
1,,SOFT,4.0,1,1,,
2,0 days 00:01:47.592000,SOFT,5.0,1,1,,
3,0 days 00:01:47.604000,SOFT,6.0,1,1,,
4,0 days 00:01:47.698000,SOFT,7.0,1,1,,
5,0 days 00:01:47.550000,SOFT,8.0,1,1,,
6,0 days 00:01:47.891000,SOFT,9.0,1,1,,
7,0 days 00:01:48.092000,SOFT,10.0,1,1,,
8,0 days 00:01:48.604000,SOFT,11.0,1,1,,
9,0 days 00:01:48.971000,SOFT,12.0,1,1,,
10,0 days 00:01:49.249000,SOFT,13.0,1,1,,
11,0 days 00:01:49.469000,SOFT,14.0,1,1,,
12,0 days 00:01:54.857000,SOFT,15.0,1,1,,
13,0 days 00:02:04.618000,MEDIUM,1.0,1,2,164.1061111114832,44
14,0 days 00:01:48.090000,MEDIUM,2.0,1,2,161.7919444450672,44
15,0 days 00:01:47.421000,MEDIUM,3.0,1,2,57.21138888972928,33
16,0 days 00:01:46.438000,MEDIUM,4.0,1,2,923.955277778703,16
17,0 days 00:01:46.087000,MEDIUM,5.0,1,2,898.4133333344216,16
18,0 days 00:01:46.694000,MEDIUM,6.0,1,2,877.7119444457348,16
19,0 days 00:01:46.415000,MEDIUM,7.0,1,2,872.5083333347138,16
20,0 days 00:01:45.747000,MEDIUM,8.0,1,2,867.9397222236585,16
21,0 days 00:01:45.827000,MEDIUM,9.0,1,2,802.6136111125816,16
22,0 days 00:01:45.939000,MEDIUM,10.0,1,2,738.4425000012707,16
23,0 days 00:01:45.891000,MEDIUM,11.0,1,2,672.6086111122422,16
24,0 days 00:01:46.144000,MEDIUM,12.0,1,2,646.9863888902764,16
25,0 days 00:01:46.289000,MEDIUM,13.0,1,2,640.9255555564596,16
26,0 days 00:01:46.481000,MEDIUM,14.0,1,2,638.2413888901356,16
27,0 days 00:01:45.949000,MEDIUM,15.0,1,2,659.979722223623,16
28,0 days 00:01:45.763000,MEDIUM,16.0,1,2,658.8150000014284,16
29,0 days 00:01:46.092000,MEDIUM,17.0,1,2,611.9072222235554,16
30,0 days 00:01:46.132000,MEDIUM,18.0,1,2,594.2897222235333,16
31,0 days 00:01:45.699000,MEDIUM,19.0,2,2,16.28250000011758,5
32,0 days 00:01:47.855000,MEDIUM,20.0,2,2,38.89333333345712,5
33,0 days 00:01:46.539000,MEDIUM,21.0,2,2,142.50027777758078,5
34,0 days 00:01:45.887000,MEDIUM,22.0,1,2,51.1619444443495,5
35,0 days 00:01:46.246000,MEDIUM,23.0,1,2,33.13277777918847,16
36,0 days 00:01:45.805000,MEDIUM,24.0,1,2,135.1488888884778,5
37,0 days 00:01:45.265000,MEDIUM,25.0,1,2,184.2499999993015,5
38,0 days 00:01:45.619000,MEDIUM,26.0,1,2,182.32611111024744,5
39,0 days 00:01:45.262000,MEDIUM,27.0,2,2,183.68111110990867,5
40,0 days 00:02:23.413000,MEDIUM,28.0,26,2,81.47499999863794,5
41,0 days 00:02:05.118000,MEDIUM,29.0,67,2,179.68027777643874,5
42,0 days 00:01:45.993000,MEDIUM,30.0,1,2,7.581944443023531,5
43,0 days 00:01:45.846000,MEDIUM,31.0,1,2,117.32999999902677,5
44,0 days 00:01:44.488000,MEDIUM,32.0,1,2,154.15472222096287,5
45,0 days 00:01:44.872000,MEDIUM,33.0,1,2,116.65833333160845,5
46,0 days 00:01:45.413000,MEDIUM,34.0,1,2,86.10583333170507,5
47,0 days 00:01:44.876000,MEDIUM,35.0,1,2,163.58388888614718,5
48,0 days 00:01:44.883000,MEDIUM,36.0,1,2,155.78916666388977,5
49,0 days 00:01:44.595000,MEDIUM,37.0,1,2,19.451111110392958,44
50,0 days 00:01:44.024000,MEDIUM,38.0,1,2,26.998888888396323,44
51,0 days 00:01:44.757000,MEDIUM,39.0,1,2,,
1,,SOFT,5.0,1,1,,
2,0 days 00:01:47.787000,SOFT,6.0,1,1,157.1619444444441,77
3,0 days 00:01:47.822000,SOFT,7.0,1,1,176.28166666666039,77
4,0 days 00:01:48.004000,SOFT,8.0,1,1,185.46749999996246,77
5,0 days 00:01:47.720000,SOFT,9.0,1,1,200.4066666666622,77
6,0 days 00:01:48.293000,SOFT,10.0,1,1,210.81055555559215,77
7,0 days 00:01:48.526000,SOFT,11.0,1,1,220.36055555548955,77
8,0 days 00:01:48.646000,SOFT,12.0,1,1,245.04472222212644,77
9,0 days 00:01:48.614000,SOFT,13.0,1,1,250.94499999991967,77
10,0 days 00:01:48.772000,SOFT,14.0,1,1,226.21388888880028,77
11,0 days 00:01:49.820000,SOFT,15.0,1,1,203.5786111109701,77
12,0 days 00:01:50.377000,SOFT,16.0,1,1,213.9972222219876,77
13,0 days 00:01:54.551000,SOFT,17.0,1,1,,
14,0 days 00:02:04.283000,MEDIUM,1.0,1,2,365.79027777782176,16
15,0 days 00:01:46.588000,MEDIUM,2.0,1,2,95.7013888884976,5
16,0 days 00:01:46.246000,MEDIUM,3.0,1,2,51.63833333273942,5
17,0 days 00:01:46.170000,MEDIUM,4.0,1,2,224.66138888818386,77
18,0 days 00:01:45.867000,MEDIUM,5.0,1,2,217.58222222155018,77
19,0 days 00:01:45.683000,MEDIUM,6.0,1,2,179.9991666662536,77
20,0 days 00:01:45.570000,MEDIUM,7.0,1,2,128.7769444440928,77
21,0 days 00:01:45.622000,MEDIUM,8.0,1,2,125.1936111105606,77
22,0 days 00:01:46.756000,MEDIUM,9.0,1,2,119.68805555507424,77
23,0 days 00:01:47.316000,MEDIUM,10.0,1,2,170.39722222171258,77
24,0 days 00:01:46.018000,MEDIUM,11.0,1,2,55.34388888801914,5
25,0 days 00:01:45.728000,MEDIUM,12.0,1,2,77.17805555445375,5
26,0 days 00:01:45.432000,MEDIUM,13.0,1,2,24.66249999878346,5
27,0 days 00:01:45.659000,MEDIUM,14.0,1,2,133.9063888877281,77
28,0 days 00:01:45.608000,MEDIUM,15.0,1,2,12.762777776719304,5
29,0 days 00:01:45.425000,MEDIUM,16.0,1,2,10.481944443308748,5
