LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1984.006,1,,44,Mercedes,MEDIUM,4.0,2,1,,,OutLap,False,0,2,1.206,1.206,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,63,Williams,MEDIUM,1.0,2,1,,,OutLap,False,0,15,11.792,1.198,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,26,Toro Rosso,MEDIUM,1.0,2,1,,,OutLap,False,0,10,7.869,0.384,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,7,Alfa Romeo Racing,MEDIUM,1.0,2,1,,,OutLap,False,0,17,12.894,0.598,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,20,Haas F1 Team,HARD,1.0,2,1,,,OutLap,False,1,19,17.633,3.402,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,18,Racing Point,HARD,1.0,2,1,,,OutLap,False,0,14,10.594,0.656,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,88,Williams,MEDIUM,1.0,2,1,,,OutLap,False,0,16,12.296,0.504,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,5,Ferrari,MEDIUM,6.0,2,1,,,OutLap,False,0,1,0.0,0.0,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,10,Red Bull Racing,SOFT,4.0,2,1,,,OutLap,False,0,5,4.311,0.914,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,11,Racing Point,MEDIUM,1.0,2,1,,,OutLap,False,0,12,9.279,0.892,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,55,McLaren,SOFT,4.0,2,1,,,OutLap,False,0,11,8.387,0.518,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,23,Toro Rosso,MEDIUM,1.0,2,1,,,OutLap,False,0,20,14.048,0.396,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
1984.006,1,,3,Renault,SOFT,4.0,2,1,,,OutLap,False,0,4,3.397,0.755,0,Montreal,70,28.5,17.5,1022.2,False,51.6,197,0.4
