LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:27.137000,1,,MEDIUM,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,267,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,MEDIUM,1.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:33:27.137000,1,,SOFT,4.0,26,1,,,Shanghai,0 days 00:32:36.507000,19.5,44.5,1019.2,False,29.0,111,3.8
0 days 00:35:13.782000,2,0 days 00:01:48.693000,MEDIUM,5.0,67,1,,,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:15.783000,2,0 days 00:01:47.756000,MEDIUM,5.0,67,1,155.95277777778392,44,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:17.434000,2,0 days 00:01:47.918000,MEDIUM,5.0,67,1,91.52361111110895,77,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:18.129000,2,0 days 00:01:47.915000,MEDIUM,5.0,67,1,24.758055555554165,16,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:20.109000,2,0 days 00:01:47.324000,MEDIUM,5.0,67,1,116.72472222222132,5,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:21.470000,2,0 days 00:01:47.409000,SOFT,5.0,67,1,61.683055555556166,33,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:24.158000,2,0 days 00:01:47.265000,SOFT,5.0,67,1,3.4966666666659876,11,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:25.367000,2,0 days 00:01:47.379000,MEDIUM,2.0,67,1,4.400000000000546,3,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:26.554000,2,0 days 00:01:46.640000,SOFT,5.0,67,1,2.398611111109858,8,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:27.111000,2,0 days 00:01:46.810000,SOFT,5.0,67,1,131.08777777777505,11,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:27.772000,2,0 days 00:01:46.985000,SOFT,5.0,67,1,29.216388888890833,7,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:28.930000,2,0 days 00:01:46.190000,MEDIUM,2.0,67,1,36.43972222222237,8,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:30.359000,2,0 days 00:01:45.359000,MEDIUM,2.0,67,1,4.190555555555875,99,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:31.453000,2,0 days 00:01:44.793000,SOFT,2.0,67,1,13.688333333333503,18,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:32.094000,2,0 days 00:01:45.543000,MEDIUM,2.0,67,1,83.62388888888836,99,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
0 days 00:35:32.767000,2,0 days 00:01:46.228000,MEDIUM,2.0,67,1,19.686388888891997,63,Shanghai,0 days 00:34:36.537000,19.4,45.4,1019.1,False,28.8,113,2.7
