LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2398.698,1,,33,Red Bull Racing,WET,1.0,1,1,,,OutLap,False,0,4,4.885,0.625,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,18,Racing Point,WET,1.0,1,1,,,OutLap,False,0,15,15.079,0.841,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,55,McLaren,WET,1.0,1,1,,,OutLap,False,0,9,11.827,0.679,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,23,Toro Rosso,WET,1.0,1,1,,,OutLap,False,0,16,16.012,0.933,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,8,Haas F1 Team,WET,1.0,1,1,,,OutLap,False,0,7,9.824,1.921,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,20,Haas F1 Team,WET,1.0,1,1,,,OutLap,False,0,10,11.978,0.151,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,44,Mercedes,WET,1.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,88,Williams,WET,1.0,1,1,,,OutLap,False,0,20,18.612,1.114,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,26,Toro Rosso,WET,1.0,1,1,,,OutLap,False,0,17,16.482,0.47,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,63,Williams,WET,1.0,1,1,,,OutLap,False,0,18,17.156,0.674,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,99,Alfa Romeo Racing,WET,1.0,1,1,,,OutLap,False,0,12,12.904,0.412,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,10,Red Bull Racing,WET,1.0,1,1,,,OutLap,False,0,8,11.148,1.324,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,77,Mercedes,WET,1.0,1,1,,,OutLap,False,0,2,1.981,1.981,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,27,Renault,WET,1.0,1,1,,,OutLap,False,0,5,7.056,2.171,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
2398.698,1,,16,Ferrari,WET,1.0,1,1,,,OutLap,False,0,6,7.903,0.847,0,Hockenheim,64,21.1,88.1,991.3,True,26.2,168,0.4
