LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1969.099,1,,44,Mercedes,MEDIUM,4.0,1,1,,,OutLap,False,0,2,1.837,1.837,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,5,Ferrari,MEDIUM,4.0,1,1,,,OutLap,False,0,5,5.494,0.259,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,8,Haas F1 Team,SOFT,4.0,1,1,,,OutLap,False,0,10,8.807,0.618,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,16,Ferrari,MEDIUM,4.0,1,1,,,OutLap,False,0,3,3.393,1.556,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,55,McLaren,SOFT,4.0,1,1,,,OutLap,False,0,6,6.383,0.889,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,88,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,20,13.594,0.758,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,10,Red Bull Racing,MEDIUM,4.0,1,1,,,OutLap,False,0,9,8.189,0.725,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,7,Alfa Romeo Racing,SOFT,4.0,1,1,,,OutLap,False,0,8,7.464,0.479,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,77,Mercedes,MEDIUM,4.0,1,1,,,OutLap,False,0,4,5.235,1.842,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
1969.099,1,,4,McLaren,SOFT,4.0,1,1,,,OutLap,False,0,7,6.985,0.602,0,Budapest,70,25.7,36.0,986.6,False,44.5,10,1.9
