LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,MEDIUM,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,MEDIUM,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,MEDIUM,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,MEDIUM,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,MEDIUM,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,1.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
0 days 00:33:33.441000,1,,SOFT,4.0,1,1,,,Suzuka,0 days 00:32:35.529000,21.8,57.5,1008.9,False,35.0,292,5.6
