LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1981.144,1,,44,Mercedes,MEDIUM,4.0,6,1,,,OutLap,False,0,5,9.107,3.328,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,18,Racing Point,MEDIUM,1.0,6,1,,,OutLap,False,0,14,19.384,0.509,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,26,Toro Rosso,SOFT,4.0,6,1,,,OutLap,False,0,9,14.463,1.254,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,63,Williams,MEDIUM,1.0,6,1,,,OutLap,False,0,19,24.382,0.888,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,27,Renault,MEDIUM,1.0,6,1,,,OutLap,False,0,13,18.875,0.626,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,5,Ferrari,MEDIUM,4.0,6,1,,,OutLap,False,0,2,2.622,2.622,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,10,Toro Rosso,SOFT,4.0,6,1,,,OutLap,False,0,10,15.861,1.398,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,20,Haas F1 Team,MEDIUM,1.0,6,1,,,OutLap,False,0,17,22.869,0.828,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,3,Renault,HARD,1.0,6,1,,,OutLap,False,0,12,18.249,1.01,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,88,Williams,MEDIUM,1.0,6,1,,,OutLap,False,0,18,23.494,0.625,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,33,Red Bull Racing,MEDIUM,4.0,6,1,,,OutLap,False,0,8,13.209,0.767,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
1981.144,1,,4,McLaren,SOFT,4.0,6,1,,,OutLap,False,0,6,11.538,2.431,0,Mexico City,71,22.4,47.7,781.0,False,40.8,120,2.5
