LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1965.521,1,,44,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,88,MEDIUM,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,5,SOFT,4.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,7,SOFT,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,18,MEDIUM,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,63,MEDIUM,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,20,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,77,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,99,SOFT,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,27,MEDIUM,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,4,MEDIUM,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,33,SOFT,4.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,8,SOFT,1.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,3,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,23,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,26,SOFT,6.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
1965.521,1,,10,SOFT,5.0,2,1,,,OutLap,False,Monte-Carlo,22.4,52.7,1011.1,False,34.3,10,0.6
