LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1986.785,1,,44,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,33,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,5,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,18,MEDIUM,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,16,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,10,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,88,MEDIUM,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,20,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,4,SOFT,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,55,SOFT,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,26,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,99,SOFT,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,8,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,23,SOFT,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,11,SOFT,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,3,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,27,MEDIUM,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,63,MEDIUM,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,77,SOFT,4.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
1986.785,1,,7,MEDIUM,1.0,2,1,,,Montmeló,19.9,58.6,1007.1,False,41.9,313,1.3
2073.436,2,83.657,44,SOFT,5.0,1,1,,,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2075.521,2,83.495,77,SOFT,5.0,1,1,179.08972222222383,44,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2076.409,2,83.595,33,SOFT,5.0,1,1,35.468611111111386,77,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2077.493,2,83.893,5,SOFT,5.0,1,1,97.31083333333481,33,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2078.219,2,84.378,16,SOFT,5.0,1,1,50.80416666666497,5,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2078.884,2,84.591,10,SOFT,5.0,1,1,40.63083333333725,16,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2079.604,2,84.854,8,SOFT,5.0,1,1,70.94833333332917,10,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2080.115,2,85.593,20,SOFT,5.0,1,1,40.404444444437104,8,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2080.877,2,85.634,26,SOFT,5.0,1,1,38.42111111111899,20,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2081.537,2,86.009,23,SOFT,2.0,1,1,32.292222222220516,26,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2082.171,2,86.323,55,SOFT,2.0,1,1,37.37833333333765,23,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2082.739,2,86.364,3,SOFT,5.0,1,1,39.05111111110455,55,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2083.387,2,86.549,11,SOFT,2.0,1,1,10.25333333333856,3,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2083.728,2,86.917,18,MEDIUM,2.0,1,1,9.969166666673118,99,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2084.228,2,87.105,99,SOFT,2.0,1,1,45.01777777777261,11,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2084.644,2,87.195,4,SOFT,2.0,1,1,74.8700000000008,18,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2085.549,2,88.746,88,MEDIUM,2.0,1,1,52.34611111110826,4,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2085.699,2,87.232,27,MEDIUM,2.0,1,1,44.27111111110844,7,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2086.442,2,88.445,63,MEDIUM,2.0,1,1,51.56083333333754,88,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2090.049,2,85.55,7,MEDIUM,2.0,1,1,11.521388888891124,27,Montmeló,19.8,57.9,1007.0,False,41.8,160,1.5
2157.093,3,83.183,44,SOFT,6.0,1,1,,,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2159.016,3,83.021,77,SOFT,6.0,1,1,169.14305555557075,44,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2160.004,3,83.359,33,SOFT,6.0,1,1,32.968333333321425,77,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2161.386,3,83.455,5,SOFT,6.0,1,1,127.29194444445056,33,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2162.597,3,83.549,16,SOFT,6.0,1,1,93.80972222221317,5,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2163.475,3,83.795,10,SOFT,6.0,1,1,50.75583333333998,16,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2164.458,3,84.4,8,SOFT,6.0,1,1,119.00305555554587,10,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2165.708,3,84.883,20,SOFT,6.0,1,1,90.72277777776435,8,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2166.511,3,84.954,26,SOFT,6.0,1,1,35.331666666683304,20,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2167.546,3,84.971,23,SOFT,3.0,1,1,73.43388888889785,26,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2168.494,3,85.21,55,SOFT,3.0,1,1,47.591388888886286,23,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2169.103,3,85.278,3,SOFT,6.0,1,1,39.814444444426044,55,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2169.936,3,85.829,11,SOFT,3.0,1,1,40.140833333342016,3,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2170.645,3,85.962,18,MEDIUM,3.0,1,1,25.894166666668752,99,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2171.333,3,85.88,99,SOFT,3.0,1,1,55.59916666666686,11,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2171.839,3,86.159,4,SOFT,3.0,1,1,88.13138888887988,18,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2172.931,3,86.311,27,MEDIUM,3.0,1,1,176.62916666666388,7,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2174.295,3,87.102,88,MEDIUM,3.0,1,1,193.81777777778552,4,Montmeló,19.7,58.7,1007.0,False,41.8,95,2.2
2174.887,3,88.553,63,MEDIUM,3.0,1,1,22.08638888889618,88,Montmeló,19.8,59.0,1007.0,False,42.0,5,1.6
2175.599,3,86.653,7,MEDIUM,3.0,1,1,10.55694444443543,63,Montmeló,19.8,59.0,1007.0,False,42.0,5,1.6
2240.276,4,82.782,44,SOFT,7.0,1,1,,,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2242.037,4,83.161,77,SOFT,7.0,1,1,170.2872222222304,44,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2243.363,4,83.097,33,SOFT,7.0,1,1,38.89888888887981,77,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2244.841,4,83.378,5,SOFT,7.0,1,1,138.11416666666628,33,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2246.146,4,83.153,16,SOFT,7.0,1,1,115.08444444444103,5,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2247.27,4,83.635,10,SOFT,7.0,1,1,54.33222222221957,16,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2248.858,4,84.389,8,SOFT,7.0,1,1,193.97194444443994,10,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2250.591,4,84.485,20,SOFT,7.0,1,1,120.6788888888932,8,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2251.465,4,84.568,26,SOFT,7.0,1,1,36.9294444444422,20,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2252.517,4,84.565,23,SOFT,4.0,1,1,85.66611111112252,26,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2253.704,4,84.586,55,SOFT,4.0,1,1,60.48611111111859,23,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2254.381,4,84.611,3,SOFT,7.0,1,1,41.85444444441964,55,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2255.765,4,85.141,11,SOFT,4.0,1,1,101.82833333334383,3,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2256.607,4,85.34,18,MEDIUM,4.0,1,1,54.297777777796,99,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2257.213,4,85.567,99,SOFT,4.0,1,1,29.935833333312985,11,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2257.998,4,85.283,4,SOFT,4.0,1,1,101.13527777776835,18,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2259.242,4,85.576,27,MEDIUM,4.0,1,1,40.14027777776937,63,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2261.397,4,87.185,88,MEDIUM,4.0,1,1,27.853888888883375,7,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2262.252,4,86.605,7,MEDIUM,4.0,1,1,281.76027777780473,4,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2263.44,4,86.66,63,MEDIUM,4.0,1,1,10.193055555559113,27,Montmeló,19.8,58.1,1007.1,False,41.8,28,3.0
2323.058,5,82.698,44,SOFT,8.0,1,1,,,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
2325.198,5,82.676,77,SOFT,8.0,1,1,213.8474999999853,44,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
2326.46,5,82.803,33,SOFT,8.0,1,1,15.796111111121718,77,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
2328.219,5,83.232,5,SOFT,8.0,1,1,170.71916666665493,33,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
2329.299,5,83.277,16,SOFT,8.0,1,1,93.751666666667,5,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
2330.905,5,83.402,10,SOFT,8.0,1,1,83.55916666665871,16,Montmeló,19.8,57.5,1007.1,False,41.8,178,1.5
