LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
1,,MEDIUM,4.0,1,1,,
2,0 days 00:01:41.436000,MEDIUM,5.0,1,1,,
3,0 days 00:01:40.986000,MEDIUM,6.0,1,1,,
4,0 days 00:01:40.789000,MEDIUM,7.0,1,1,,
5,0 days 00:01:40.429000,MEDIUM,8.0,1,1,,
6,0 days 00:01:40.847000,MEDIUM,9.0,1,1,,
7,0 days 00:01:41.578000,MEDIUM,10.0,1,1,,
8,0 days 00:01:41.390000,MEDIUM,11.0,2,1,,
9,0 days 00:01:42.044000,MEDIUM,12.0,2,1,,
10,0 days 00:01:40.988000,MEDIUM,13.0,1,1,,
11,0 days 00:01:41.535000,MEDIUM,14.0,1,1,,
12,0 days 00:01:41.354000,MEDIUM,15.0,1,1,,
13,0 days 00:01:41.069000,MEDIUM,16.0,1,1,,
14,0 days 00:01:41.054000,MEDIUM,17.0,1,1,,
15,0 days 00:01:59.238000,HARD,1.0,1,2,,
16,0 days 00:01:39.201000,HARD,2.0,1,2,297.7325000001583,16
17,0 days 00:01:38.943000,HARD,3.0,1,2,55.725277777935844,16
18,0 days 00:01:38.969000,HARD,4.0,1,2,706.7816666668368,44
19,0 days 00:01:38.916000,HARD,5.0,1,2,666.8113888888911,44
20,0 days 00:01:40.135000,HARD,6.0,1,2,601.809722222155,44
21,0 days 00:01:39.927000,HARD,7.0,1,2,495.3194444442779,44
22,0 days 00:01:40.284000,HARD,8.0,1,2,396.4974999999831,44
23,0 days 00:01:40.401000,HARD,9.0,1,2,299.3258333333506,44
24,0 days 00:01:40.454000,HARD,10.0,1,2,246.19944444452995,44
25,0 days 00:01:40.094000,HARD,11.0,1,2,75.51111111132195,44
26,0 days 00:01:40.136000,HARD,12.0,1,2,,
27,0 days 00:01:39.770000,HARD,13.0,1,2,,
28,0 days 00:01:39.957000,HARD,14.0,1,2,,
29,0 days 00:01:39.618000,HARD,15.0,1,2,,
30,0 days 00:01:40.311000,HARD,16.0,1,2,,
31,0 days 00:01:40.312000,HARD,17.0,1,2,,
32,0 days 00:01:40.325000,HARD,18.0,1,2,,
33,0 days 00:01:41.418000,HARD,19.0,1,2,,
34,0 days 00:01:41.179000,HARD,20.0,1,2,34.41722222263343,33
35,0 days 00:01:40.319000,HARD,21.0,1,2,56.37611111154547,33
36,0 days 00:01:59.268000,MEDIUM,1.0,1,3,,
37,0 days 00:01:36.957000,MEDIUM,2.0,1,3,180.0202777783561,33
38,0 days 00:01:38.668000,MEDIUM,3.0,1,3,94.12305555611965,33
39,0 days 00:01:39.578000,MEDIUM,4.0,1,3,119.86083333389251,33
40,0 days 00:01:38.106000,MEDIUM,5.0,1,3,182.5450000006531,33
41,0 days 00:01:38.814000,MEDIUM,6.0,1,3,156.38250000073458,33
42,0 days 00:01:39.183000,MEDIUM,7.0,1,3,172.56111111136852,33
43,0 days 00:01:38.606000,MEDIUM,8.0,1,3,213.2288888891344,33
44,0 days 00:01:38.691000,MEDIUM,9.0,1,3,226.5000000007567,33
45,0 days 00:01:38.680000,MEDIUM,10.0,1,3,218.8188888897712,33
46,0 days 00:01:39.097000,MEDIUM,11.0,1,3,212.91277777930372,33
47,0 days 00:01:38.637000,MEDIUM,12.0,1,3,229.9591666686174,33
48,0 days 00:01:38.456000,MEDIUM,13.0,1,3,256.4852777803608,33
49,0 days 00:01:38.566000,MEDIUM,14.0,1,3,279.1661111137946,33
50,0 days 00:01:39.667000,MEDIUM,15.0,1,3,309.47472222481156,33
51,0 days 00:01:40.412000,MEDIUM,16.0,1,3,350.86277778010117,33
52,0 days 00:01:39.216000,MEDIUM,17.0,1,3,399.38777777919313,33
53,0 days 00:01:39.393000,MEDIUM,18.0,1,3,385.0347222228884,33
54,0 days 00:01:39.054000,MEDIUM,19.0,1,3,389.73805555613944,33
55,0 days 00:01:40.530000,MEDIUM,20.0,1,3,387.4238888894906,33
56,0 days 00:01:40.351000,MEDIUM,21.0,2,3,389.9180555563653,33
1,,MEDIUM,4.0,1,1,,
2,0 days 00:01:41.043000,MEDIUM,5.0,1,1,117.61944444443725,33
3,0 days 00:01:41.259000,MEDIUM,6.0,1,1,101.1124999999738,33
4,0 days 00:01:41.231000,MEDIUM,7.0,1,1,119.10416666665515,33
5,0 days 00:01:40.861000,MEDIUM,8.0,1,1,142.416388888887,33
6,0 days 00:01:40.945000,MEDIUM,9.0,1,1,164.2644444444195,33
7,0 days 00:01:41.368000,MEDIUM,10.0,1,1,160.18055555553292,33
8,0 days 00:01:41.367000,MEDIUM,11.0,2,1,127.80333333333692,33
9,0 days 00:01:41.614000,MEDIUM,12.0,2,1,146.2255555556403,33
10,0 days 00:01:41.321000,MEDIUM,13.0,1,1,128.7241666667178,33
11,0 days 00:01:41.761000,MEDIUM,14.0,1,1,152.56083333339484,33
12,0 days 00:01:41.578000,MEDIUM,15.0,1,1,152.07305555554922,33
13,0 days 00:01:41.424000,MEDIUM,16.0,1,1,148.2775000000256,33
14,0 days 00:01:40.350000,MEDIUM,17.0,1,1,29.46527777776646,33
15,0 days 00:01:40.647000,MEDIUM,18.0,1,1,,
16,0 days 00:01:41.193000,MEDIUM,19.0,1,1,,
17,0 days 00:01:41.183000,MEDIUM,20.0,1,1,,
18,0 days 00:01:40.863000,MEDIUM,21.0,1,1,,
19,0 days 00:01:40.986000,MEDIUM,22.0,1,1,,
20,0 days 00:01:41.899000,MEDIUM,23.0,1,1,,
21,0 days 00:01:41.446000,MEDIUM,24.0,1,1,,
22,0 days 00:01:41.898000,MEDIUM,25.0,1,1,,
23,0 days 00:01:41.616000,MEDIUM,26.0,1,1,,
24,0 days 00:01:43.383000,MEDIUM,27.0,1,1,,
25,0 days 00:01:59.288000,HARD,1.0,1,2,34.34083333313174,77
26,0 days 00:01:38.446000,HARD,2.0,1,2,925.0786111111811,33
27,0 days 00:01:38.998000,HARD,3.0,1,2,799.618333333492,33
28,0 days 00:01:39.347000,HARD,4.0,1,2,738.2030555556703,33
29,0 days 00:01:39.448000,HARD,5.0,1,2,731.5761111115571,33
30,0 days 00:01:39.335000,HARD,6.0,1,2,727.4419444446103,33
31,0 days 00:01:39.418000,HARD,7.0,1,2,703.3827777776751,33
32,0 days 00:01:39.189000,HARD,8.0,1,2,682.2394444441306,33
33,0 days 00:01:39.303000,HARD,9.0,1,2,611.6008333328355,77
34,0 days 00:01:39.497000,HARD,10.0,1,2,443.79277777686366,77
35,0 days 00:01:39.361000,HARD,11.0,1,2,95.80444444448221,33
36,0 days 00:01:39.763000,HARD,12.0,1,2,,
37,0 days 00:01:40.096000,HARD,13.0,1,2,,
38,0 days 00:01:39.234000,HARD,14.0,1,2,,
39,0 days 00:01:39.222000,HARD,15.0,1,2,,
40,0 days 00:01:39.162000,HARD,16.0,1,2,,
41,0 days 00:01:39.106000,HARD,17.0,1,2,,
42,0 days 00:01:39.213000,HARD,18.0,1,2,,
43,0 days 00:01:39.037000,HARD,19.0,1,2,,
44,0 days 00:01:39.239000,HARD,20.0,1,2,,
45,0 days 00:01:38.968000,HARD,21.0,1,2,,
46,0 days 00:01:39.689000,HARD,22.0,1,2,,
47,0 days 00:01:39.289000,HARD,23.0,1,2,,
48,0 days 00:01:38.842000,HARD,24.0,1,2,,
