LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2021.719,1.0,,44,MEDIUM,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,3,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,31,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,23,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,4,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,10,HARD,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,18,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,11,SOFT,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,33,MEDIUM,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,26,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,5,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,16,SOFT,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,8,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,6,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,20,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,99,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,63,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,7,MEDIUM,1.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,1.0,,77,MEDIUM,4.0,1,1,,,OutLap,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2021.719,0.0,,55,SOFT,4.0,1,1,,,NoPit,False,Spa,18.4,56.1,962.5,False,31.2,0,1.4
2134.242,2.0,110.242,44,MEDIUM,5.0,1,1,,,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2135.675,2.0,110.116,77,MEDIUM,5.0,1,1,78.62055555556617,44,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2136.746,2.0,110.614,33,MEDIUM,5.0,1,1,68.20499999998083,77,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2137.637,2.0,111.446,3,SOFT,5.0,1,1,38.071111111119535,33,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2138.434,2.0,112.021,31,SOFT,5.0,1,1,45.11972222222448,3,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2139.197,2.0,111.996,23,SOFT,5.0,1,1,54.073611111101854,31,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2139.986,2.0,112.145,18,SOFT,5.0,1,1,13.773888888894362,16,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2140.679,2.0,112.23,16,SOFT,2.0,1,1,45.21694444444529,23,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2141.062,2.0,113.617,11,SOFT,5.0,1,1,37.93722222222641,10,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2141.188,2.0,112.409,10,HARD,2.0,1,1,30.58472222221917,18,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2141.995,2.0,113.824,4,SOFT,5.0,1,1,32.842222222227974,11,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2142.832,2.0,113.663,26,MEDIUM,2.0,1,1,8.165555555563515,99,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2143.498,2.0,114.126,5,MEDIUM,2.0,1,1,19.501111111098908,26,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2144.061,2.0,114.022,99,MEDIUM,2.0,1,1,0.5677777777691517,26,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2144.563,2.0,114.097,20,MEDIUM,2.0,1,1,12.994444444449073,5,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2145.27,2.0,113.992,7,MEDIUM,2.0,1,1,72.01777777777625,20,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2145.43,2.0,114.314,63,MEDIUM,2.0,1,1,41.36444444443805,7,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2145.823,2.0,114.568,8,MEDIUM,2.0,1,1,22.464722222229284,6,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2146.583,2.0,114.848,6,MEDIUM,2.0,1,1,16.66138888889145,63,NoPit,True,Spa,18.4,55.8,962.5,False,31.2,343,2.1
2244.484,3.0,110.073,44,MEDIUM,6.0,1,1,,,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2245.791,3.0,110.243,77,MEDIUM,6.0,1,1,69.8247222222144,44,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2247.36,3.0,110.335,33,MEDIUM,6.0,1,1,124.85027777777577,77,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2249.083,3.0,111.069,3,SOFT,6.0,1,1,80.60583333330578,33,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2250.455,3.0,111.569,31,SOFT,6.0,1,1,106.83333333335031,3,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2251.193,3.0,111.516,23,SOFT,6.0,1,1,47.785833333338815,31,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2252.131,3.0,111.977,18,SOFT,6.0,1,1,10.977222222227283,16,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2252.909,3.0,113.36,16,SOFT,3.0,1,1,44.91277777775031,23,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2253.597,3.0,111.368,10,HARD,3.0,1,1,53.24416666667457,18,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2254.679,3.0,112.338,11,SOFT,6.0,1,1,121.55333333334056,10,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2255.819,3.0,112.256,4,SOFT,6.0,1,1,34.554166666652236,11,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2256.495,3.0,112.273,26,MEDIUM,3.0,1,1,16.79222222223143,99,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2257.624,3.0,112.223,5,MEDIUM,3.0,1,1,33.193888888876245,26,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2258.083,3.0,112.768,99,MEDIUM,3.0,1,1,71.42194444445886,4,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2258.66,3.0,113.189,20,MEDIUM,3.0,1,1,18.06250000000182,5,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2259.262,3.0,112.884,7,MEDIUM,3.0,1,1,61.3388888888785,20,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2259.744,3.0,113.217,63,MEDIUM,3.0,1,1,50.35555555555038,7,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2260.391,3.0,113.52,8,MEDIUM,3.0,1,1,20.165555555560786,6,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2261.431,3.0,113.465,6,MEDIUM,3.0,1,1,60.340555555550964,63,NoPit,True,Spa,18.2,54.5,962.4,False,31.5,343,3.0
2354.557,4.0,110.269,44,MEDIUM,7.0,1,1,,,NoPit,True,Spa,18.2,54.9,962.4,False,31.4,328,2.5
2356.034,4.0,109.937,77,MEDIUM,7.0,1,1,82.24638888893242,44,NoPit,True,Spa,18.2,54.9,962.4,False,31.4,328,2.5
2357.695,4.0,110.568,33,MEDIUM,7.0,1,1,137.361388888894,77,NoPit,True,Spa,18.2,54.9,962.4,False,31.4,328,2.5
2360.152,4.0,111.461,3,SOFT,7.0,1,1,125.40166666661753,33,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2362.024,4.0,111.588,31,SOFT,7.0,1,1,148.87277777778945,3,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2362.709,4.0,111.761,23,SOFT,7.0,1,1,51.28416666668272,31,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2364.108,4.0,112.005,18,SOFT,7.0,1,1,78.62444444442735,23,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2364.965,4.0,111.903,10,HARD,4.0,1,1,6.711666666695237,18,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2366.269,4.0,113.023,16,SOFT,4.0,1,1,87.33666666667705,10,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2367.017,4.0,111.241,11,SOFT,7.0,1,1,109.60166666663645,16,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2368.075,4.0,112.35,4,SOFT,7.0,1,1,21.901388888887595,11,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2368.768,4.0,112.397,26,MEDIUM,4.0,1,1,23.664166666651,99,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2369.847,4.0,112.351,5,MEDIUM,4.0,1,1,29.71916666670586,26,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2370.851,4.0,112.378,99,MEDIUM,4.0,1,1,4.452777777791198,26,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2371.849,4.0,113.545,20,MEDIUM,4.0,1,1,89.46027777779454,5,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2372.146,4.0,111.94,7,MEDIUM,4.0,1,1,24.045833333279006,20,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
2372.961,4.0,113.034,63,MEDIUM,4.0,1,1,83.9563888888988,7,NoPit,True,Spa,18.2,54.8,962.4,False,31.4,336,1.8
