LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2002.751,1.0,,44,MEDIUM,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,3,SOFT,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,4,SOFT,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,31,SOFT,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,10,MEDIUM,1.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,23,MEDIUM,1.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,18,MEDIUM,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,20,MEDIUM,1.0,24,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,16,MEDIUM,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,5,SOFT,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,63,MEDIUM,1.0,2,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,55,SOFT,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,99,MEDIUM,1.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,6,MEDIUM,1.0,2,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,8,MEDIUM,1.0,2,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,7,MEDIUM,1.0,2,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,26,MEDIUM,1.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,77,MEDIUM,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,1.0,,33,MEDIUM,4.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2002.751,0.0,,27,HARD,1.0,1,1,,,Silverstone,21.0,44.0,998.7,False,42.3,222,4.3
2096.925,2.0,126.445,44,MEDIUM,5.0,24,1,,,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2098.336,2.0,126.276,77,MEDIUM,5.0,24,1,103.4933333333338,44,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2099.895,2.0,126.326,33,MEDIUM,5.0,24,1,116.44888888889182,77,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2100.829,2.0,127.127,16,MEDIUM,5.0,24,1,45.69027777777319,33,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2101.629,2.0,128.406,55,SOFT,5.0,24,1,37.41861111111302,16,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2102.222,2.0,128.887,3,SOFT,5.0,24,1,12.751388888891597,55,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2102.895,2.0,129.723,4,SOFT,5.0,24,1,99.10194444444187,3,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2103.435,2.0,130.286,18,MEDIUM,5.0,24,1,34.567777777780975,4,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2103.807,2.0,131.306,31,SOFT,5.0,24,1,21.162499999996726,18,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2104.287,2.0,131.969,5,SOFT,5.0,24,1,7.380555555554565,31,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2104.818,2.0,132.616,10,MEDIUM,2.0,24,1,33.77805555555642,5,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2106.031,2.0,132.634,23,MEDIUM,2.0,24,1,14.55194444443805,99,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2106.326,2.0,134.228,99,MEDIUM,2.0,24,1,69.35722222222284,10,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2106.666,2.0,135.827,26,MEDIUM,2.0,24,1,3.6927777777818847,23,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2107.237,2.0,136.618,8,MEDIUM,2.0,24,1,1.0374999999994543,26,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2107.616,2.0,137.416,7,MEDIUM,2.0,24,1,62.60527777778225,8,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2108.164,2.0,137.923,63,MEDIUM,2.0,24,1,47.26749999999811,7,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2108.722,2.0,138.757,6,MEDIUM,2.0,24,1,25.01361111111055,63,Silverstone,21.0,43.5,998.7,False,42.3,227,3.0
2223.37,3.0,,44,MEDIUM,6.0,4,1,,,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2224.612,3.0,,77,MEDIUM,6.0,4,1,45.78055555555875,44,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2226.221,3.0,,33,MEDIUM,6.0,4,1,44.41333333332295,77,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2227.956,3.0,149.468,16,MEDIUM,6.0,4,1,18.603611111089776,33,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2230.035,3.0,148.577,55,SOFT,6.0,4,1,33.83444444445013,3,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2231.109,3.0,148.982,3,SOFT,6.0,4,1,50.797777777786905,16,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2232.618,3.0,149.223,4,SOFT,6.0,4,1,136.936388888922,3,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2233.721,3.0,149.271,18,MEDIUM,6.0,4,1,25.032777777776573,4,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2235.113,3.0,149.09,31,SOFT,6.0,4,1,36.40361111108723,18,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2236.256,3.0,148.6,5,SOFT,6.0,4,1,15.588055555566825,31,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2237.434,3.0,149.661,10,MEDIUM,3.0,4,1,34.34583333333467,5,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2238.665,3.0,,23,MEDIUM,3.0,4,1,36.850833333317496,10,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2240.554,3.0,149.7,99,MEDIUM,3.0,4,1,7.38750000003165,23,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2242.493,3.0,149.324,26,MEDIUM,3.0,4,1,11.612500000001091,8,Silverstone,21.0,43.1,998.7,False,42.3,202,4.6
2243.855,3.0,,8,MEDIUM,3.0,4,1,2.5208333333339397,26,Silverstone,20.9,43.8,998.6,False,42.3,179,4.7
2245.032,3.0,,7,MEDIUM,3.0,4,1,91.68083333333561,8,Silverstone,20.9,43.8,998.6,False,42.3,179,4.7
2246.087,3.0,,63,MEDIUM,3.0,4,1,66.4747222222195,7,Silverstone,20.9,43.8,998.6,False,42.3,179,4.7
2247.479,3.0,,6,MEDIUM,3.0,4,1,30.08888888888214,63,Silverstone,20.9,43.8,998.6,False,42.3,179,4.7
2374.597,4.0,,44,MEDIUM,7.0,4,1,31.165555555562605,3,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2375.118,4.0,,77,MEDIUM,7.0,4,1,4.22083333332921,33,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2376.406,4.0,,33,MEDIUM,7.0,4,1,4.59750000002532,16,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2377.424,4.0,,16,MEDIUM,7.0,4,1,20.221111111059145,44,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2378.612,4.0,,55,SOFT,7.0,4,1,31.99000000000524,33,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2380.091,4.0,,3,SOFT,7.0,4,1,25.06083333332208,44,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2381.841,4.0,,4,SOFT,7.0,4,1,118.61833333335744,55,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2382.992,4.0,,18,MEDIUM,7.0,4,1,7.73305555558909,5,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2384.203,4.0,,31,SOFT,7.0,4,1,6.781388888866786,5,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2384.856,4.0,,5,SOFT,7.0,4,1,13.991111111077771,18,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2387.095,4.0,,10,MEDIUM,4.0,4,1,57.06444444445151,5,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2388.762,4.0,,23,MEDIUM,4.0,4,1,11.855277777736774,99,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2390.254,4.0,,99,MEDIUM,4.0,4,1,26.229444444463297,10,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2391.817,4.0,,26,MEDIUM,4.0,4,1,22.610277777770534,8,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2394.282,4.0,,8,MEDIUM,4.0,4,1,103.7483333333148,99,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2395.56,4.0,,7,MEDIUM,4.0,4,1,100.29694444444613,26,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2397.149,4.0,,63,MEDIUM,4.0,4,1,71.09944444442226,7,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2398.234,4.0,,6,MEDIUM,4.0,4,1,14.463888888923975,63,Silverstone,20.9,42.8,998.6,False,42.5,200,2.9
2527.432,5.0,138.933,44,MEDIUM,8.0,4,1,0.5411111111206992,33,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2528.395,5.0,138.71,77,MEDIUM,8.0,4,1,29.07888888895468,16,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2529.372,5.0,138.752,33,MEDIUM,8.0,4,1,9.682499999988067,44,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2530.734,5.0,138.18,16,MEDIUM,8.0,4,1,16.572499999892898,3,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2532.639,5.0,136.516,55,SOFT,8.0,4,1,72.60944444443157,3,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2535.159,5.0,134.328,3,SOFT,8.0,4,1,47.00055555565632,16,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2536.404,5.0,133.298,4,SOFT,8.0,4,1,181.11305555559738,3,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2537.824,5.0,132.315,18,MEDIUM,8.0,4,1,0.29388888890389353,10,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2539.308,5.0,131.098,31,SOFT,8.0,4,1,0.25833333328409935,18,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2539.844,5.0,131.085,5,SOFT,8.0,4,1,4.025277777804149,31,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2541.031,5.0,130.165,10,MEDIUM,5.0,4,1,9.128333333323098,8,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2543.208,5.0,128.78,23,MEDIUM,5.0,4,1,33.8916666666737,8,Silverstone,21.0,43.8,998.4,False,41.3,228,4.0
2544.555,5.0,128.087,99,MEDIUM,5.0,4,1,26.5666666666948,10,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2546.867,5.0,126.77,26,MEDIUM,5.0,4,1,3.6769444444507826,7,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2548.571,5.0,125.987,8,MEDIUM,5.0,4,1,52.37777777775409,99,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2549.615,5.0,125.243,7,MEDIUM,5.0,4,1,26.92555555555009,26,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2551.313,5.0,123.937,63,MEDIUM,5.0,4,1,57.28750000002765,7,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2552.965,5.0,122.869,6,MEDIUM,5.0,4,1,27.2944444444729,63,Silverstone,21.1,43.3,998.4,False,41.3,246,3.7
2666.365,6.0,90.533,44,MEDIUM,9.0,1,1,31.74666666671692,3,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2667.105,6.0,90.858,77,MEDIUM,9.0,1,1,16.488888888845395,33,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2668.124,6.0,91.959,33,MEDIUM,9.0,1,1,55.80805555549159,44,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2668.914,6.0,93.695,16,MEDIUM,9.0,1,1,41.10444444434688,77,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2669.155,6.0,93.674,55,SOFT,9.0,1,1,38.36194444456851,16,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2669.487,6.0,94.179,3,SOFT,9.0,1,1,14.231944444389228,44,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2669.702,6.0,94.741,4,SOFT,9.0,1,1,52.33944444447843,55,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2670.139,6.0,94.963,18,MEDIUM,9.0,1,1,5.1933333333727205,10,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2670.406,6.0,95.286,31,SOFT,9.0,1,1,6.262222222245327,4,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2670.929,6.0,95.095,5,SOFT,9.0,1,1,9.507499999959691,99,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2671.196,6.0,95.376,10,MEDIUM,6.0,1,1,0.34555555551924044,18,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2671.988,6.0,95.837,23,MEDIUM,6.0,1,1,22.91555555553714,10,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2672.642,6.0,95.001,99,MEDIUM,6.0,1,1,4.960833333370829,5,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2673.637,6.0,94.683,26,MEDIUM,6.0,1,1,74.34333333327959,8,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2674.558,6.0,94.525,8,MEDIUM,6.0,1,1,93.79555555558909,23,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2674.858,6.0,94.648,7,MEDIUM,6.0,1,1,25.943055555519095,26,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2675.25,6.0,95.055,63,MEDIUM,6.0,1,1,64.02027777785042,7,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2675.834,6.0,95.352,6,MEDIUM,6.0,1,1,43.12611111105434,63,Silverstone,21.3,43.3,998.7,False,42.0,209,3.4
2756.898,7.0,91.143,44,MEDIUM,10.0,1,1,,,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2757.963,7.0,91.622,77,MEDIUM,10.0,1,1,102.45972222214186,44,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2760.083,7.0,92.018,33,MEDIUM,10.0,1,1,80.2130555556214,77,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2762.609,7.0,92.95,16,MEDIUM,10.0,1,1,96.05555555542378,3,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2762.829,7.0,93.699,55,SOFT,10.0,1,1,34.055833333477494,16,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2763.666,7.0,94.135,3,SOFT,10.0,1,1,95.3758333332953,33,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2764.443,7.0,94.278,4,SOFT,10.0,1,1,2.225277777717565,99,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2765.102,7.0,94.261,18,MEDIUM,10.0,1,1,3.913888888921065,5,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2765.692,7.0,94.678,31,SOFT,10.0,1,1,27.901111111095815,99,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
2766.024,7.0,94.927,5,SOFT,10.0,1,1,16.34194444445893,31,Silverstone,21.3,43.1,998.6,False,40.9,217,3.7
