LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1990.426,1,,44,MEDIUM,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,33,MEDIUM,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,63,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,23,SOFT,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,8,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,77,MEDIUM,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,5,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,20,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,6,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,7,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,4,SOFT,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,55,SOFT,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,11,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,3,SOFT,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,16,SOFT,5.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,99,SOFT,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,31,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,18,MEDIUM,1.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,26,SOFT,6.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
1990.426,1,,10,SOFT,4.0,2,1,,,OutLap,False,Imola,17.6,72.6,1018.1,False,24.0,163,0.6
2072.36,2,80.55,77,MEDIUM,5.0,1,1,,,NoPit,True,Imola,17.8,71.5,1018.1,False,24.0,96,0.4
2073.762,2,80.211,33,MEDIUM,5.0,1,1,97.67222222222426,77,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
2074.783,2,80.226,44,MEDIUM,5.0,1,1,81.99194444444493,33,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
2076.039,2,81.32,3,SOFT,5.0,1,1,86.99305555555202,44,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
2077.126,2,81.793,10,SOFT,5.0,1,1,95.74277777777752,3,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
2077.707,2,82.058,16,SOFT,6.0,1,1,10.359444444446126,10,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
2078.441,2,82.182,23,SOFT,5.0,1,1,85.53888888888741,16,NoPit,True,Imola,17.9,71.0,1018.2,False,24.3,84,1.2
