LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,MEDIUM,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,MEDIUM,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:32:57.486000,1,,INTERMEDIATE,1.0,1,1,,,Budapest,0 days 00:32:05.649000,21.6,78.1,986.3,False,28.6,168,1.2
0 days 00:34:33.385000,2,0 days 00:01:31.458000,INTERMEDIATE,2.0,1,1,,,Budapest,0 days 00:34:06.577000,21.5,74.8,986.2,False,29.9,84,1.0
0 days 00:34:36.447000,2,0 days 00:01:33.732000,INTERMEDIATE,2.0,1,1,182.65722222222394,44,Budapest,0 days 00:34:06.577000,21.5,74.8,986.2,False,29.9,84,1.0
0 days 00:34:37.242000,2,0 days 00:01:33.264000,INTERMEDIATE,2.0,1,1,31.45694444444507,18,Budapest,0 days 00:34:06.577000,21.5,74.8,986.2,False,29.9,84,1.0
