LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2013.451,1.0,,77,Mercedes,MEDIUM,4.0,24,1,,,OutLap,False,0.0,2,1.419,1.419,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,4,McLaren,SOFT,4.0,24,1,,,OutLap,False,0.0,18,27.946,0.78,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,33,Red Bull Racing,MEDIUM,4.0,24,1,,,OutLap,False,0.0,3,2.502,1.083,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,7,Alfa Romeo Racing,HARD,1.0,24,1,,,OutLap,False,0.0,15,24.967,1.365,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,5,Ferrari,MEDIUM,1.0,24,1,,,OutLap,False,0.0,13,19.013,1.345,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,63,Williams,MEDIUM,1.0,24,1,,,OutLap,False,0.0,16,22.705,3.325,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,20,Haas F1 Team,MEDIUM,1.0,24,1,,,OutLap,False,0.0,9,12.561,1.944,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,6,Williams,MEDIUM,1.0,24,1,,,OutLap,False,0.0,14,23.824,4.811,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,44,Mercedes,SOFT,4.0,24,1,,,OutLap,False,0.0,1,0.0,0.0,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
2013.451,1.0,,23,Red Bull Racing,SOFT,5.0,24,1,,,OutLap,False,0.0,17,27.166,1.027,0,Sochi,53.0,30.3,45.9,1012.5,False,41.0,46,0.5
