LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1963.624,1.0,,11,Racing Point,SOFT,4.0,24,1,,,OutLap,False,0.0,18,28.923,0.013,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,18,Racing Point,SOFT,4.0,24,1,,,OutLap,False,0.0,6,11.446,1.191,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,51,Haas F1 Team,SOFT,1.0,24,1,,,OutLap,False,0.0,16,27.581,1.467,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,55,McLaren,SOFT,4.0,24,1,,,OutLap,False,0.0,3,5.227,2.132,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,3,Renault,SOFT,4.0,24,1,,,OutLap,False,0.0,4,8.848,3.621,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,89,Williams,MEDIUM,1.0,24,1,,,OutLap,False,0.0,15,26.114,1.373,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,23,Red Bull Racing,MEDIUM,1.0,24,1,,,OutLap,False,0.0,12,22.953,1.393,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,6,Williams,SOFT,1.0,24,1,,,OutLap,False,0.0,14,24.741,0.993,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,20,Haas F1 Team,SOFT,1.0,24,1,,,OutLap,False,0.0,11,21.56,1.435,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,77,Mercedes,MEDIUM,5.0,24,1,,,OutLap,False,0.0,2,3.095,3.095,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
1963.624,1.0,,7,Alfa Romeo Racing,MEDIUM,1.0,24,1,,,OutLap,False,0.0,17,28.91,1.329,0,Sakhir,87.0,21.1,58.8,1015.7,False,23.8,7,2.1
