LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
1967.006,1,,77,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,20,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,8,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,63,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,7,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,16,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,23,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,26,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,6,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,5,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,99,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,31,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,10,MEDIUM,1.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,4,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,11,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,55,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,18,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,3,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,44,SOFT,4.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
1967.006,1,,33,MEDIUM,6.0,1,1,,,Spielberg,27.4,36.4,939.0,False,53.3,0.0,1.0
2038.701,2,69.441,77,SOFT,5.0,1,1,0.21944444444534383,4,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2040.698,2,69.859,33,MEDIUM,7.0,1,1,85.03277777777612,44,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2041.825,2,70.366,4,SOFT,5.0,1,1,8.018888888888341,33,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2042.316,2,70.362,23,SOFT,5.0,1,1,39.61361111110773,26,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2042.842,2,70.55,44,SOFT,5.0,1,1,21.179722222224882,23,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2043.584,2,70.812,11,SOFT,5.0,1,1,17.106111111113933,20,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2044.085,2,71.418,16,SOFT,5.0,1,1,1.9647222222247365,5,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2044.401,2,71.958,55,SOFT,5.0,1,1,9.471666666665442,18,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2044.848,2,72.184,18,SOFT,5.0,1,1,0.8502777777780466,63,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2045.637,2,72.072,5,MEDIUM,2.0,1,1,10.402777777772826,11,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2046.034,2,72.125,3,SOFT,5.0,1,1,29.037500000003092,99,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2046.302,2,72.412,10,MEDIUM,2.0,1,1,18.705833333332976,16,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2046.851,2,72.762,20,MEDIUM,2.0,1,1,12.131388888891252,55,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2047.242,2,72.959,99,MEDIUM,2.0,1,1,14.036111111107402,7,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2047.568,2,73.127,26,MEDIUM,2.0,1,1,6.593333333338705,31,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2047.937,2,73.291,31,MEDIUM,2.0,1,1,10.148055555552673,10,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2047.987,2,73.309,7,MEDIUM,2.0,1,1,,,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2048.629,2,73.534,8,MEDIUM,2.0,1,1,0.8047222222239725,20,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2048.806,2,73.736,63,MEDIUM,2.0,1,1,6.016388888891015,55,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2049.41,2,73.861,6,MEDIUM,2.0,1,1,18.631666666669844,99,Spielberg,27.7,35.2,939.0,False,54.1,272.0,0.6
2108.142,3,69.598,77,SOFT,6.0,1,1,16.97361111111013,4,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2110.557,3,69.38,33,MEDIUM,8.0,1,1,30.509722222222535,77,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2112.191,3,71.197,4,SOFT,6.0,1,1,126.1138888888886,23,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2112.678,3,69.579,23,SOFT,6.0,1,1,42.270277777774936,44,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2113.392,3,70.362,44,SOFT,6.0,1,1,63.27055555555398,11,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2114.396,3,70.271,11,SOFT,6.0,1,1,54.63666666667177,16,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2115.503,3,69.925,16,SOFT,6.0,1,1,49.588611111114915,55,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2116.359,3,70.243,55,SOFT,6.0,1,1,20.354999999997744,18,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2117.032,3,70.57,18,SOFT,6.0,1,1,30.18777777777541,3,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
2117.709,3,70.67,5,MEDIUM,3.0,1,1,0.7763888888894144,10,Spielberg,27.7,35.5,939.0,False,54.1,276.0,0.7
