LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,2.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,4.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,MEDIUM,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
0 days 00:33:17.322000,1,,SOFT,1.0,1,1,,,Montmeló,0 days 00:32:51.977000,30.1,55.0,997.8,False,50.1,302,2.1
