LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2005.335,1.0,,44,Mercedes,SOFT,4.0,24,1,,,OutLap,False,0.0,2,3.507,3.507,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,3,Renault,SOFT,4.0,24,1,,,OutLap,False,0.0,6,11.073,2.327,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,11,Racing Point,SOFT,4.0,24,1,,,OutLap,False,0.0,7,11.879,0.806,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,4,McLaren,SOFT,1.0,24,1,,,OutLap,False,0.0,8,14.712,2.833,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,26,AlphaTauri,MEDIUM,1.0,24,1,,,OutLap,False,0.0,9,16.852,2.14,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,77,Mercedes,SOFT,4.0,24,1,,,OutLap,False,0.0,1,0.0,0.0,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,16,Ferrari,SOFT,4.0,24,1,,,OutLap,False,0.0,3,5.61,1.321,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,7,Alfa Romeo Racing,MEDIUM,1.0,24,1,,,OutLap,False,0.0,16,25.638,0.77,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,5,Ferrari,SOFT,1.0,24,1,,,OutLap,False,0.0,18,32.744,7.106,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,63,Williams,MEDIUM,1.0,24,1,,,OutLap,False,0.0,11,19.348,1.19,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,8,Haas F1 Team,MEDIUM,1.0,24,1,,,OutLap,False,0.0,17,51.464,18.72,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,18,Racing Point,SOFT,4.0,24,1,,,OutLap,False,0.0,5,8.746,2.141,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,31,Renault,SOFT,4.0,24,1,,,OutLap,False,0.0,10,18.158,1.306,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,6,Williams,MEDIUM,1.0,24,1,,,OutLap,False,0.0,13,23.919,1.141,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,20,Haas F1 Team,SOFT,1.0,24,1,,,OutLap,False,0.0,12,22.778,3.43,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,23,Red Bull Racing,SOFT,4.0,24,1,,,OutLap,False,0.0,4,6.605,0.995,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,55,McLaren,SOFT,4.0,24,1,,,OutLap,False,0.0,17,33.727,0.983,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2005.335,1.0,,99,Alfa Romeo Racing,SOFT,1.0,24,1,,,OutLap,False,0.0,14,24.868,0.949,0,Mugello,59.0,30.0,39.3,993.5,False,44.9,357,2.0
2112.35,2.0,148.572,77,Mercedes,SOFT,5.0,4,1,,,NoPit,False,0.0,1,0.0,0.0,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2115.874,2.0,146.653,44,Mercedes,SOFT,5.0,4,1,199.68277777777348,77,NoPit,False,0.0,2,1.779,1.779,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2116.91,2.0,146.424,16,Ferrari,SOFT,5.0,4,1,45.89499999999771,44,NoPit,False,0.0,3,2.319,0.54,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2118.228,2.0,145.96,23,Red Bull Racing,SOFT,5.0,4,1,111.75277777777228,16,NoPit,False,0.0,4,3.36,1.041,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2119.524,2.0,145.696,18,Racing Point,SOFT,5.0,4,1,87.98027777778589,23,NoPit,False,0.0,5,4.473,1.113,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2121.872,2.0,144.786,3,Renault,SOFT,5.0,4,1,140.36722222222033,18,NoPit,False,0.0,6,5.517,1.044,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2122.609,2.0,145.389,11,Racing Point,SOFT,5.0,4,1,82.82305555555195,3,NoPit,False,0.0,7,6.605,1.088,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2125.444,2.0,144.371,4,McLaren,SOFT,2.0,4,1,177.27833333333456,11,NoPit,False,0.0,8,8.4,1.795,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2127.826,2.0,144.13,26,AlphaTauri,MEDIUM,2.0,4,1,180.93861111111164,4,NoPit,False,0.0,9,11.027,2.627,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2129.001,2.0,143.856,31,Renault,SOFT,5.0,4,1,23.271111111112077,63,NoPit,False,0.0,10,12.309,1.282,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2130.118,2.0,144.48,63,Williams,MEDIUM,2.0,4,1,99.30666666666457,26,NoPit,False,0.0,11,13.51,1.201,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2133.955,2.0,142.262,20,Haas F1 Team,SOFT,2.0,4,1,290.185277777774,31,NoPit,False,0.0,12,15.858,2.348,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2134.923,2.0,142.833,6,Williams,MEDIUM,2.0,4,1,68.73888888889178,20,NoPit,False,0.0,13,17.375,1.517,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2136.116,2.0,143.099,99,Alfa Romeo Racing,SOFT,2.0,4,1,102.37694444444514,6,NoPit,False,0.0,14,18.565,1.19,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2144.46,2.0,135.826,55,McLaren,SOFT,5.0,4,1,650.0822222222196,99,NoPit,False,0.0,15,20.035,1.47,0,Mugello,59.0,30.2,38.6,993.6,False,45.5,349,2.5
2161.322,2.0,120.769,7,Alfa Romeo Racing,MEDIUM,1.0,4,2,1.5733333333246264,8,OutLap,False,1.0,17,22.435,1.47,0,Mugello,59.0,30.3,39.4,993.6,False,45.5,355,3.4
2163.89,2.0,117.221,8,Haas F1 Team,MEDIUM,2.0,4,1,790.2224999999999,55,NoPit,False,0.0,16,20.965,0.93,0,Mugello,59.0,30.3,39.4,993.6,False,45.5,355,3.4
2172.311,2.0,112.4,5,Ferrari,MEDIUM,1.0,4,2,509.7324999999955,7,OutLap,False,1.0,18,24.289,1.854,0,Mugello,59.0,30.3,39.4,993.6,False,45.5,355,3.4
2260.922,3.0,137.078,77,Mercedes,SOFT,6.0,4,1,,,NoPit,False,0.0,1,0.0,0.0,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2262.527,3.0,136.551,44,Mercedes,SOFT,6.0,4,1,73.50666666664802,77,NoPit,False,0.0,2,1.214,1.214,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2263.334,3.0,136.385,16,Ferrari,SOFT,6.0,4,1,11.305555555563842,44,NoPit,False,0.0,3,2.861,1.647,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2264.188,3.0,136.967,23,Red Bull Racing,SOFT,6.0,4,1,90.0711111111068,16,NoPit,False,0.0,4,3.559,0.698,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2265.22,3.0,137.382,18,Racing Point,SOFT,6.0,4,1,65.96972222223121,23,NoPit,False,0.0,5,4.911,1.352,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2266.658,3.0,137.351,3,Renault,SOFT,6.0,4,1,36.42916666668498,18,NoPit,False,0.0,6,6.05,1.139,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2267.998,3.0,137.193,11,Racing Point,SOFT,6.0,4,1,143.21777777775424,3,NoPit,False,0.0,7,7.622,1.572,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2269.815,3.0,137.331,4,McLaren,SOFT,3.0,4,1,86.37277777777854,11,NoPit,False,0.0,8,8.477,0.855,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2271.956,3.0,137.237,26,AlphaTauri,MEDIUM,3.0,4,1,161.3158333333322,4,NoPit,False,0.0,9,10.284,1.807,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2272.857,3.0,137.987,31,Renault,SOFT,6.0,4,1,105.34972222225042,26,NoPit,False,0.0,10,11.246,0.962,0,Mugello,59.0,30.3,39.3,993.5,False,45.6,16,2.4
2274.598,3.0,137.132,63,Williams,MEDIUM,3.0,4,1,100.78750000001492,26,NoPit,False,0.0,11,12.186,0.94,0,Mugello,59.0,30.1,39.3,993.6,False,45.2,346,3.0
2276.217,3.0,137.241,20,Haas F1 Team,SOFT,3.0,4,1,113.1919444444211,31,NoPit,False,0.0,12,14.287,2.101,0,Mugello,59.0,30.1,39.3,993.6,False,45.2,346,3.0
2277.756,3.0,137.245,6,Williams,MEDIUM,3.0,4,1,79.69361111112266,20,NoPit,False,0.0,13,15.243,0.956,0,Mugello,59.0,30.1,39.3,993.6,False,45.2,346,3.0
2279.215,3.0,136.806,99,Alfa Romeo Racing,SOFT,3.0,4,1,128.19166666667297,6,NoPit,False,0.0,14,16.443,1.2,0,Mugello,59.0,30.1,39.3,993.6,False,45.2,346,3.0
2280.286,3.0,136.43,55,McLaren,SOFT,6.0,4,1,144.43305555554798,8,NoPit,False,0.0,15,18.014,1.571,0,Mugello,59.0,30.1,39.3,993.6,False,45.2,346,3.0
