LapStartTime,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,Track,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,HARD,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,SOFT,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,SOFT,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,HARD,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,SOFT,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,1.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,SOFT,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
0 days 01:01:55.477000,1.0,,MEDIUM,4.0,4,1,,,Spielberg,0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2
