LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3728.438,1,,33,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,77,SOFT,5.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,22,SOFT,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,10,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,47,SOFT,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,16,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,63,MEDIUM,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,14,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,9,MEDIUM,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,6,MEDIUM,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,88,MEDIUM,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,11,HARD,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,31,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,99,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,4,MEDIUM,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,5,SOFT,1.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
3728.438,1,,3,SOFT,4.0,1,1,,,OutLap,False,Zandvoort,21.7,53.7,1021.6,False,36.1,265,0.2
