LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
1.0,,MEDIUM,4.0,24,1,,
2.0,0 days 00:02:22.712000,MEDIUM,5.0,4,1,81.84249999999156,33
3.0,,MEDIUM,6.0,4,1,62.75972222222481,33
4.0,0 days 00:01:44.932000,MEDIUM,7.0,26,1,0.00027777777177107055,16
5.0,0 days 00:01:45.139000,MEDIUM,8.0,67,1,136.635277777772,33
6.0,0 days 00:01:36.169000,MEDIUM,9.0,1,1,208.54805555551138,33
7.0,0 days 00:01:36.123000,MEDIUM,10.0,1,1,141.26499999993757,33
8.0,0 days 00:01:36.075000,MEDIUM,11.0,1,1,154.8491666664995,33
9.0,0 days 00:01:36.148000,MEDIUM,12.0,1,1,158.33583333313436,33
10.0,0 days 00:01:36.082000,MEDIUM,13.0,1,1,171.4263888887217,33
11.0,0 days 00:01:36.143000,MEDIUM,14.0,1,1,158.50694444426335,33
12.0,0 days 00:01:36.507000,MEDIUM,15.0,1,1,161.0058333332563,33
13.0,0 days 00:01:38.924000,MEDIUM,16.0,1,1,164.48722222208744,33
14.0,0 days 00:01:55.006000,HARD,1.0,1,2,393.0736111108854,33
15.0,0 days 00:01:34.057000,HARD,2.0,1,2,35.8574999999546,55
16.0,0 days 00:01:35.104000,HARD,3.0,1,2,675.480277778217,77
17.0,0 days 00:01:35.099000,HARD,4.0,1,2,1028.4155555555917,33
18.0,0 days 00:01:35.266000,HARD,5.0,1,2,184.49944444437278,33
19.0,0 days 00:01:35.346000,HARD,6.0,1,2,,
20.0,0 days 00:01:35.324000,HARD,7.0,1,2,,
21.0,0 days 00:01:35.837000,HARD,8.0,1,2,,
22.0,0 days 00:01:35.539000,HARD,9.0,1,2,,
23.0,0 days 00:01:35.219000,HARD,10.0,1,2,,
24.0,0 days 00:01:35.087000,HARD,11.0,1,2,,
25.0,0 days 00:01:35.359000,HARD,12.0,1,2,,
26.0,0 days 00:01:35.622000,HARD,13.0,1,2,,
27.0,0 days 00:01:35.940000,HARD,14.0,1,2,,
28.0,0 days 00:01:37.835000,HARD,15.0,1,2,,
29.0,0 days 00:01:55.194000,HARD,1.0,1,3,50.879444444173714,33
30.0,0 days 00:01:34.365000,HARD,2.0,1,3,648.3161111110821,77
31.0,0 days 00:01:35.305000,HARD,3.0,1,3,1142.2463888888014,33
32.0,0 days 00:01:34.729000,HARD,4.0,1,3,1134.2713888887374,33
33.0,0 days 00:01:35.041000,HARD,5.0,1,3,1090.661666666565,33
34.0,0 days 00:01:34.665000,HARD,6.0,1,3,1071.4011111111322,33
35.0,0 days 00:01:34.745000,HARD,7.0,1,3,1006.8783333334432,33
36.0,0 days 00:01:34.754000,HARD,8.0,1,3,943.4141666666255,33
37.0,0 days 00:01:34.740000,HARD,9.0,1,3,883.0058333332418,33
38.0,0 days 00:01:34.720000,HARD,10.0,1,3,842.8758333331207,33
39.0,0 days 00:01:34.816000,HARD,11.0,1,3,801.3619444443902,33
40.0,0 days 00:01:34.890000,HARD,12.0,1,3,115.27444444454159,33
41.0,0 days 00:01:34.334000,HARD,13.0,1,3,,
42.0,0 days 00:01:34.199000,HARD,14.0,1,3,,
43.0,0 days 00:01:34.163000,HARD,15.0,1,3,,
44.0,0 days 00:01:34.015000,HARD,16.0,2,3,,
45.0,0 days 00:01:34.583000,HARD,17.0,2,3,,
46.0,0 days 00:01:34.492000,HARD,18.0,1,3,,
47.0,0 days 00:01:34.591000,HARD,19.0,1,3,,
48.0,0 days 00:01:34.167000,HARD,20.0,1,3,,
49.0,0 days 00:01:34.136000,HARD,21.0,1,3,,
50.0,0 days 00:01:34.354000,HARD,22.0,1,3,,
51.0,0 days 00:01:34.579000,HARD,23.0,1,3,,
52.0,0 days 00:01:34.939000,HARD,24.0,1,3,,
53.0,0 days 00:01:36.155000,HARD,25.0,1,3,,
54.0,0 days 00:01:34.814000,HARD,26.0,1,3,,
55.0,0 days 00:01:34.706000,HARD,27.0,1,3,,
56.0,0 days 00:01:34.918000,HARD,28.0,1,3,,
1.0,,MEDIUM,4.0,24,1,,
2.0,0 days 00:02:22.406000,MEDIUM,5.0,4,1,,
3.0,,MEDIUM,6.0,4,1,,
4.0,0 days 00:01:44.343000,MEDIUM,7.0,26,1,,
5.0,0 days 00:01:44.629000,MEDIUM,8.0,67,1,,
6.0,0 days 00:01:35.982000,MEDIUM,9.0,1,1,,
7.0,0 days 00:01:35.902000,MEDIUM,10.0,1,1,,
8.0,0 days 00:01:36.032000,MEDIUM,11.0,1,1,,
9.0,0 days 00:01:36.012000,MEDIUM,12.0,1,1,,
10.0,0 days 00:01:36.175000,MEDIUM,13.0,1,1,,
11.0,0 days 00:01:36.179000,MEDIUM,14.0,1,1,,
12.0,0 days 00:01:36.592000,MEDIUM,15.0,1,1,,
13.0,0 days 00:01:36.291000,MEDIUM,16.0,1,1,,
14.0,0 days 00:01:36.880000,MEDIUM,17.0,1,1,,
15.0,0 days 00:01:36.924000,MEDIUM,18.0,1,1,,
16.0,0 days 00:01:37.033000,MEDIUM,19.0,1,1,,
17.0,0 days 00:01:39.153000,MEDIUM,20.0,1,1,,
18.0,0 days 00:01:55.532000,MEDIUM,1.0,1,2,,
19.0,0 days 00:01:34.421000,MEDIUM,2.0,1,2,508.248333333293,44
20.0,0 days 00:01:34.870000,MEDIUM,3.0,1,2,439.47611111117294,44
21.0,0 days 00:01:34.829000,MEDIUM,4.0,1,2,401.5125000001426,44
22.0,0 days 00:01:35.159000,MEDIUM,5.0,1,2,329.6661111112626,44
23.0,0 days 00:01:35.122000,MEDIUM,6.0,1,2,298.9322222223418,44
24.0,0 days 00:01:35.207000,MEDIUM,7.0,1,2,295.0211111113895,44
25.0,0 days 00:01:35.044000,MEDIUM,8.0,1,2,316.20638888914254,44
26.0,0 days 00:01:34.958000,MEDIUM,9.0,1,2,290.34027777813026,44
27.0,0 days 00:01:35.118000,MEDIUM,10.0,1,2,240.20694444482797,44
28.0,0 days 00:01:35.126000,MEDIUM,11.0,1,2,183.62694444469525,44
29.0,0 days 00:01:35.282000,MEDIUM,12.0,1,2,,
30.0,0 days 00:01:35.476000,MEDIUM,13.0,1,2,,
31.0,0 days 00:01:35.054000,MEDIUM,14.0,1,2,,
32.0,0 days 00:01:35.378000,MEDIUM,15.0,1,2,,
33.0,0 days 00:01:35.286000,MEDIUM,16.0,1,2,,
34.0,0 days 00:01:35.638000,MEDIUM,17.0,1,2,,
35.0,0 days 00:01:35.593000,MEDIUM,18.0,1,2,,
36.0,0 days 00:01:35.721000,MEDIUM,19.0,1,2,,
37.0,0 days 00:01:35.620000,MEDIUM,20.0,1,2,,
38.0,0 days 00:01:35.921000,MEDIUM,21.0,1,2,,
39.0,0 days 00:01:37.828000,MEDIUM,22.0,1,2,,
40.0,0 days 00:01:53.437000,HARD,1.0,1,3,,
41.0,0 days 00:01:33.228000,HARD,2.0,1,3,609.8258333332778,44
42.0,0 days 00:01:33.450000,HARD,3.0,1,3,526.9677777779871,44
43.0,0 days 00:01:33.231000,HARD,4.0,1,3,476.1741666671296,44
44.0,0 days 00:01:33.594000,HARD,5.0,2,3,419.07944444505847,44
45.0,0 days 00:01:34.056000,HARD,6.0,1,3,364.709444445034,44
46.0,0 days 00:01:33.894000,HARD,7.0,1,3,331.3877777783491,44
47.0,0 days 00:01:34.092000,HARD,8.0,1,3,283.68611111174687,44
48.0,0 days 00:01:33.818000,HARD,9.0,1,3,234.50638888933463,44
49.0,0 days 00:01:33.576000,HARD,10.0,1,3,210.27500000066357,44
50.0,0 days 00:01:33.893000,HARD,11.0,1,3,173.48111111158505,44
51.0,0 days 00:01:33.964000,HARD,12.0,1,3,148.55888888885966,44
52.0,0 days 00:01:34.669000,HARD,13.0,1,3,100.35305555601371,44
53.0,0 days 00:01:36.413000,HARD,14.0,1,3,82.78555555583443,44
54.0,0 days 00:01:35.073000,HARD,15.0,1,3,90.34944444487337,44
55.0,0 days 00:01:34.565000,HARD,16.0,1,3,112.81416666711448,44
56.0,0 days 00:01:34.727000,HARD,17.0,1,3,104.24305555660976,44
1.0,,MEDIUM,4.0,24,1,,
2.0,0 days 00:02:21.478000,MEDIUM,5.0,4,1,77.82083333333867,16
3.0,,MEDIUM,6.0,4,1,106.4138888889047,16
4.0,0 days 00:01:48.046000,MEDIUM,7.0,26,1,1.9513888889159716,10
5.0,0 days 00:01:43.651000,MEDIUM,8.0,67,1,191.34805555557978,16
6.0,0 days 00:01:37.109000,MEDIUM,9.0,1,1,46.73666666670033,4
7.0,0 days 00:01:36.355000,MEDIUM,10.0,1,1,43.107777777808224,16
8.0,0 days 00:01:36.022000,MEDIUM,11.0,1,1,328.82555555560975,44
9.0,0 days 00:01:37.086000,MEDIUM,12.0,1,1,334.37000000001717,44
10.0,0 days 00:01:36.405000,MEDIUM,13.0,1,1,418.09083333325543,44
11.0,0 days 00:01:36.384000,MEDIUM,14.0,1,1,447.5077777777915,44
12.0,0 days 00:01:36.460000,MEDIUM,15.0,1,1,475.4913888888841,44
13.0,0 days 00:01:36.423000,MEDIUM,16.0,1,1,476.6919444444502,44
14.0,0 days 00:01:36.736000,MEDIUM,17.0,1,1,123.39944444436696,44
15.0,0 days 00:01:36.583000,MEDIUM,18.0,1,1,656.8086111107405,33
16.0,0 days 00:01:39.534000,MEDIUM,19.0,1,1,636.184722221733,33
17.0,0 days 00:01:54.719000,HARD,1.0,1,2,830.0088888884347,33
18.0,0 days 00:01:35.038000,HARD,2.0,1,2,216.46194444419234,11
19.0,0 days 00:01:34.518000,HARD,3.0,1,2,448.4291666664649,33
20.0,0 days 00:01:34.774000,HARD,4.0,1,2,467.26805555542524,33
21.0,0 days 00:01:35.098000,HARD,5.0,1,2,467.83305555525294,33
22.0,0 days 00:01:35.077000,HARD,6.0,1,2,496.64166666628444,33
23.0,0 days 00:01:35.092000,HARD,7.0,1,2,498.1380555552605,33
24.0,0 days 00:01:35.193000,HARD,8.0,1,2,492.5083333331422,33
25.0,0 days 00:01:35.022000,HARD,9.0,1,2,480.01999999994587,33
26.0,0 days 00:01:35.308000,HARD,10.0,1,2,480.1091666665743,33
27.0,0 days 00:01:35.469000,HARD,11.0,1,2,521.7005555555806,33
28.0,0 days 00:01:35.376000,HARD,12.0,1,2,557.6241666667047,33
29.0,0 days 00:01:35.915000,HARD,13.0,1,2,271.5866666667862,44
30.0,0 days 00:01:38.028000,HARD,14.0,1,2,643.6111111113278,33
31.0,0 days 00:02:03.818000,HARD,1.0,1,3,880.715000000142,33
32.0,0 days 00:01:35.120000,HARD,2.0,1,3,382.3947222214192,16
33.0,0 days 00:01:34.457000,HARD,3.0,1,3,116.77805555443047,16
34.0,0 days 00:01:34.472000,HARD,4.0,1,3,271.20083333319053,4
35.0,0 days 00:01:34.400000,HARD,5.0,1,3,1188.8116666664137,44
36.0,0 days 00:01:34.461000,HARD,6.0,1,3,1162.915833333187,44
37.0,0 days 00:01:34.399000,HARD,7.0,1,3,1153.8111111110775,44
38.0,0 days 00:01:34.418000,HARD,8.0,1,3,1128.3827777781407,44
39.0,0 days 00:01:35.198000,HARD,9.0,1,3,1104.1561111115734,44
40.0,0 days 00:01:34.729000,HARD,10.0,1,3,818.1019444451085,33
41.0,0 days 00:01:34.776000,HARD,11.0,1,3,859.3744444454205,33
42.0,0 days 00:01:34.798000,HARD,12.0,1,3,913.7400000004272,33
43.0,0 days 00:01:34.466000,HARD,13.0,1,3,941.2661111115885,33
44.0,0 days 00:01:34.303000,HARD,14.0,2,3,958.7055555560801,33
45.0,0 days 00:01:35.158000,HARD,15.0,1,3,982.7377777783258,33
46.0,0 days 00:01:34.379000,HARD,16.0,1,3,1014.0122222229838,33
47.0,0 days 00:01:34.272000,HARD,17.0,1,3,1046.4825000007986,33
48.0,0 days 00:01:34.217000,HARD,18.0,1,3,1043.5861111122358,33
49.0,0 days 00:01:34.212000,HARD,19.0,1,3,1061.1519444457372,33
50.0,0 days 00:01:34.309000,HARD,20.0,1,3,1087.1852777790627,33
51.0,0 days 00:01:34.488000,HARD,21.0,1,3,1093.974166667671,33
52.0,0 days 00:01:35.125000,HARD,22.0,1,3,1116.124166666821,33
53.0,0 days 00:01:34.644000,HARD,23.0,1,3,1152.0124999999534,33
54.0,0 days 00:01:37.802000,HARD,24.0,1,3,1052.5105555559276,33
55.0,0 days 00:01:55.899000,MEDIUM,4.0,1,4,1234.9088888897677,33
56.0,0 days 00:01:32.090000,MEDIUM,5.0,1,4,2420.585833334073,33
1.0,,SOFT,4.0,24,1,,
2.0,0 days 00:02:20.999000,SOFT,5.0,4,1,114.24555555555435,10
3.0,,SOFT,6.0,4,1,5.072500000023865,10
4.0,0 days 00:01:49.988000,SOFT,7.0,26,1,7.541666666673336,44
5.0,0 days 00:01:42.220000,SOFT,8.0,67,1,62.17611111111546,77
6.0,0 days 00:01:37.893000,SOFT,9.0,1,1,87.84611111112827,16
7.0,0 days 00:01:36.906000,SOFT,10.0,1,1,26.640277777802112,77
8.0,0 days 00:01:37.724000,SOFT,11.0,1,1,52.79194444451423,16
9.0,0 days 00:01:37.360000,SOFT,12.0,1,1,35.76888888893154,16
10.0,0 days 00:01:37.523000,SOFT,13.0,1,1,200.75388888900488,77
11.0,0 days 00:01:37.162000,SOFT,14.0,1,1,286.37805555553496,77
12.0,0 days 00:01:40.425000,SOFT,15.0,1,1,338.25888888888585,77
13.0,0 days 00:01:57.417000,MEDIUM,1.0,1,2,545.8177777778037,77
14.0,0 days 00:01:35.286000,MEDIUM,2.0,1,2,129.3388888889167,63
15.0,0 days 00:01:35.679000,MEDIUM,3.0,1,2,66.38277777796611,6
16.0,0 days 00:01:36.344000,MEDIUM,4.0,1,2,39.32861111042439,55
17.0,0 days 00:01:36.239000,MEDIUM,5.0,1,2,275.6433333333116,77
18.0,0 days 00:01:36.045000,MEDIUM,6.0,1,2,358.908333333311,77
19.0,0 days 00:01:36.084000,MEDIUM,7.0,1,2,394.38666666638164,11
20.0,0 days 00:01:36.463000,MEDIUM,8.0,1,2,446.5958333331655,77
21.0,0 days 00:01:36.569000,MEDIUM,9.0,1,2,467.6177777775447,77
22.0,0 days 00:01:36.371000,MEDIUM,10.0,1,2,496.6536111108726,77
23.0,0 days 00:01:36.547000,MEDIUM,11.0,1,2,550.1155555552541,77
