LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3733.396,1,,16,Ferrari,MEDIUM,1.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,44,Mercedes,MEDIUM,1.0,1,1,,,OutLap,False,0,3,1.601,0.954,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,4,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,6,4.355,0.725,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,3,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,7,4.863,0.508,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,31,Alpine,MEDIUM,1.0,1,1,,,OutLap,False,0,8,5.573,0.71,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,77,Alfa Romeo,MEDIUM,1.0,1,1,,,OutLap,False,0,12,8.414,0.52,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,10,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,9,6.766,1.193,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,23,Williams,HARD,1.0,1,1,,,OutLap,False,0,20,11.938,0.419,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,63,Mercedes,MEDIUM,1.0,1,1,,,OutLap,False,0,5,3.63,1.06,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,24,Alfa Romeo,MEDIUM,1.0,1,1,,,OutLap,False,0,15,9.581,0.268,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,47,Haas F1 Team,MEDIUM,3.0,1,1,,,OutLap,False,0,13,8.794,0.316,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,20,Haas F1 Team,HARD,1.0,1,1,,,OutLap,False,0,16,10.014,0.477,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,22,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,11,7.971,0.486,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,6,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,18,11.145,0.704,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,14,Alpine,HARD,1.0,1,1,,,OutLap,False,0,10,7.44,0.674,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
3733.396,1,,1,Red Bull Racing,MEDIUM,1.0,1,1,,,OutLap,False,0,2,0.647,0.647,0,Melbourne,58,26.7,43.0,1014.4,False,39.4,319,2.2
