LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3764.5,1.0,,1,Red Bull Racing,SOFT,1.0,2,1,,,OutLap,False,0.0,8,9.339,0.678,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,63,Mercedes,MEDIUM,1.0,2,1,,,OutLap,False,0.0,3,3.343,1.193,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,14,Alpine,MEDIUM,1.0,2,1,,,OutLap,False,0.0,4,5.762,2.419,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,16,Ferrari,SOFT,1.0,2,1,,,OutLap,False,0.0,10,10.097,0.546,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,31,Alpine,MEDIUM,1.0,2,1,,,OutLap,False,0.0,13,11.503,0.514,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,5,Aston Martin,MEDIUM,2.0,2,1,,,OutLap,False,0.0,5,7.188,1.426,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,10,AlphaTauri,MEDIUM,1.0,2,1,,,OutLap,False,1.0,19,13.115,0.32,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,23,Williams,MEDIUM,1.0,2,1,,,OutLap,False,0.0,7,8.661,0.732,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,18,Aston Martin,MEDIUM,2.0,2,1,,,OutLap,False,0.0,9,9.551,0.212,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,4,McLaren,MEDIUM,1.0,2,1,,,OutLap,False,0.0,15,11.896,0.188,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
3764.5,1.0,,22,AlphaTauri,HARD,1.0,2,1,,,OutLap,False,1.0,18,12.795,0.407,0,Spa-Francorchamps,44.0,21.7,40.0,971.0,False,36.1,332,1.5
