LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3748.137,1,,1,Red Bull Racing,SOFT,1.0,1,1,,,OutLap,False,0,4,2.742,0.076,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,3,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,3,2.666,1.324,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,20,Haas F1 Team,MEDIUM,1.0,1,1,,,OutLap,False,0,12,7.192,0.503,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,6,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,14,7.883,0.288,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,16,Ferrari,SOFT,1.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,22,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,18,9.335,0.283,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,47,Haas F1 Team,MEDIUM,1.0,1,1,,,OutLap,False,0,17,9.052,0.689,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,18,Aston Martin,MEDIUM,2.0,1,1,,,OutLap,False,0,11,6.689,0.276,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,31,Alpine,SOFT,1.0,1,1,,,OutLap,False,0,13,7.598,0.419,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,45,Williams,SOFT,1.0,1,1,,,OutLap,False,0,8,5.406,0.433,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,63,Mercedes,SOFT,1.0,1,1,,,OutLap,False,0,2,1.342,1.342,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,10,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,5,3.596,0.854,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,4,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,6,4.271,0.675,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
3748.137,1,,11,Red Bull Racing,MEDIUM,1.0,1,1,,,OutLap,False,0,15,8.157,0.245,0,Monza,53,27.5,33.0,993.5,False,43.4,165,0.4
