LapStartTime,LapNumber,LapTime,DriverNumber,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,Track,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3755.625,1.0,,1,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,31,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,44,INTERMEDIATE,2.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,5,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,14,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,63,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,6,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,4,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,16,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,0.0,,55,INTERMEDIATE,1.0,24,1,,,NoPit,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,18,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,22,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,20,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,77,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,24,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,47,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,10,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,3,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,1.0,,11,INTERMEDIATE,1.0,24,1,,,OutLap,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3755.625,0.0,,23,INTERMEDIATE,1.0,24,1,,,NoPit,False,Suzuka,17.5,82.0,1015.7,True,21.3,1,1.7
3877.974,2.0,,1,INTERMEDIATE,2.0,45,1,,,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.0,299,1.2
3880.542,2.0,,16,INTERMEDIATE,2.0,45,1,126.0411111111107,1,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.0,299,1.2
3883.481,2.0,,11,INTERMEDIATE,2.0,45,1,122.78555555555158,16,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.0,299,1.2
3888.606,2.0,,31,INTERMEDIATE,2.0,45,1,344.4469444444494,11,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3892.242,2.0,,44,INTERMEDIATE,3.0,45,1,149.04055555554805,31,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3894.903,2.0,,14,INTERMEDIATE,2.0,45,1,119.04527777778549,44,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3898.186,2.0,,63,INTERMEDIATE,2.0,45,1,190.78555555555613,14,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3900.792,2.0,,3,INTERMEDIATE,2.0,45,1,110.93277777778349,63,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3902.985,2.0,,22,INTERMEDIATE,2.0,45,1,137.08166666666511,3,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3904.513,2.0,,47,INTERMEDIATE,2.0,45,1,48.96111111110986,22,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3906.201,2.0,,18,INTERMEDIATE,2.0,45,1,59.99166666666133,47,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3908.145,2.0,,20,INTERMEDIATE,2.0,45,1,147.36972222222266,18,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3910.069,2.0,,4,INTERMEDIATE,2.0,45,1,104.04722222221699,20,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3912.55,2.0,,77,INTERMEDIATE,2.0,45,1,118.26305555557065,4,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3914.881,2.0,,6,INTERMEDIATE,2.0,45,1,3.3855555555437604,77,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3918.274,2.0,,5,INTERMEDIATE,2.0,45,1,240.70972222222917,6,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3923.225,2.0,,24,INTERMEDIATE,2.0,45,1,258.33027777776897,5,InLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
3925.88,2.0,,10,WET,1.0,45,2,210.0197222222223,24,OutLap,False,Suzuka,17.5,83.0,1015.7,True,21.1,355,1.2
11640.147,3.0,,18,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,63,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,16,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,24,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,6,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,31,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,4,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,20,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,14,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,3,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,1,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
11640.147,3.0,,5,WET,1.0,1,2,,,OutLap,False,Suzuka,15.9,91.0,1015.7,True,18.8,343,2.7
