LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3736.435,1,,1,Red Bull Racing,MEDIUM,1.0,1,1,,,OutLap,False,0,2,0.851,0.851,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,20,Haas F1 Team,MEDIUM,1.0,1,1,,,OutLap,False,0,13,8.277,0.575,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,47,Haas F1 Team,MEDIUM,1.0,1,1,,,OutLap,False,0,12,7.702,0.243,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,6,Williams,HARD,1.0,1,1,,,OutLap,False,0,17,10.643,0.955,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,3,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,11,7.459,0.769,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,22,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,10,6.69,0.494,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,16,Ferrari,MEDIUM,1.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,5,Aston Martin,HARD,3.0,1,1,,,OutLap,False,0,20,17.429,0.719,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,14,Alpine,MEDIUM,1.0,1,1,,,OutLap,False,0,7,4.803,0.809,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,23,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,16,9.751,0.24,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,31,Alpine,HARD,1.0,1,1,,,OutLap,False,0,18,10.769,0.126,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,77,Alfa Romeo,MEDIUM,1.0,1,1,,,OutLap,False,0,5,3.289,0.926,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,44,Mercedes,MEDIUM,1.0,1,1,,,OutLap,False,0,8,5.097,0.294,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,63,Mercedes,HARD,1.0,1,1,,,OutLap,False,0,15,9.489,0.666,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,11,Red Bull Racing,MEDIUM,1.0,1,1,,,OutLap,False,0,4,2.363,0.675,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,18,Aston Martin,HARD,3.0,1,1,,,OutLap,False,0,19,16.71,5.941,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,10,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,6,3.994,0.705,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,55,Ferrari,MEDIUM,1.0,1,1,,,OutLap,False,0,3,1.688,0.837,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,4,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,9,6.196,1.099,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
3736.435,1,,24,Alfa Romeo,MEDIUM,1.0,1,1,,,OutLap,False,0,14,8.823,0.546,0,Miami,57,30.1,64.0,1009.5,False,39.0,161,1.0
