LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
1.0,,MEDIUM,1.0,1,1,,
2.0,0 days 00:01:35.275000,MEDIUM,2.0,1,1,76.57749999999396,16
3.0,0 days 00:01:34.890000,MEDIUM,3.0,1,1,116.2524999999896,16
4.0,0 days 00:01:34.700000,MEDIUM,4.0,1,1,148.8616666666312,16
5.0,0 days 00:01:34.809000,MEDIUM,5.0,1,1,160.0861111110935,16
6.0,0 days 00:01:34.840000,MEDIUM,6.0,1,1,135.11555555547966,16
7.0,0 days 00:01:34.634000,MEDIUM,7.0,1,1,165.38305555547413,16
8.0,0 days 00:01:34.821000,MEDIUM,8.0,1,1,181.053611111005,16
9.0,0 days 00:01:34.832000,MEDIUM,9.0,1,1,228.35111111105653,16
10.0,0 days 00:01:35.252000,MEDIUM,10.0,1,1,227.9313888887773,16
11.0,0 days 00:01:34.959000,MEDIUM,11.0,1,1,284.54694444431516,16
12.0,0 days 00:01:35.191000,MEDIUM,12.0,1,1,301.1266666665324,16
13.0,0 days 00:01:34.982000,MEDIUM,13.0,1,1,331.3524999998772,16
14.0,0 days 00:01:35.093000,MEDIUM,14.0,1,1,369.299722221971,16
15.0,0 days 00:01:35.370000,MEDIUM,15.0,1,1,362.1502777774149,16
16.0,0 days 00:01:44.577000,MEDIUM,16.0,264,1,58.55861111058039,11
17.0,,HARD,1.0,4,2,243.3408333328989,16
18.0,,HARD,2.0,4,2,12.502499999667634,20
19.0,0 days 00:02:29.635000,HARD,3.0,4,2,240.78638888822752,16
20.0,,HARD,4.0,4,2,281.20388888816524,16
21.0,0 days 00:01:35.227000,HARD,5.0,1,2,122.11138888822461,44
22.0,0 days 00:01:34.167000,HARD,6.0,1,2,9.854444444004912,20
23.0,0 days 00:01:33.688000,HARD,7.0,1,2,108.46972222145996,55
24.0,0 days 00:01:33.445000,HARD,8.0,1,2,107.08333333258634,55
25.0,0 days 00:01:33.301000,HARD,9.0,1,2,97.99388888839167,55
26.0,0 days 00:01:33.304000,HARD,10.0,1,2,98.45527777765528,55
27.0,0 days 00:01:33.059000,HARD,11.0,1,2,113.27055555558763,55
28.0,0 days 00:01:33.030000,HARD,12.0,1,2,78.42749999999069,55
29.0,0 days 00:01:32.930000,HARD,13.0,1,2,92.26499999995576,55
30.0,0 days 00:01:32.778000,HARD,14.0,1,2,52.718055555509636,55
31.0,0 days 00:01:32.897000,HARD,15.0,1,2,55.1622222221049,55
32.0,0 days 00:01:32.887000,HARD,16.0,1,2,51.4036111109308,55
33.0,0 days 00:01:32.855000,HARD,17.0,1,2,59.188888888806105,55
34.0,0 days 00:01:32.827000,HARD,18.0,1,2,71.57388888887363,55
35.0,0 days 00:01:32.474000,HARD,19.0,1,2,82.27277777786367,55
36.0,0 days 00:01:32.543000,HARD,20.0,1,2,48.31305555574363,55
37.0,0 days 00:01:33.124000,HARD,21.0,2,2,23.281944444519468,55
