LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
7676.483,1,,11,Red Bull Racing,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,1,0.0,0.0,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,31,Alpine,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,15,15.428,0.757,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,22,AlphaTauri,INTERMEDIATE,7.0,2,1,,,OutLap,False,0,9,10.802,0.797,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,63,Mercedes,INTERMEDIATE,1.0,2,1,,,OutLap,False,1,19,19.201,0.419,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,47,Haas F1 Team,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,14,14.671,0.806,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,20,Haas F1 Team,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,11,12.784,0.578,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,16,Ferrari,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,2,1.033,1.033,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,23,Williams,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,20,19.961,0.76,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,77,Alfa Romeo,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,16,16.41,0.982,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
7676.483,1,,44,Mercedes,INTERMEDIATE,1.0,2,1,,,OutLap,False,0,4,5.068,2.084,0,Marina Bay,59,26.7,82.0,1008.0,False,29.7,38,0.5
