LapStartTime,LapNumber,LapTime,DriverNumber,Team,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead,PitStatus,IsAccurate,NumberOfPitStops,Position,GapToLeader,IntervalToPositionAhead,LapsToLeader,Track,TotalLaps,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3770.632,1,,11,Red Bull Racing,MEDIUM,1.0,1,1,,,OutLap,False,0,2,0.406,0.406,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,2,Williams,HARD,1.0,1,1,,,OutLap,False,0,20,10.413,0.01,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,23,Williams,MEDIUM,1.0,1,1,,,OutLap,False,0,17,9.308,0.443,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,14,Aston Martin,MEDIUM,1.0,1,1,,,OutLap,False,0,1,0.0,0.0,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,81,McLaren,MEDIUM,1.0,1,1,,,OutLap,False,0,19,7.671,1.108,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,4,McLaren,SOFT,1.0,1,1,,,OutLap,False,0,17,9.472,0.338,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,63,Mercedes,MEDIUM,1.0,1,1,,,OutLap,False,0,3,1.801,1.395,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,21,AlphaTauri,MEDIUM,1.0,1,1,,,OutLap,False,0,18,10.024,0.397,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,24,Alfa Romeo,MEDIUM,1.0,1,1,,,OutLap,False,0,10,7.799,0.128,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
3770.632,1,,18,Aston Martin,MEDIUM,1.0,1,1,,,OutLap,False,0,4,2.242,0.441,0,Jeddah,50,25.9,55.0,1010.9,False,31.9,318,2.2
