,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,MEDIUM,1.0,1,1,,
1,2,0 days 00:01:48.954000,MEDIUM,2.0,1,1,54.90388888889447,16
2,3,0 days 00:01:48.690000,MEDIUM,3.0,1,1,69.70916666667472,16
3,4,0 days 00:01:48.248000,MEDIUM,4.0,1,1,88.9033333333391,16
4,5,0 days 00:01:48.312000,MEDIUM,5.0,1,1,65.07611111112783,16
5,6,0 days 00:01:48.566000,MEDIUM,6.0,1,1,62.54833333334682,16
6,7,0 days 00:01:48.775000,MEDIUM,7.0,1,1,78.61861111113103,16
7,8,0 days 00:01:48.907000,MEDIUM,8.0,1,1,95.30527777779207,16
8,9,0 days 00:01:58.315000,MEDIUM,9.0,26,1,114.60333333338349,16
9,10,0 days 00:02:16.036000,MEDIUM,10.0,67,1,76.69916666674544,16
10,11,0 days 00:01:48.416000,MEDIUM,11.0,1,1,139.3944444444569,11
11,12,0 days 00:01:48.502000,MEDIUM,12.0,1,1,110.48222222227923,11
12,13,0 days 00:01:48.507000,MEDIUM,13.0,2,1,105.76583333332383,11
13,14,0 days 00:01:48.692000,MEDIUM,14.0,1,1,88.30166666672449,11
14,15,0 days 00:01:49.087000,MEDIUM,15.0,1,1,,
15,16,0 days 00:01:49.274000,MEDIUM,16.0,1,1,,
16,17,0 days 00:01:49.131000,MEDIUM,17.0,1,1,,
17,18,0 days 00:01:53.486000,MEDIUM,18.0,1,1,,
18,19,0 days 00:02:04.139000,HARD,1.0,1,2,,
19,20,0 days 00:01:46.898000,HARD,2.0,1,2,868.2177777778561,16
20,21,0 days 00:01:47.366000,HARD,3.0,1,2,,
21,22,0 days 00:01:48.153000,HARD,4.0,1,2,,
22,23,0 days 00:01:47.927000,HARD,5.0,1,2,,
23,24,0 days 00:01:47.886000,HARD,6.0,1,2,,
24,25,0 days 00:01:47.631000,HARD,7.0,1,2,,
25,26,0 days 00:01:47.713000,HARD,8.0,1,2,,
26,27,0 days 00:01:47.801000,HARD,9.0,1,2,,
27,28,0 days 00:01:47.643000,HARD,10.0,1,2,,
28,29,0 days 00:01:47.493000,HARD,11.0,1,2,,
29,30,0 days 00:01:47.459000,HARD,12.0,1,2,,
30,31,0 days 00:01:47.700000,HARD,13.0,1,2,,
31,32,0 days 00:01:47.522000,HARD,14.0,1,2,,
32,33,0 days 00:01:59.285000,HARD,15.0,26,2,,
33,34,,HARD,1.0,6,3,,
34,35,0 days 00:02:07.685000,HARD,2.0,67,3,,
35,36,0 days 00:01:46.523000,HARD,3.0,1,3,,
36,37,0 days 00:01:46.367000,HARD,4.0,1,3,,
37,38,0 days 00:01:46.929000,HARD,5.0,1,3,,
38,39,0 days 00:01:46.918000,HARD,6.0,1,3,,
39,40,0 days 00:01:46.959000,HARD,7.0,1,3,,
40,41,0 days 00:01:47.257000,HARD,8.0,1,3,,
41,42,0 days 00:01:46.549000,HARD,9.0,1,3,,
42,43,0 days 00:01:46.480000,HARD,10.0,1,3,,
43,44,0 days 00:01:46.494000,HARD,11.0,1,3,,
44,45,0 days 00:01:46.846000,HARD,12.0,1,3,,
45,46,0 days 00:01:47.090000,HARD,13.0,1,3,,
46,47,0 days 00:01:46.863000,HARD,14.0,1,3,,
47,48,0 days 00:01:47.018000,HARD,15.0,1,3,,
48,49,0 days 00:01:46.855000,HARD,16.0,1,3,,
49,50,0 days 00:01:46.050000,HARD,17.0,1,3,,
50,51,0 days 00:01:47.774000,HARD,18.0,1,3,,
0,1,,MEDIUM,1.0,1,1,,
1,2,0 days 00:01:48.303000,MEDIUM,2.0,1,1,,
2,3,0 days 00:01:48.245000,MEDIUM,3.0,1,1,,
3,4,0 days 00:01:48.517000,MEDIUM,4.0,1,1,,
4,5,0 days 00:01:48.439000,MEDIUM,5.0,1,1,,
