,DriverAhead,DistanceToDriverAhead,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus
0,,,1,,SOFT,1.0,1,1
1,,,2,0 days 00:01:37.853000,SOFT,2.0,1,1
2,,,3,0 days 00:01:38.272000,SOFT,3.0,1,1
3,,,4,0 days 00:01:38.414000,SOFT,4.0,1,1
4,,,5,0 days 00:01:38.471000,SOFT,5.0,1,1
5,,,6,0 days 00:01:38.712000,SOFT,6.0,1,1
6,,,7,0 days 00:01:38.835000,SOFT,7.0,1,1
7,,,8,0 days 00:01:38.951000,SOFT,8.0,1,1
8,,,9,0 days 00:01:38.807000,SOFT,9.0,1,1
9,,,10,0 days 00:01:39.123000,SOFT,10.0,1,1
10,,,11,0 days 00:01:39.306000,SOFT,11.0,1,1
11,,,12,0 days 00:01:39.256000,SOFT,12.0,1,1
12,,,13,0 days 00:01:39.279000,SOFT,13.0,1,1
13,,,14,0 days 00:01:39.629000,SOFT,14.0,1,1
14,,,15,0 days 00:01:42.041000,SOFT,15.0,1,2
15,,,16,0 days 00:01:57.660000,SOFT,4.0,2,1
16,,,17,0 days 00:01:37.520000,SOFT,5.0,2,1
17,,,18,0 days 00:01:37.634000,SOFT,6.0,2,1
18,,,19,0 days 00:01:37.408000,SOFT,7.0,2,1
19,,,20,0 days 00:01:37.562000,SOFT,8.0,2,1
20,,,21,0 days 00:01:37.807000,SOFT,9.0,2,1
21,,,22,0 days 00:01:37.752000,SOFT,10.0,2,1
22,,,23,0 days 00:01:37.774000,SOFT,11.0,2,1
23,,,24,0 days 00:01:37.913000,SOFT,12.0,2,1
24,,,25,0 days 00:01:38.061000,SOFT,13.0,2,1
25,,,26,0 days 00:01:38.371000,SOFT,14.0,2,1
26,,,27,0 days 00:01:38.785000,SOFT,15.0,2,1
27,,,28,0 days 00:01:39.051000,SOFT,16.0,2,1
28,,,29,0 days 00:01:38.887000,SOFT,17.0,2,1
29,,,30,0 days 00:01:39.354000,SOFT,18.0,2,1
30,,,31,0 days 00:01:41.545000,SOFT,19.0,2,1
31,,,32,0 days 00:01:56.325000,MEDIUM,1.0,3,1
32,11,379.76166666887,33,0 days 00:01:36.674000,MEDIUM,2.0,3,1
33,55,59.85000000172295,34,0 days 00:01:36.399000,MEDIUM,3.0,3,1
34,,,35,0 days 00:01:36.501000,MEDIUM,4.0,3,1
35,,,36,0 days 00:01:36.561000,MEDIUM,5.0,3,1
36,,,37,0 days 00:01:36.663000,MEDIUM,6.0,3,1
37,,,38,0 days 00:01:36.623000,MEDIUM,7.0,3,1
38,,,39,0 days 00:01:36.939000,MEDIUM,8.0,3,1
39,,,40,0 days 00:01:36.807000,MEDIUM,9.0,3,1
40,,,41,0 days 00:01:37.044000,MEDIUM,10.0,3,1
41,,,42,0 days 00:01:37.040000,MEDIUM,11.0,3,1
42,,,43,0 days 00:01:37.346000,MEDIUM,12.0,3,1
43,,,44,0 days 00:01:37.509000,MEDIUM,13.0,3,1
44,,,45,0 days 00:01:37.413000,MEDIUM,14.0,3,1
45,,,46,0 days 00:02:05.151000,MEDIUM,15.0,3,64
46,,,47,,SOFT,4.0,4,4
47,,,48,,SOFT,5.0,4,4
48,,,49,0 days 00:02:26.221000,SOFT,6.0,4,4
49,44,98.51000000239583,50,0 days 00:02:24.429000,SOFT,7.0,4,4
50,63,64.77472222474171,51,0 days 00:01:34.570000,SOFT,8.0,4,1
51,44,73.24444444745313,52,0 days 00:01:35.027000,SOFT,9.0,4,1
52,,,53,0 days 00:01:35.127000,SOFT,10.0,4,1
53,,,54,0 days 00:01:35.429000,SOFT,11.0,4,1
54,,,55,0 days 00:01:35.427000,SOFT,12.0,4,1
55,,,56,0 days 00:01:35.673000,SOFT,13.0,4,1
56,,,57,0 days 00:01:36.373000,SOFT,14.0,4,1
57,,,1,,SOFT,4.0,1,1
58,1,52.032222222223936,2,0 days 00:01:38.649000,SOFT,5.0,1,1
59,1,101.18833333334442,3,0 days 00:01:39.049000,SOFT,6.0,1,1
60,1,135.1155555555706,4,0 days 00:01:38.923000,SOFT,7.0,1,1
61,1,156.32777777781666,5,0 days 00:01:39.101000,SOFT,8.0,1,1
62,1,175.48833333340735,6,0 days 00:01:39.594000,SOFT,9.0,1,1
63,1,217.87611111115984,7,0 days 00:01:39.588000,SOFT,10.0,1,1
64,1,255.33444444453926,8,0 days 00:01:39.275000,SOFT,11.0,1,1
65,1,265.0258333333695,9,0 days 00:01:39.424000,SOFT,12.0,1,1
66,1,278.6019444445483,10,0 days 00:01:39.682000,SOFT,13.0,1,1
67,1,304.6950000001234,11,0 days 00:01:39.942000,SOFT,14.0,1,1
68,1,333.3547222223424,12,0 days 00:01:40.097000,SOFT,15.0,1,1
69,1,399.5575000002209,13,0 days 00:01:40.165000,SOFT,16.0,1,1
70,1,447.8477777779335,14,0 days 00:01:43.029000,SOFT,17.0,1,2
71,16,800.6247222221282,15,0 days 00:01:58.327000,SOFT,1.0,2,2
72,11,103.11527777800802,16,0 days 00:01:37.477000,SOFT,2.0,2,1
73,1,559.2227777775697,17,0 days 00:01:37.172000,SOFT,3.0,2,1
74,1,533.9316666664527,18,0 days 00:01:37.561000,SOFT,4.0,2,1
75,1,528.267499999667,19,0 days 00:01:37.581000,SOFT,5.0,2,1
76,1,490.685277777593,20,0 days 00:01:38.059000,SOFT,6.0,2,1
77,1,463.1516666665266,21,0 days 00:01:37.721000,SOFT,7.0,2,1
78,1,418.2458333331015,22,0 days 00:01:37.914000,SOFT,8.0,2,1
79,1,380.2591666664375,23,0 days 00:01:38.244000,SOFT,9.0,2,1
80,1,382.9705555552064,24,0 days 00:01:38.242000,SOFT,10.0,2,1
81,1,377.225277777412,25,0 days 00:01:38.264000,SOFT,11.0,2,1
82,1,366.9869444441283,26,0 days 00:01:38.444000,SOFT,12.0,2,1
83,1,367.13916666660225,27,0 days 00:01:38.846000,SOFT,13.0,2,1
84,1,367.4836111116165,28,0 days 00:01:38.729000,SOFT,14.0,2,1
85,1,344.7252777784888,29,0 days 00:01:38.953000,SOFT,15.0,2,1
86,1,298.67222222243436,30,0 days 00:01:39.004000,SOFT,16.0,2,1
87,16,656.35416666526,31,0 days 00:01:39.105000,SOFT,17.0,2,1
88,,,32,0 days 00:01:39.386000,SOFT,18.0,2,1
89,,,33,0 days 00:01:41.915000,SOFT,19.0,2,1
90,,,34,0 days 00:01:57.101000,MEDIUM,1.0,3,1
91,1,577.7297222220805,35,0 days 00:01:36.454000,MEDIUM,2.0,3,1
92,1,549.3269444442412,36,0 days 00:01:36.600000,MEDIUM,3.0,3,1
93,1,506.85749999978,37,0 days 00:01:36.893000,MEDIUM,4.0,3,1
94,1,469.41555555543164,38,0 days 00:01:37.012000,MEDIUM,5.0,3,1
95,1,475.1508333328529,39,0 days 00:01:37.044000,MEDIUM,6.0,3,1
96,1,462.4847222218523,40,0 days 00:01:37.271000,MEDIUM,7.0,3,1
97,1,458.9577777770173,41,0 days 00:01:36.771000,MEDIUM,8.0,3,1
98,1,436.6424999993469,42,0 days 00:01:37.269000,MEDIUM,9.0,3,1
99,1,406.2774999992107,43,0 days 00:01:37.260000,MEDIUM,10.0,3,1
100,16,955.419444442552,44,0 days 00:01:39.699000,MEDIUM,11.0,3,1
101,16,1132.1027777754935,45,0 days 00:02:03.686000,SOFT,4.0,4,6
102,1,523.5883333321544,46,0 days 00:02:08.331000,SOFT,5.0,4,64
103,1,478.62972222128883,47,0 days 00:02:12.959000,SOFT,6.0,4,4
104,1,246.82666666602017,48,0 days 00:02:15.797000,SOFT,7.0,4,4
105,16,154.1838888860948,49,0 days 00:02:24.765000,SOFT,8.0,4,4
106,16,29.240555553056765,50,0 days 00:02:23.514000,SOFT,9.0,4,4
107,16,10.517499996582046,51,0 days 00:01:35.992000,SOFT,10.0,4,1
108,16,128.13055555149913,52,0 days 00:01:35.740000,SOFT,11.0,4,1
109,44,121.00861110934056,53,0 days 00:01:35.880000,SOFT,12.0,4,1
110,44,91.8169444433297,54,0 days 00:01:36.565000,SOFT,13.0,4,1
111,44,89.50833333248738,55,0 days 00:01:36.075000,SOFT,14.0,4,1
112,44,55.21333333320217,56,0 days 00:01:35.767000,SOFT,15.0,4,1
113,16,400.2105555519811,57,0 days 00:01:36.269000,SOFT,16.0,4,1
114,,,1,,SOFT,3.0,1,1
115,55,21.766666666664605,2,0 days 00:01:39.002000,SOFT,4.0,1,1
116,55,50.87166666665871,3,0 days 00:01:39.075000,SOFT,5.0,1,1
117,55,40.508333333345945,4,0 days 00:01:38.892000,SOFT,6.0,1,1
118,55,26.55361111111779,5,0 days 00:01:38.923000,SOFT,7.0,1,1
119,55,8.939722222214186,6,0 days 00:01:39.707000,SOFT,8.0,1,1
120,55,8.03083333333052,7,0 days 00:01:39.682000,SOFT,9.0,1,1
121,55,0.7547222222201526,8,0 days 00:01:39.758000,SOFT,10.0,1,1
122,55,32.12777777774318,9,0 days 00:01:40.274000,SOFT,11.0,1,1
123,55,104.54194444441964,10,0 days 00:01:41.581000,SOFT,12.0,1,1
124,55,250.09138888884627,11,0 days 00:01:42.945000,SOFT,13.0,1,1
125,11,177.39416666691977,12,0 days 00:02:03.697000,HARD,2.0,2,1
126,24,43.70111111111328,13,0 days 00:01:39.330000,HARD,3.0,2,1
127,77,84.66388888887013,14,0 days 00:01:39.309000,HARD,4.0,2,2
128,20,56.91694444447057,15,0 days 00:01:38.587000,HARD,5.0,2,1
129,63,59.32166666651028,16,0 days 00:01:38.236000,HARD,6.0,2,1
130,55,427.22750000031374,17,0 days 00:01:38.644000,HARD,7.0,2,1
131,11,74.38611111148202,18,0 days 00:01:38.368000,HARD,8.0,2,1
132,11,178.72000000042317,19,0 days 00:01:38.393000,HARD,9.0,2,1
133,11,254.15444444482273,20,0 days 00:01:38.606000,HARD,10.0,2,1
134,11,291.6033333338419,21,0 days 00:01:38.542000,HARD,11.0,2,1
135,11,297.2205555561086,22,0 days 00:01:39.407000,HARD,12.0,2,1
136,11,323.5313888894598,23,0 days 00:01:39.109000,HARD,13.0,2,1
137,11,302.33777777844807,24,0 days 00:01:39.342000,HARD,14.0,2,1
138,11,315.20250000071246,25,0 days 00:01:39.186000,HARD,15.0,2,1
139,11,324.34527777854237,26,0 days 00:01:39.255000,HARD,16.0,2,1
140,11,329.20361111170496,27,0 days 00:01:41.666000,HARD,17.0,2,1
141,11,481.2352777780616,28,0 days 00:02:01.276000,MEDIUM,1.0,3,1
142,10,25.171388888498768,29,0 days 00:01:37.871000,MEDIUM,2.0,3,1
143,20,316.601111110911,30,0 days 00:01:37.506000,MEDIUM,3.0,3,1
144,20,119.5172222222318,31,0 days 00:01:36.660000,MEDIUM,4.0,3,1
145,63,477.2875000005297,32,0 days 00:01:38.290000,MEDIUM,5.0,3,1
146,63,443.5258333339589,33,0 days 00:01:37.085000,MEDIUM,6.0,3,1
147,11,39.95666666753823,34,0 days 00:01:37.593000,MEDIUM,7.0,3,1
148,11,43.02750000075321,35,0 days 00:01:37.470000,MEDIUM,8.0,3,1
149,11,73.77888888996677,36,0 days 00:01:37.660000,MEDIUM,9.0,3,1
150,11,92.50694444513647,37,0 days 00:01:37.771000,MEDIUM,10.0,3,1
151,11,85.86583333401359,38,0 days 00:01:37.942000,MEDIUM,11.0,3,1
152,11,127.59694444545312,39,0 days 00:01:37.668000,MEDIUM,12.0,3,1
153,11,150.6347222229233,40,0 days 00:01:37.898000,MEDIUM,13.0,3,1
154,11,163.83861111174338,41,0 days 00:01:37.912000,MEDIUM,14.0,3,1
155,11,193.1630555560987,42,0 days 00:01:38.422000,MEDIUM,15.0,3,1
156,11,252.7400000007474,43,0 days 00:01:38.205000,MEDIUM,16.0,3,1
157,55,751.0661111108784,44,0 days 00:01:41.007000,MEDIUM,17.0,3,1
158,1,98.171388888004,45,0 days 00:02:11.741000,SOFT,4.0,4,64
159,11,622.8252777786693,46,0 days 00:02:11.044000,SOFT,5.0,4,4
160,11,616.0938888899109,47,0 days 00:02:06.318000,SOFT,6.0,4,4
161,11,558.6450000014447,48,0 days 00:01:59.093000,SOFT,7.0,4,4
162,55,192.31750000020838,49,0 days 00:02:19.798000,SOFT,8.0,4,4
163,,,50,0 days 00:02:20.564000,SOFT,9.0,4,4
164,,,51,0 days 00:01:36.487000,SOFT,10.0,4,1
165,,,52,0 days 00:01:36.360000,SOFT,11.0,4,1
166,16,74.11277777602663,53,0 days 00:01:36.228000,SOFT,12.0,4,1
167,16,167.79694444249617,54,0 days 00:01:36.354000,SOFT,13.0,4,1
168,16,263.8538888859912,55,0 days 00:01:36.566000,SOFT,14.0,4,1
169,16,332.7347222188255,56,0 days 00:01:36.481000,SOFT,15.0,4,1
170,55,20.77694444503868,57,0 days 00:01:36.918000,SOFT,16.0,4,1
171,20,95.02527777777777,2,0 days 00:01:39.694000,SOFT,5.0,1,1
172,11,37.829166666664605,3,0 days 00:01:39.725000,SOFT,6.0,1,1
173,20,51.28444444443994,4,0 days 00:01:39.772000,SOFT,7.0,1,1
174,20,65.0663888889103,5,0 days 00:01:39.041000,SOFT,8.0,1,1
175,11,161.0050000000374,6,0 days 00:01:39.605000,SOFT,9.0,1,1
176,11,187.32416666671634,7,0 days 00:01:39.934000,SOFT,10.0,1,1
177,11,244.38527777785202,8,0 days 00:01:39.729000,SOFT,11.0,1,1
178,11,220.3225000000093,9,0 days 00:01:40.158000,SOFT,12.0,1,1
179,11,206.47305555574712,10,0 days 00:01:40.236000,SOFT,13.0,1,1
180,11,225.6700000001656,11,0 days 00:01:40.358000,SOFT,14.0,1,1
181,44,51.44333333330724,12,0 days 00:01:40.215000,SOFT,15.0,1,1
182,11,268.9061111112751,13,0 days 00:01:40.448000,SOFT,16.0,1,1
183,11,289.7258333336067,14,0 days 00:01:40.409000,SOFT,17.0,1,2
184,55,36.86805555563478,15,0 days 00:01:43.097000,SOFT,18.0,1,2
185,16,266.110277777756,16,0 days 00:02:02.370000,HARD,2.0,2,1
186,11,518.0358333337354,17,0 days 00:01:38.089000,HARD,3.0,2,1
187,11,534.7011111114116,18,0 days 00:01:38.114000,HARD,4.0,2,1
188,11,540.5061111114919,19,0 days 00:01:38.307000,HARD,5.0,2,1
189,11,561.6880555560201,20,0 days 00:01:38.148000,HARD,6.0,2,1
190,11,589.2197222226823,21,0 days 00:01:38.633000,HARD,7.0,2,1
191,11,626.2119444448763,22,0 days 00:01:38.567000,HARD,8.0,2,1
192,44,598.7472222220676,23,0 days 00:01:38.896000,HARD,9.0,2,1
193,44,609.6886111109197,24,0 days 00:01:39.286000,HARD,10.0,2,1
194,44,602.3641666664189,25,0 days 00:01:39.165000,HARD,11.0,2,1
195,44,616.8430555555387,26,0 days 00:01:39.306000,HARD,12.0,2,1
196,44,629.5650000001187,27,0 days 00:01:39.096000,HARD,13.0,2,1
197,44,245.61361111118458,28,0 days 00:01:39.297000,HARD,14.0,2,1
198,11,895.9605555558519,29,0 days 00:01:39.274000,HARD,15.0,2,1
199,11,906.5027777781943,30,0 days 00:01:39.454000,HARD,16.0,2,1
200,1,169.4899999994377,31,0 days 00:01:39.438000,HARD,17.0,2,1
201,1,273.1769444440142,32,0 days 00:01:39.738000,HARD,18.0,2,1
202,1,354.2208333327435,33,0 days 00:01:41.830000,HARD,19.0,2,1
203,11,33.10583333359682,34,0 days 00:01:59.638000,MEDIUM,1.0,3,1
204,11,1102.0311111113115,35,0 days 00:01:37.216000,MEDIUM,2.0,3,1
205,44,1094.9602777767868,36,0 days 00:01:37.527000,MEDIUM,3.0,3,1
206,44,1072.0397222215834,37,0 days 00:01:37.753000,MEDIUM,4.0,3,1
207,44,1056.1727777769847,38,0 days 00:01:37.792000,MEDIUM,5.0,3,1
208,44,1052.520833332237,39,0 days 00:01:37.721000,MEDIUM,6.0,3,1
209,44,1040.1638888880261,40,0 days 00:01:37.790000,MEDIUM,7.0,3,1
210,44,1026.9836111105978,41,0 days 00:01:37.783000,MEDIUM,8.0,3,1
211,44,1001.4949999992677,42,0 days 00:01:38.111000,MEDIUM,9.0,3,1
212,44,996.6577777769999,43,0 days 00:01:38.747000,MEDIUM,10.0,3,1
213,11,194.98527777785785,44,0 days 00:01:38.297000,MEDIUM,11.0,3,1
214,11,240.94166666682577,45,0 days 00:01:48.988000,MEDIUM,12.0,3,64
215,11,310.4641666672251,46,,SOFT,3.0,4,4
216,44,780.3969444442773,47,0 days 00:02:00.695000,SOFT,4.0,4,4
217,44,373.58027777753887,48,0 days 00:02:00.209000,SOFT,5.0,4,4
218,1,80.28472222108394,49,0 days 00:02:18.375000,SOFT,6.0,4,4
219,55,117.60277777782176,50,0 days 00:02:18.204000,SOFT,7.0,4,4
220,47,61.40000000037253,51,0 days 00:01:36.940000,SOFT,8.0,4,1
221,55,12.81250000122236,52,0 days 00:01:36.529000,SOFT,9.0,4,1
222,55,88.88972222374287,53,0 days 00:01:36.367000,SOFT,10.0,4,1
223,55,126.37222222419223,54,0 days 00:01:36.592000,SOFT,11.0,4,1
224,55,129.99111111299135,55,0 days 00:01:36.395000,SOFT,12.0,4,1
225,55,147.80222222342854,56,0 days 00:01:36.302000,SOFT,13.0,4,1
226,44,180.150555556349,57,0 days 00:01:37.401000,SOFT,14.0,4,1
227,44,58.053055555556966,2,0 days 00:01:38.993000,SOFT,2.0,1,1
228,44,66.91027777777526,3,0 days 00:01:41.224000,SOFT,3.0,1,1
229,11,20.668055555548563,4,0 days 00:01:39.642000,SOFT,4.0,1,1
230,11,87.37499999995998,5,0 days 00:01:41.169000,SOFT,5.0,1,1
231,63,88.73472222218697,6,0 days 00:01:40.338000,SOFT,6.0,1,1
232,63,146.09083333332092,7,0 days 00:01:40.555000,SOFT,7.0,1,1
233,63,192.47722222212906,8,0 days 00:01:40.451000,SOFT,8.0,1,1
234,63,258.7794444443789,9,0 days 00:01:40.756000,SOFT,9.0,1,1
235,63,311.5180555554325,10,0 days 00:01:41.195000,SOFT,10.0,1,1
236,63,380.36583333324234,11,0 days 00:01:41.064000,SOFT,11.0,1,1
237,63,434.2347222222088,12,0 days 00:01:41.370000,SOFT,12.0,1,1
238,63,533.8247222222126,13,0 days 00:01:41.283000,SOFT,13.0,1,1
239,63,597.2408333332714,14,0 days 00:01:44.244000,SOFT,14.0,1,2
240,55,192.1649999999645,15,0 days 00:01:59.764000,SOFT,4.0,2,1
241,24,151.22472222236684,16,0 days 00:01:37.968000,SOFT,5.0,2,1
242,63,334.33138888866233,17,0 days 00:01:38.216000,SOFT,6.0,2,1
243,63,370.59527777766925,18,0 days 00:01:38.442000,SOFT,7.0,2,1
244,63,410.6391666665004,19,0 days 00:01:38.539000,SOFT,8.0,2,1
245,63,443.5583333329705,20,0 days 00:01:38.883000,SOFT,9.0,2,1
246,63,498.43611111087375,21,0 days 00:01:38.859000,SOFT,10.0,2,1
247,63,518.0486111109785,22,0 days 00:01:39.058000,SOFT,11.0,2,1
248,63,566.1380555553624,23,0 days 00:01:39.120000,SOFT,12.0,2,1
249,63,587.3694444441353,24,0 days 00:01:39.384000,SOFT,13.0,2,1
250,63,603.3358333331853,25,0 days 00:01:39.520000,SOFT,14.0,2,1
251,63,633.2672222219408,26,0 days 00:01:39.756000,SOFT,15.0,2,1
252,63,672.506944443885,27,0 days 00:01:39.796000,SOFT,16.0,2,1
253,44,356.9299999999639,28,0 days 00:01:39.774000,SOFT,17.0,2,1
254,63,725.127777777845,29,0 days 00:01:39.984000,SOFT,18.0,2,1
255,63,756.8391666671378,30,0 days 00:01:40.174000,SOFT,19.0,2,1
256,1,622.1727777778578,31,0 days 00:01:40.233000,SOFT,20.0,2,1
257,44,185.4547222223191,32,0 days 00:01:40.522000,SOFT,21.0,2,1
258,44,361.9722222221899,33,0 days 00:01:40.523000,SOFT,22.0,2,1
259,63,175.71527777833398,34,0 days 00:01:43.256000,SOFT,23.0,2,1
260,11,842.3958333342453,35,0 days 00:02:00.375000,MEDIUM,1.0,3,1
261,10,72.70083333257935,36,0 days 00:01:37.941000,MEDIUM,2.0,3,1
262,77,34.981111111992504,37,0 days 00:01:36.903000,MEDIUM,3.0,3,1
263,63,1044.868055556697,38,0 days 00:01:37.636000,MEDIUM,4.0,3,1
264,63,1040.9988888899097,39,0 days 00:01:37.566000,MEDIUM,5.0,3,1
265,63,1034.3191666674975,40,0 days 00:01:37.901000,MEDIUM,6.0,3,1
266,63,1044.1527777785668,41,0 days 00:01:37.726000,MEDIUM,7.0,3,1
267,63,1062.9536111121706,42,0 days 00:01:38.006000,MEDIUM,8.0,3,1
268,63,1041.7677777787903,43,0 days 00:01:38.178000,MEDIUM,9.0,3,1
269,63,1015.3813888898003,44,0 days 00:01:38.688000,MEDIUM,10.0,3,1
270,44,853.1538888893265,45,0 days 00:02:03.463000,MEDIUM,11.0,3,64
271,63,779.0938888900273,46,0 days 00:02:06.178000,MEDIUM,12.0,3,4
272,63,596.7333333343558,47,0 days 00:02:07.721000,SOFT,4.0,4,4
273,63,823.2497222231759,48,0 days 00:01:50.334000,SOFT,5.0,4,4
274,1,232.71944444419933,49,0 days 00:02:16.149000,SOFT,6.0,4,4
275,47,70.57805555587402,50,0 days 00:02:17.630000,SOFT,7.0,4,4
276,77,2.2044444455532357,51,0 days 00:01:37.343000,SOFT,8.0,4,1
277,22,6.040833332459442,52,0 days 00:01:36.860000,SOFT,9.0,4,1
278,63,187.4500000012922,53,0 days 00:01:36.623000,SOFT,10.0,4,1
279,63,206.16000000032363,54,0 days 00:01:36.960000,SOFT,11.0,4,1
280,63,233.21638888894813,55,0 days 00:01:36.937000,SOFT,12.0,4,1
281,63,274.87388888932765,56,0 days 00:01:37.091000,SOFT,13.0,4,1
282,63,347.3180555560393,57,0 days 00:01:37.741000,SOFT,14.0,4,1
283,27,18.834999999997308,2,0 days 00:01:40.817000,SOFT,5.0,1,1
284,47,30.88500000000022,3,0 days 00:01:40.732000,SOFT,6.0,1,1
285,27,1.5813888888787915,4,0 days 00:01:41.127000,SOFT,7.0,1,1
286,24,8.132499999970605,5,0 days 00:01:41.817000,SOFT,8.0,1,1
287,24,25.230555555452156,6,0 days 00:01:41.003000,SOFT,9.0,1,1
288,23,1.6333333332659095,7,0 days 00:01:41.287000,SOFT,10.0,1,1
289,24,45.040833333194314,8,0 days 00:01:41.606000,SOFT,11.0,1,1
290,22,438.91611111114617,9,0 days 00:01:40.586000,SOFT,12.0,1,1
291,22,403.0397222222673,10,0 days 00:01:40.788000,SOFT,13.0,1,1
