,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1.0,,SOFT,1.0,2,1,,
1,2.0,0 days 00:02:19.517000,SOFT,2.0,24,1,59.47583333334387,3
2,3.0,,SOFT,3.0,4,1,10.908333333363771,23
3,4.0,,SOFT,4.0,4,1,121.2005555555952,3
4,5.0,0 days 00:01:53.951000,SOFT,5.0,1,1,47.88000000005195,3
5,6.0,0 days 00:01:53.748000,SOFT,6.0,1,1,42.625277777748124,14
6,7.0,0 days 00:01:51.954000,SOFT,7.0,1,1,21.19555555551051,14
7,8.0,0 days 00:01:52.641000,SOFT,8.0,1,1,41.0730555554328,63
8,9.0,0 days 00:01:53.532000,SOFT,9.0,1,1,84.5963888888291,11
9,10.0,0 days 00:01:53.969000,SOFT,10.0,1,1,2.0913888887371286,11
10,11.0,0 days 00:01:54.634000,SOFT,11.0,1,1,143.36722222196113,55
11,12.0,0 days 00:01:53.158000,SOFT,12.0,1,1,,
12,13.0,0 days 00:01:53.728000,SOFT,13.0,1,1,,
13,14.0,0 days 00:01:53.898000,SOFT,14.0,1,1,,
14,15.0,0 days 00:01:57.820000,SOFT,15.0,1,1,,
15,16.0,0 days 00:02:05.124000,MEDIUM,1.0,1,2,,
16,17.0,0 days 00:01:50.747000,MEDIUM,2.0,1,2,320.0424999996176,55
17,18.0,0 days 00:01:51.048000,MEDIUM,3.0,1,2,144.55111111083534,55
18,19.0,0 days 00:01:51.913000,MEDIUM,4.0,1,2,,
19,20.0,0 days 00:01:52.208000,MEDIUM,5.0,1,2,,
20,21.0,0 days 00:01:52.175000,MEDIUM,6.0,1,2,,
21,22.0,0 days 00:01:52.382000,MEDIUM,7.0,1,2,,
22,23.0,0 days 00:01:52.273000,MEDIUM,8.0,1,2,,
23,24.0,0 days 00:01:52.467000,MEDIUM,9.0,1,2,,
24,25.0,0 days 00:01:52.555000,MEDIUM,10.0,1,2,,
25,26.0,0 days 00:01:52.526000,MEDIUM,11.0,1,2,,
26,27.0,0 days 00:01:52.869000,MEDIUM,12.0,1,2,,
27,28.0,0 days 00:01:52.710000,MEDIUM,13.0,1,2,,
28,29.0,0 days 00:01:52.762000,MEDIUM,14.0,1,2,,
29,30.0,0 days 00:01:57.131000,MEDIUM,15.0,1,2,,
30,31.0,0 days 00:02:03.664000,MEDIUM,1.0,1,3,,
31,32.0,0 days 00:01:49.354000,MEDIUM,2.0,1,3,,
32,33.0,0 days 00:01:51.144000,MEDIUM,3.0,1,3,,
33,34.0,0 days 00:01:51.034000,MEDIUM,4.0,1,3,,
34,35.0,0 days 00:01:51.469000,MEDIUM,5.0,1,3,,
35,36.0,0 days 00:01:51.551000,MEDIUM,6.0,1,3,,
36,37.0,0 days 00:01:51.587000,MEDIUM,7.0,1,3,,
37,38.0,0 days 00:01:51.513000,MEDIUM,8.0,1,3,,
38,39.0,0 days 00:01:52.260000,MEDIUM,9.0,1,3,,
39,40.0,0 days 00:01:51.889000,MEDIUM,10.0,1,3,,
40,41.0,0 days 00:01:52.165000,MEDIUM,11.0,1,3,,
41,42.0,0 days 00:01:52.157000,MEDIUM,12.0,1,3,,
42,43.0,0 days 00:01:52.731000,MEDIUM,13.0,1,3,,
43,44.0,0 days 00:01:53.149000,MEDIUM,14.0,1,3,,
0,1.0,,MEDIUM,1.0,2,1,,
1,2.0,0 days 00:02:12.454000,MEDIUM,2.0,24,1,144.9772222222282,55
2,3.0,,MEDIUM,3.0,4,1,210.39527777780313,55
3,4.0,,MEDIUM,4.0,4,1,119.25888888889676,55
4,5.0,0 days 00:01:52.872000,MEDIUM,5.0,1,1,1.9588888888974907,47
5,6.0,0 days 00:01:52.708000,MEDIUM,6.0,1,1,119.98444444456254,55
