,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,MEDIUM,1.0,1,1,,
1,2,0 days 00:01:18.960000,MEDIUM,2.0,1,1,,
2,3,0 days 00:01:18.818000,MEDIUM,3.0,1,1,,
3,4,0 days 00:01:18.393000,MEDIUM,4.0,1,1,,
4,5,0 days 00:01:18.293000,MEDIUM,5.0,1,1,,
5,6,0 days 00:01:18.275000,MEDIUM,6.0,1,1,,
6,7,0 days 00:01:17.828000,MEDIUM,7.0,1,1,,
7,8,0 days 00:01:17.757000,MEDIUM,8.0,1,1,,
8,9,0 days 00:01:52.842000,MEDIUM,9.0,26,1,,
9,10,0 days 00:01:44.647000,HARD,1.0,67,2,242.51611111110833,14
10,11,0 days 00:01:17.808000,HARD,2.0,1,2,238.06611111106758,14
11,12,0 days 00:01:17.370000,HARD,3.0,1,2,197.43500000000495,14
12,13,0 days 00:01:17.518000,HARD,4.0,1,2,148.89694444441557,14
13,14,0 days 00:01:17.791000,HARD,5.0,1,2,77.34083333335002,14
14,15,0 days 00:01:18.076000,HARD,6.0,1,2,15.881944444445253,14
15,16,0 days 00:01:17.457000,HARD,7.0,1,2,338.72333333325514,55
16,17,0 days 00:01:17.356000,HARD,8.0,1,2,339.4594444443064,55
17,18,0 days 00:01:17.450000,HARD,9.0,1,2,331.0033333331521,55
18,19,0 days 00:01:17.458000,HARD,10.0,2,2,322.50749999974505,55
19,20,0 days 00:01:46.720000,HARD,11.0,267,2,311.72222222192795,55
20,21,0 days 00:01:19.307000,HARD,12.0,7,2,,
21,22,0 days 00:01:17.592000,HARD,13.0,1,2,,
22,23,0 days 00:01:17.634000,HARD,14.0,1,2,,
23,24,0 days 00:01:17.581000,HARD,15.0,1,2,,
24,25,0 days 00:01:17.676000,HARD,16.0,1,2,,
25,26,0 days 00:01:17.418000,HARD,17.0,1,2,,
26,27,0 days 00:01:17.528000,HARD,18.0,1,2,,
