,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,SOFT,1.0,1,1,,
1,2,0 days 00:01:16.249000,SOFT,2.0,2,1,,
2,3,0 days 00:01:16.523000,SOFT,3.0,1,1,,
3,4,0 days 00:01:16.656000,SOFT,4.0,2,1,,
4,5,0 days 00:01:16.449000,SOFT,5.0,1,1,,
5,6,0 days 00:01:16.350000,SOFT,6.0,1,1,,
6,7,0 days 00:01:16.253000,SOFT,7.0,1,1,,
7,8,0 days 00:01:16.486000,SOFT,8.0,1,1,,
8,9,0 days 00:01:16.510000,SOFT,9.0,1,1,,
9,10,0 days 00:01:16.636000,SOFT,10.0,1,1,,
10,11,0 days 00:01:16.671000,SOFT,11.0,1,1,,
11,12,0 days 00:01:16.698000,SOFT,12.0,1,1,,
12,13,0 days 00:01:16.521000,SOFT,13.0,1,1,,
13,14,0 days 00:01:16.461000,SOFT,14.0,1,1,,
14,15,0 days 00:01:16.519000,SOFT,15.0,1,1,,
15,16,0 days 00:01:16.537000,SOFT,16.0,1,1,,
16,17,0 days 00:01:16.492000,SOFT,17.0,1,1,,
17,18,0 days 00:01:19.428000,SOFT,18.0,1,1,,
18,19,0 days 00:01:34.740000,MEDIUM,1.0,1,2,,
19,20,0 days 00:01:15.904000,MEDIUM,2.0,1,2,341.8283333332074,63
20,21,0 days 00:01:16.259000,MEDIUM,3.0,1,2,304.1366666666145,63
21,22,0 days 00:01:15.996000,MEDIUM,4.0,1,2,288.952777777813,63
22,23,0 days 00:01:16.164000,MEDIUM,5.0,1,2,257.9222222222015,63
23,24,0 days 00:01:16.224000,MEDIUM,6.0,1,2,210.76361111103324,63
24,25,0 days 00:01:16.102000,MEDIUM,7.0,1,2,180.629444444392,63
25,26,0 days 00:01:16.083000,MEDIUM,8.0,1,2,143.62388888877467,63
26,27,0 days 00:01:15.725000,MEDIUM,9.0,1,2,115.83666666656791,63
27,28,0 days 00:01:16.051000,MEDIUM,10.0,1,2,50.41527777786541,63
28,29,0 days 00:01:16.127000,MEDIUM,11.0,1,2,291.71666666660167,44
29,30,0 days 00:01:16.359000,MEDIUM,12.0,1,2,61.077499999897555,44
30,31,0 days 00:01:16.553000,MEDIUM,13.0,1,2,,
31,32,0 days 00:01:16.327000,MEDIUM,14.0,1,2,,
32,33,0 days 00:01:16.269000,MEDIUM,15.0,1,2,,
33,34,0 days 00:01:16.279000,MEDIUM,16.0,1,2,,
34,35,0 days 00:01:16.334000,MEDIUM,17.0,1,2,,
35,36,0 days 00:01:16.096000,MEDIUM,18.0,1,2,,
36,37,0 days 00:01:16.102000,MEDIUM,19.0,1,2,,
37,38,0 days 00:01:16.119000,MEDIUM,20.0,1,2,,
38,39,0 days 00:01:16.035000,MEDIUM,21.0,1,2,,
39,40,0 days 00:01:15.840000,MEDIUM,22.0,1,2,,
40,41,0 days 00:01:16.097000,MEDIUM,23.0,1,2,,
41,42,0 days 00:01:15.940000,MEDIUM,24.0,1,2,,
42,43,0 days 00:01:16.578000,MEDIUM,25.0,1,2,,
43,44,0 days 00:01:15.656000,MEDIUM,26.0,2,2,,
44,45,0 days 00:01:17.222000,MEDIUM,27.0,2,2,,
45,46,0 days 00:01:15.599000,MEDIUM,28.0,1,2,,
46,47,0 days 00:01:15.756000,MEDIUM,29.0,2,2,,
47,48,0 days 00:01:39.284000,MEDIUM,30.0,26,2,,
48,49,0 days 00:02:01.445000,HARD,1.0,6,3,,
49,50,0 days 00:01:23.226000,HARD,2.0,67,3,,
50,51,0 days 00:01:14.454000,HARD,3.0,1,3,,
51,52,0 days 00:01:14.649000,HARD,4.0,1,3,,
52,53,0 days 00:01:14.445000,HARD,5.0,1,3,,
53,54,0 days 00:01:14.540000,HARD,6.0,1,3,,
54,55,0 days 00:01:14.843000,HARD,7.0,2,3,,
55,56,0 days 00:01:26.101000,HARD,8.0,24,3,,
56,57,,SOFT,4.0,4,4,,
57,58,0 days 00:02:17.717000,SOFT,5.0,4,5,50.799166668293765,63
58,59,0 days 00:02:07.225000,SOFT,6.0,4,5,189.17833333468297,44
59,60,0 days 00:02:02.120000,SOFT,7.0,4,5,190.14388889007387,44
60,61,0 days 00:01:13.682000,SOFT,8.0,1,5,32.01277777814539,16
61,62,0 days 00:01:13.652000,SOFT,9.0,1,5,,
62,63,0 days 00:01:13.780000,SOFT,10.0,1,5,,
63,64,0 days 00:01:13.891000,SOFT,11.0,1,5,,
64,65,0 days 00:01:13.929000,SOFT,12.0,1,5,,
65,66,0 days 00:01:13.960000,SOFT,13.0,1,5,,
66,67,0 days 00:01:13.968000,SOFT,14.0,1,5,,
67,68,0 days 00:01:13.948000,SOFT,15.0,1,5,,
68,69,0 days 00:01:14.027000,SOFT,16.0,1,5,,
69,70,0 days 00:01:14.230000,SOFT,17.0,1,5,,
70,71,0 days 00:01:14.352000,SOFT,18.0,1,5,,
71,72,0 days 00:01:15.061000,SOFT,19.0,1,5,,
0,1,,MEDIUM,1.0,1,1,,
1,2,0 days 00:01:17.931000,MEDIUM,2.0,2,1,70.11055555555504,4
2,3,0 days 00:01:17.207000,MEDIUM,3.0,1,1,76.31000000001222,4
3,4,0 days 00:01:16.776000,MEDIUM,4.0,2,1,58.78083333336508,4
4,5,0 days 00:01:16.653000,MEDIUM,5.0,1,1,180.78916666667283,11
5,6,0 days 00:01:16.578000,MEDIUM,6.0,1,1,159.87249999996493,11
6,7,0 days 00:01:16.778000,MEDIUM,7.0,1,1,143.48999999995067,11
7,8,0 days 00:01:17.102000,MEDIUM,8.0,1,1,119.15166666660662,11
8,9,0 days 00:01:17.176000,MEDIUM,9.0,1,1,133.64777777771815,11
9,10,0 days 00:01:17.106000,MEDIUM,10.0,1,1,138.35111111107835,11
10,11,0 days 00:01:17.228000,MEDIUM,11.0,1,1,105.54805555556231,11
11,12,0 days 00:01:17.724000,MEDIUM,12.0,1,1,81.15222222227021,11
12,13,0 days 00:01:16.939000,MEDIUM,13.0,1,1,98.28388888894551,11
13,14,0 days 00:01:17.278000,MEDIUM,14.0,1,1,58.408611111131904,11
14,15,0 days 00:01:16.885000,MEDIUM,15.0,1,1,34.05166666665173,55
15,16,0 days 00:01:16.948000,MEDIUM,16.0,1,1,244.33527777775453,44
16,17,0 days 00:01:17.009000,MEDIUM,17.0,1,1,253.563055555569,44
17,18,0 days 00:01:16.944000,MEDIUM,18.0,1,1,251.58888888896035,44
18,19,0 days 00:01:17.045000,MEDIUM,19.0,1,1,108.63694444458815,1
19,20,0 days 00:01:16.817000,MEDIUM,20.0,1,1,286.69527777798066,44
20,21,0 days 00:01:16.828000,MEDIUM,21.0,1,1,286.8350000001956,44
21,22,0 days 00:01:16.832000,MEDIUM,22.0,1,1,292.86555555574887,44
22,23,0 days 00:01:16.793000,MEDIUM,23.0,1,1,300.05222222224984,44
23,24,0 days 00:01:16.705000,MEDIUM,24.0,1,1,314.93027777786483,44
24,25,0 days 00:01:16.676000,MEDIUM,25.0,1,1,315.19583333334594,44
25,26,0 days 00:01:16.510000,MEDIUM,26.0,1,1,303.43138888878457,44
