,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,MEDIUM,1.0,2,1,,
1,2,0 days 00:01:38.330000,MEDIUM,2.0,1,1,94.87333333333027,16
2,3,0 days 00:01:38.117000,MEDIUM,3.0,1,1,125.36361111111,16
3,4,0 days 00:01:38.390000,MEDIUM,4.0,1,1,97.24499999999898,16
4,5,0 days 00:01:38.720000,MEDIUM,5.0,1,1,141.5838888888684,16
5,6,0 days 00:01:38.634000,MEDIUM,6.0,1,1,104.55444444443856,16
6,7,0 days 00:01:39.219000,MEDIUM,7.0,1,1,118.32888888880552,16
7,8,0 days 00:01:39.159000,MEDIUM,8.0,1,1,133.9699999998047,16
8,9,0 days 00:01:39.130000,MEDIUM,9.0,1,1,164.66055555537605,16
9,10,0 days 00:01:39.043000,MEDIUM,10.0,1,1,168.63305555537227,16
10,11,0 days 00:01:39.285000,MEDIUM,11.0,1,1,195.04222222197131,16
11,12,0 days 00:01:39.109000,MEDIUM,12.0,1,1,198.22027777755284,16
12,13,0 days 00:01:39.026000,MEDIUM,13.0,1,1,221.50527777752723,16
13,14,0 days 00:01:39.276000,MEDIUM,14.0,1,1,259.0216666665219,16
14,15,0 days 00:01:39.102000,MEDIUM,15.0,1,1,294.1513888886402,16
15,16,0 days 00:01:57.773000,MEDIUM,16.0,1,1,323.9894444441161,16
16,17,0 days 00:01:45.628000,HARD,1.0,1,2,180.0591666664841,14
17,18,0 days 00:01:52.410000,HARD,2.0,24,2,132.17333333317947,4
18,19,,HARD,3.0,4,2,25.27527777745854,63
19,20,,HARD,4.0,4,2,85.81944444420515,44
20,21,0 days 00:01:37.701000,HARD,5.0,1,2,207.4402777775249,44
21,22,0 days 00:01:37.774000,HARD,6.0,2,2,165.88888888861402,44
22,23,0 days 00:01:38.273000,HARD,7.0,2,2,109.75527777742536,44
23,24,0 days 00:01:38.009000,HARD,8.0,1,2,66.22861111076782,44
24,25,0 days 00:01:38.344000,HARD,9.0,1,2,14.212777777458541,44
25,26,0 days 00:01:37.950000,HARD,10.0,1,2,12.091944444313413,44
26,27,0 days 00:01:37.967000,HARD,11.0,1,2,,
27,28,0 days 00:01:37.696000,HARD,12.0,1,2,,
28,29,0 days 00:01:37.695000,HARD,13.0,1,2,,
29,30,0 days 00:01:37.491000,HARD,14.0,1,2,,
30,31,0 days 00:01:37.786000,HARD,15.0,1,2,,
31,32,0 days 00:01:37.804000,HARD,16.0,1,2,,
32,33,0 days 00:01:37.900000,HARD,17.0,1,2,,
33,34,0 days 00:01:37.911000,HARD,18.0,1,2,,
34,35,0 days 00:01:38.301000,HARD,19.0,1,2,,
35,36,0 days 00:01:38.053000,HARD,20.0,1,2,,
36,37,0 days 00:01:38.270000,HARD,21.0,1,2,,
37,38,0 days 00:01:37.683000,HARD,22.0,2,2,,
38,39,0 days 00:01:38.027000,HARD,23.0,1,2,,
39,40,0 days 00:01:37.838000,HARD,24.0,1,2,,
40,41,0 days 00:01:37.736000,HARD,25.0,1,2,,
41,42,0 days 00:01:37.836000,HARD,26.0,1,2,,
42,43,0 days 00:01:37.642000,HARD,27.0,1,2,,
43,44,0 days 00:01:38.019000,HARD,28.0,1,2,,
44,45,0 days 00:01:37.856000,HARD,29.0,1,2,,
45,46,0 days 00:01:38.242000,HARD,30.0,1,2,,
46,47,0 days 00:01:38.073000,HARD,31.0,1,2,,
47,48,0 days 00:01:37.945000,HARD,32.0,1,2,,
48,49,0 days 00:01:38.732000,HARD,33.0,2,2,,
49,50,0 days 00:02:12.092000,HARD,34.0,267,2,,
50,51,0 days 00:01:39.093000,HARD,35.0,1,2,,
51,52,0 days 00:01:38.288000,HARD,36.0,1,2,,
52,53,0 days 00:01:38.442000,HARD,37.0,1,2,,
0,1,,MEDIUM,1.0,2,1,,
1,2,0 days 00:01:39.316000,MEDIUM,2.0,1,1,79.65305555555642,1
2,3,0 days 00:01:39.620000,MEDIUM,3.0,1,1,162.79777777778145,1
3,4,0 days 00:01:39.066000,MEDIUM,4.0,1,1,288.791111111128,1
4,5,0 days 00:01:39.608000,MEDIUM,5.0,1,1,309.24888888888745,1
5,6,0 days 00:01:39.779000,MEDIUM,6.0,1,1,363.63750000001164,1
6,7,0 days 00:01:39.135000,MEDIUM,7.0,1,1,406.54527777781186,1
7,8,0 days 00:01:38.900000,MEDIUM,8.0,1,1,374.17472222232027,1
8,9,0 days 00:01:39.031000,MEDIUM,9.0,1,1,327.7608333334938,1
9,10,0 days 00:01:39.201000,MEDIUM,10.0,1,1,327.1672222223133,1
10,11,0 days 00:01:39.499000,MEDIUM,11.0,1,1,313.47333333337883,1
11,12,0 days 00:01:39.246000,MEDIUM,12.0,1,1,326.57777777780575,1
12,13,0 days 00:01:39.373000,MEDIUM,13.0,1,1,313.4661111112073,1
13,14,0 days 00:01:39.469000,MEDIUM,14.0,1,1,302.56944444437977,1
14,15,0 days 00:01:39.335000,MEDIUM,15.0,1,1,282.106944444502,1
15,16,0 days 00:01:39.428000,MEDIUM,16.0,1,1,284.9994444445474,1
16,17,0 days 00:01:39.772000,MEDIUM,17.0,1,1,575.4338888885541,16
17,18,0 days 00:02:04.746000,MEDIUM,18.0,24,1,,
18,19,,HARD,1.0,4,2,,
19,20,0 days 00:02:29.797000,HARD,2.0,4,2,,
20,21,0 days 00:01:38.102000,HARD,3.0,1,2,,
21,22,0 days 00:01:38.431000,HARD,4.0,2,2,,
22,23,0 days 00:01:38.892000,HARD,5.0,2,2,,
23,24,0 days 00:01:38.487000,HARD,6.0,1,2,,
24,25,0 days 00:01:38.256000,HARD,7.0,1,2,9.610555555904284,1
25,26,0 days 00:01:38.370000,HARD,8.0,1,2,7.703611111268401,1
26,27,0 days 00:01:38.044000,HARD,9.0,1,2,44.40388888918096,1
27,28,0 days 00:01:37.810000,HARD,10.0,1,2,53.3205555556342,1
28,29,0 days 00:01:37.961000,HARD,11.0,1,2,67.4719444445218,1
29,30,0 days 00:01:37.668000,HARD,12.0,1,2,94.862777778093,1
30,31,0 days 00:01:38.109000,HARD,13.0,1,2,110.45333333412418,1
31,32,0 days 00:01:39.196000,HARD,14.0,1,2,122.51083333368297,1
32,33,0 days 00:01:38.485000,HARD,15.0,1,2,206.69166666679666,1
33,34,0 days 00:01:38.145000,HARD,16.0,1,2,234.27888888915186,1
34,35,0 days 00:01:38.282000,HARD,17.0,1,2,228.45222222228767,1
35,36,0 days 00:01:38.689000,HARD,18.0,1,2,234.42555555555737,1
36,37,0 days 00:01:38.034000,HARD,19.0,1,2,286.597777777235,1
37,38,0 days 00:01:38.235000,HARD,20.0,2,2,268.17472222133074,1
38,39,0 days 00:01:38.612000,HARD,21.0,1,2,299.5349999993632,1
39,40,0 days 00:01:38.126000,HARD,22.0,1,2,322.5838888879516,1
40,41,0 days 00:01:37.815000,HARD,23.0,1,2,339.64999999915017,1
41,42,0 days 00:01:38.279000,HARD,24.0,1,2,332.29527777663316,1
42,43,0 days 00:01:38.257000,HARD,25.0,1,2,361.1741666656453,1
43,44,0 days 00:01:38.123000,HARD,26.0,1,2,406.4233333324664,1
44,45,0 days 00:01:37.890000,HARD,27.0,1,2,414.9005555547483,1
45,46,0 days 00:01:38.248000,HARD,28.0,1,2,417.4374999991851,1
46,47,0 days 00:01:38.589000,HARD,29.0,1,2,424.1299999988987,1
47,48,0 days 00:01:38.310000,HARD,30.0,1,2,457.96749999845633,1
48,49,0 days 00:01:38.748000,HARD,31.0,2,2,493.0858333320357,1
49,50,0 days 00:02:11.309000,HARD,32.0,267,2,481.99194444256136,1
50,51,0 days 00:01:38.712000,HARD,33.0,1,2,419.66916666482575,1
51,52,0 days 00:01:38.805000,HARD,34.0,1,2,418.5611111082835,1
52,53,0 days 00:01:39.119000,HARD,35.0,1,2,460.0833333299379,1
0,1,,MEDIUM,1.0,2,1,,
1,2,0 days 00:01:39.807000,MEDIUM,2.0,1,1,51.63694444444263,14
2,3,0 days 00:01:39.389000,MEDIUM,3.0,1,1,52.84361111110411,14
