,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,SOFT,1.0,1,1,,
1,2,0 days 00:01:26.401000,SOFT,2.0,1,1,0.9208333333290284,3
2,3,0 days 00:01:26.181000,SOFT,3.0,1,1,56.37722222222692,63
3,4,0 days 00:01:25.782000,SOFT,4.0,1,1,42.12750000001688,63
4,5,0 days 00:01:25.512000,SOFT,5.0,1,1,12.8319444444096,63
5,6,0 days 00:01:25.660000,SOFT,6.0,1,1,181.78055555557876,16
6,7,0 days 00:01:25.297000,SOFT,7.0,1,1,200.76555555569212,16
7,8,0 days 00:01:25.618000,SOFT,8.0,1,1,195.21666666678357,16
8,9,0 days 00:01:25.886000,SOFT,9.0,1,1,183.38027777785464,16
9,10,0 days 00:01:25.953000,SOFT,10.0,1,1,158.18861111110164,16
10,11,0 days 00:01:25.858000,SOFT,11.0,1,1,141.222777777788,16
11,12,0 days 00:01:47.245000,SOFT,12.0,267,1,153.8211111111159,16
12,13,0 days 00:01:28.719000,SOFT,13.0,7,1,42.21861111122416,16
13,14,0 days 00:01:25.615000,SOFT,14.0,1,1,,
14,15,0 days 00:01:25.794000,SOFT,15.0,1,1,,
15,16,0 days 00:01:25.903000,SOFT,16.0,1,1,,
16,17,0 days 00:01:25.870000,SOFT,17.0,1,1,,
17,18,0 days 00:01:25.985000,SOFT,18.0,1,1,,
18,19,0 days 00:01:25.799000,SOFT,19.0,1,1,,
19,20,0 days 00:01:25.750000,SOFT,20.0,1,1,,
20,21,0 days 00:01:25.790000,SOFT,21.0,1,1,,
21,22,0 days 00:01:25.901000,SOFT,22.0,1,1,,
22,23,0 days 00:01:25.719000,SOFT,23.0,1,1,,
23,24,0 days 00:01:25.800000,SOFT,24.0,1,1,,
24,25,0 days 00:01:29.712000,SOFT,25.0,1,1,,
25,26,0 days 00:01:45.038000,MEDIUM,1.0,1,2,,
26,27,0 days 00:01:25.012000,MEDIUM,2.0,1,2,968.6466666674532,16
27,28,0 days 00:01:25.190000,MEDIUM,3.0,1,2,913.407777778455,16
28,29,0 days 00:01:24.829000,MEDIUM,4.0,1,2,865.1736111121427,16
29,30,0 days 00:01:24.798000,MEDIUM,5.0,1,2,806.3669444456755,16
30,31,0 days 00:01:25.071000,MEDIUM,6.0,1,2,743.6738888900145,16
31,32,0 days 00:01:24.918000,MEDIUM,7.0,1,2,698.0183333343884,16
32,33,0 days 00:01:25.095000,MEDIUM,8.0,1,2,602.7675000010931,16
33,34,0 days 00:01:24.857000,MEDIUM,9.0,1,2,114.15638889028924,16
34,35,0 days 00:01:24.831000,MEDIUM,10.0,1,2,,
35,36,0 days 00:01:24.919000,MEDIUM,11.0,1,2,,
36,37,0 days 00:01:24.829000,MEDIUM,12.0,1,2,,
37,38,0 days 00:01:24.745000,MEDIUM,13.0,1,2,,
38,39,0 days 00:01:24.815000,MEDIUM,14.0,1,2,,
39,40,0 days 00:01:24.905000,MEDIUM,15.0,1,2,,
40,41,0 days 00:01:25.078000,MEDIUM,16.0,1,2,,
