,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,MEDIUM,1.0,1,1,,
1,2,0 days 00:01:34.542000,MEDIUM,2.0,1,1,49.68388888888694,16
2,3,0 days 00:01:34.550000,MEDIUM,3.0,1,1,67.49888888888745,16
3,4,0 days 00:01:34.287000,MEDIUM,4.0,1,1,64.26249999999891,16
4,5,0 days 00:01:34.320000,MEDIUM,5.0,1,1,68.82805555553932,16
5,6,0 days 00:01:34.227000,MEDIUM,6.0,1,1,102.54999999995925,16
6,7,0 days 00:01:34.267000,MEDIUM,7.0,1,1,95.36861111109829,16
7,8,0 days 00:01:34.318000,MEDIUM,8.0,1,1,80.01666666679375,16
8,9,0 days 00:01:35.415000,MEDIUM,9.0,1,1,22.550000000228465,16
9,10,0 days 00:01:34.107000,MEDIUM,10.0,1,1,,
10,11,0 days 00:01:34.466000,MEDIUM,11.0,1,1,,
11,12,0 days 00:01:33.991000,MEDIUM,12.0,1,1,,
12,13,0 days 00:01:34.090000,MEDIUM,13.0,1,1,,
13,14,0 days 00:01:33.866000,MEDIUM,14.0,1,1,,
14,15,0 days 00:01:33.510000,MEDIUM,15.0,1,1,,
15,16,0 days 00:01:34.225000,MEDIUM,16.0,1,1,,
16,17,0 days 00:01:33.742000,MEDIUM,17.0,1,1,,
17,18,0 days 00:01:33.946000,MEDIUM,18.0,1,1,,
18,19,0 days 00:01:33.684000,MEDIUM,19.0,1,1,,
19,20,0 days 00:01:33.249000,MEDIUM,20.0,2,1,,
20,21,0 days 00:01:33.347000,MEDIUM,21.0,1,1,,
21,22,0 days 00:01:33.193000,MEDIUM,22.0,1,1,,
22,23,0 days 00:01:33.275000,MEDIUM,23.0,1,1,,
23,24,0 days 00:01:33.487000,MEDIUM,24.0,1,1,,
24,25,0 days 00:01:33.286000,MEDIUM,25.0,1,1,,
25,26,0 days 00:01:38.505000,MEDIUM,26.0,1,1,,
26,27,0 days 00:01:48.047000,HARD,1.0,1,2,,
27,28,0 days 00:01:33.135000,HARD,2.0,1,2,177.76361111050937,55
28,29,0 days 00:01:32.779000,HARD,3.0,1,2,,
29,30,0 days 00:01:33.216000,HARD,4.0,1,2,,
30,31,0 days 00:01:33.033000,HARD,5.0,1,2,,
31,32,0 days 00:01:32.742000,HARD,6.0,1,2,,
32,33,0 days 00:01:32.813000,HARD,7.0,1,2,,
