,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,INTERMEDIATE,1.0,2,2,,
1,2,0 days 00:02:23.143000,INTERMEDIATE,2.0,4,2,64.77999999999838,55
2,3,0 days 00:01:44.570000,INTERMEDIATE,3.0,1,2,51.564444444442415,55
3,4,0 days 00:01:42.377000,INTERMEDIATE,4.0,1,2,71.58888888887486,55
4,5,0 days 00:01:40.229000,INTERMEDIATE,5.0,1,2,96.19166666666024,55
5,6,0 days 00:01:38.270000,INTERMEDIATE,6.0,2,2,101.29833333333227,55
6,7,0 days 00:01:38.134000,INTERMEDIATE,7.0,1,2,130.34277777781972,55
7,8,0 days 00:01:37.285000,INTERMEDIATE,8.0,1,2,133.72083333341652,55
8,9,0 days 00:01:36.854000,INTERMEDIATE,9.0,1,2,142.43194444452092,55
9,10,0 days 00:01:36.883000,INTERMEDIATE,10.0,2,2,146.99083333341332,55
10,11,0 days 00:01:35.987000,INTERMEDIATE,11.0,2,2,156.12888888897214,55
11,12,0 days 00:01:35.597000,INTERMEDIATE,12.0,1,2,173.7358333334996,55
12,13,0 days 00:01:34.104000,INTERMEDIATE,13.0,1,2,202.0166666669029,55
13,14,0 days 00:01:33.245000,INTERMEDIATE,14.0,1,2,217.5413888891926,55
14,15,0 days 00:01:32.815000,INTERMEDIATE,15.0,1,2,233.67916666693054,55
15,16,0 days 00:01:48.107000,INTERMEDIATE,16.0,1,2,254.5847222224329,55
16,17,0 days 00:01:32.141000,INTERMEDIATE,17.0,2,2,24.34555555543193,14
17,18,0 days 00:01:25.215000,INTERMEDIATE,18.0,1,2,776.547777777756,1
18,19,0 days 00:01:26.966000,INTERMEDIATE,19.0,1,2,608.0797222224428,55
19,20,0 days 00:01:28.792000,INTERMEDIATE,20.0,1,2,360.10444444457244,55
20,21,0 days 00:01:29.371000,INTERMEDIATE,21.0,2,2,279.40666666664765,55
21,22,0 days 00:01:43.440000,INTERMEDIATE,22.0,1,2,1537.578611111283,16
22,23,0 days 00:01:34.149000,HARD,1.0,1,3,1533.165833333318,16
23,24,0 days 00:01:25.539000,HARD,2.0,1,3,85.2555555554718,55
24,25,0 days 00:01:22.206000,HARD,3.0,1,3,44.53000000005704,55
25,26,0 days 00:01:24.060000,HARD,4.0,2,3,14.749722222404671,55
26,27,0 days 00:01:57.255000,HARD,5.0,264,3,52.16944444477849,55
27,28,0 days 00:02:08.097000,HARD,6.0,4,3,27.5411111114081,55
28,29,0 days 00:01:59.039000,HARD,7.0,4,3,115.65416666692181,55
29,30,,HARD,8.0,45,3,89.08277777802141,55
30,31,,MEDIUM,1.0,1,4,,
31,32,0 days 00:02:03.485000,MEDIUM,2.0,1,4,1.5380555559095228,3
32,33,0 days 00:01:23.415000,MEDIUM,3.0,1,4,8.57861111125385,14
33,34,0 days 00:01:20.677000,MEDIUM,4.0,1,4,6.74194444467139,3
34,35,0 days 00:01:19.801000,MEDIUM,5.0,1,4,4.674722222043783,10
35,36,0 days 00:01:19.027000,MEDIUM,6.0,1,4,119.41861111151229,55
36,37,0 days 00:01:18.347000,MEDIUM,7.0,1,4,128.2680555558327,55
37,38,0 days 00:01:17.081000,MEDIUM,8.0,1,4,143.5397222225729,55
38,39,0 days 00:01:17.143000,MEDIUM,9.0,1,4,142.93250000027183,55
39,40,0 days 00:01:16.473000,MEDIUM,10.0,1,4,152.46000000018103,55
40,41,0 days 00:01:16.434000,MEDIUM,11.0,1,4,137.54416666686302,55
41,42,0 days 00:01:16.260000,MEDIUM,12.0,1,4,130.3813888891018,55
42,43,0 days 00:01:16.479000,MEDIUM,13.0,1,4,109.6572222225077,55
43,44,0 days 00:01:16.730000,MEDIUM,14.0,1,4,124.62361111133941,55
44,45,0 days 00:01:16.773000,MEDIUM,15.0,1,4,141.24416666629259,55
45,46,0 days 00:01:16.028000,MEDIUM,16.0,1,4,142.0861111106351,55
46,47,0 days 00:01:16.682000,MEDIUM,17.0,1,4,119.78055555495666,55
47,48,0 days 00:01:16.227000,MEDIUM,18.0,1,4,140.0138888884103,55
48,49,0 days 00:01:16.602000,MEDIUM,19.0,1,4,71.96416666620644,55
49,50,0 days 00:01:17.922000,MEDIUM,20.0,1,4,67.44749999945634,55
50,51,0 days 00:01:17.778000,MEDIUM,21.0,1,4,142.1041666661913,55
51,52,0 days 00:01:18.028000,MEDIUM,22.0,1,4,170.90388888854068,55
52,53,0 days 00:01:18.197000,MEDIUM,23.0,1,4,42.69194444446475,1
53,54,0 days 00:01:18.205000,MEDIUM,24.0,1,4,78.86833333325922,1
54,55,0 days 00:01:18.491000,MEDIUM,25.0,1,4,105.13249999997788,1
55,56,0 days 00:01:18.898000,MEDIUM,26.0,1,4,125.08388888865011,1
56,57,0 days 00:01:18.873000,MEDIUM,27.0,2,4,144.01388888884685,1
57,58,0 days 00:01:19.457000,MEDIUM,28.0,1,4,159.7241666666232,1
58,59,0 days 00:01:18.770000,MEDIUM,29.0,1,4,200.61333333307994,1
59,60,0 days 00:01:18.977000,MEDIUM,30.0,2,4,193.2286111107096,1
60,61,0 days 00:01:18.635000,MEDIUM,31.0,1,4,204.97499999945285,1
61,62,0 days 00:01:17.997000,MEDIUM,32.0,1,4,191.5355555547576,1
62,63,0 days 00:01:17.700000,MEDIUM,33.0,1,4,184.3333333323535,1
63,64,0 days 00:01:17.917000,MEDIUM,34.0,1,4,178.96749999915482,1
0,1,,HARD,1.0,2,2,,
1,2,0 days 00:02:24.070000,HARD,2.0,4,2,153.39472222222184,16
2,3,0 days 00:01:44.323000,HARD,3.0,1,2,231.2638888888887,16
