,DriverAhead,DistanceToDriverAhead,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus
0,,,1.0,,MEDIUM,1.0,1,1
1,16,76.57749999999396,2.0,0 days 00:01:35.275000,MEDIUM,2.0,1,1
2,16,116.2524999999896,3.0,0 days 00:01:34.890000,MEDIUM,3.0,1,1
3,16,148.8616666666312,4.0,0 days 00:01:34.700000,MEDIUM,4.0,1,1
4,16,160.0861111110935,5.0,0 days 00:01:34.809000,MEDIUM,5.0,1,1
5,16,135.11555555547966,6.0,0 days 00:01:34.840000,MEDIUM,6.0,1,1
6,16,165.38305555547413,7.0,0 days 00:01:34.634000,MEDIUM,7.0,1,1
7,16,181.053611111005,8.0,0 days 00:01:34.821000,MEDIUM,8.0,1,1
8,16,228.35111111105653,9.0,0 days 00:01:34.832000,MEDIUM,9.0,1,1
9,16,227.9313888887773,10.0,0 days 00:01:35.252000,MEDIUM,10.0,1,1
10,16,284.54694444431516,11.0,0 days 00:01:34.959000,MEDIUM,11.0,1,1
11,16,301.1266666665324,12.0,0 days 00:01:35.191000,MEDIUM,12.0,1,1
12,16,331.3524999998772,13.0,0 days 00:01:34.982000,MEDIUM,13.0,1,1
13,16,369.299722221971,14.0,0 days 00:01:35.093000,MEDIUM,14.0,1,1
14,16,362.1502777774149,15.0,0 days 00:01:35.370000,MEDIUM,15.0,1,1
15,11,58.55861111058039,16.0,0 days 00:01:44.577000,MEDIUM,16.0,1,264
16,16,243.3408333328989,17.0,,HARD,1.0,2,4
17,20,12.502499999667634,18.0,,HARD,2.0,2,4
18,16,240.78638888822752,19.0,0 days 00:02:29.635000,HARD,3.0,2,4
19,16,281.20388888816524,20.0,,HARD,4.0,2,4
20,44,122.11138888822461,21.0,0 days 00:01:35.227000,HARD,5.0,2,1
21,20,9.854444444004912,22.0,0 days 00:01:34.167000,HARD,6.0,2,1
22,55,108.46972222145996,23.0,0 days 00:01:33.688000,HARD,7.0,2,1
23,55,107.08333333258634,24.0,0 days 00:01:33.445000,HARD,8.0,2,1
24,55,97.99388888839167,25.0,0 days 00:01:33.301000,HARD,9.0,2,1
25,55,98.45527777765528,26.0,0 days 00:01:33.304000,HARD,10.0,2,1
26,55,113.27055555558763,27.0,0 days 00:01:33.059000,HARD,11.0,2,1
27,55,78.42749999999069,28.0,0 days 00:01:33.030000,HARD,12.0,2,1
28,55,92.26499999995576,29.0,0 days 00:01:32.930000,HARD,13.0,2,1
29,55,52.718055555509636,30.0,0 days 00:01:32.778000,HARD,14.0,2,1
30,55,55.1622222221049,31.0,0 days 00:01:32.897000,HARD,15.0,2,1
31,55,51.4036111109308,32.0,0 days 00:01:32.887000,HARD,16.0,2,1
32,55,59.188888888806105,33.0,0 days 00:01:32.855000,HARD,17.0,2,1
33,55,71.57388888887363,34.0,0 days 00:01:32.827000,HARD,18.0,2,1
34,55,82.27277777786367,35.0,0 days 00:01:32.474000,HARD,19.0,2,1
35,55,48.31305555574363,36.0,0 days 00:01:32.543000,HARD,20.0,2,1
36,55,23.281944444519468,37.0,0 days 00:01:33.124000,HARD,21.0,2,2
37,55,70.40833333364571,38.0,0 days 00:01:48.873000,HARD,22.0,2,26
38,16,624.9366666662681,39.0,0 days 00:02:07.594000,HARD,23.0,2,6
39,55,92.3061111109273,40.0,0 days 00:02:03.699000,HARD,24.0,2,6
40,16,568.329166665877,41.0,0 days 00:01:34.945000,HARD,25.0,2,67
41,16,521.8788888879062,42.0,0 days 00:01:32.755000,HARD,26.0,2,1
42,16,492.30277777669835,43.0,0 days 00:01:34.644000,HARD,27.0,2,1
43,55,89.61749999967287,44.0,0 days 00:01:32.302000,HARD,28.0,2,1
44,55,105.60861111059785,45.0,0 days 00:01:32.063000,HARD,29.0,2,1
45,55,100.94638888799818,46.0,0 days 00:01:32.737000,HARD,30.0,2,1
