,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,INTERMEDIATE,1.0,2,1,,
1,2,0 days 00:02:01.358000,INTERMEDIATE,2.0,1,1,,
2,3,0 days 00:02:00.875000,INTERMEDIATE,3.0,1,1,,
3,4,0 days 00:02:00.310000,INTERMEDIATE,4.0,1,1,,
4,5,0 days 00:02:00.267000,INTERMEDIATE,5.0,1,1,,
5,6,0 days 00:02:00.094000,INTERMEDIATE,6.0,1,1,,
6,7,0 days 00:02:00.714000,INTERMEDIATE,7.0,2,1,,
7,8,0 days 00:02:15.730000,INTERMEDIATE,8.0,24,1,,
8,9,,INTERMEDIATE,9.0,4,1,,
9,10,,INTERMEDIATE,10.0,4,1,,
10,11,0 days 00:01:59.580000,INTERMEDIATE,11.0,1,1,,
11,12,0 days 00:01:59.473000,INTERMEDIATE,12.0,1,1,,
12,13,0 days 00:01:59.434000,INTERMEDIATE,13.0,1,1,,
13,14,0 days 00:01:59.429000,INTERMEDIATE,14.0,1,1,,
14,15,0 days 00:01:59.018000,INTERMEDIATE,15.0,1,1,,
15,16,0 days 00:01:59.358000,INTERMEDIATE,16.0,1,1,,
16,17,0 days 00:01:59.238000,INTERMEDIATE,17.0,1,1,,
17,18,0 days 00:01:58.905000,INTERMEDIATE,18.0,1,1,,
18,19,0 days 00:01:58.717000,INTERMEDIATE,19.0,1,1,,
19,20,0 days 00:01:58.519000,INTERMEDIATE,20.0,1,1,,
20,21,0 days 00:01:58.780000,INTERMEDIATE,21.0,2,1,,
21,22,,INTERMEDIATE,22.0,26,1,,
22,23,0 days 00:02:03.986000,INTERMEDIATE,23.0,67,1,,
23,24,0 days 00:01:58.332000,INTERMEDIATE,24.0,1,1,,
24,25,0 days 00:01:58.161000,INTERMEDIATE,25.0,1,1,,
25,26,0 days 00:02:14.801000,INTERMEDIATE,26.0,26,1,,
26,27,0 days 00:02:06.003000,INTERMEDIATE,27.0,67,1,,
27,28,0 days 00:02:02.874000,INTERMEDIATE,28.0,26,1,,
28,29,,INTERMEDIATE,29.0,6,1,,
29,30,0 days 00:02:17.858000,INTERMEDIATE,30.0,67,1,,
30,31,0 days 00:01:57.451000,INTERMEDIATE,31.0,1,1,,
31,32,0 days 00:01:57.603000,INTERMEDIATE,32.0,1,1,,
32,33,0 days 00:01:56.945000,INTERMEDIATE,33.0,2,1,,
33,34,0 days 00:01:56.267000,INTERMEDIATE,34.0,1,1,,
34,35,0 days 00:02:06.352000,INTERMEDIATE,35.0,1,1,,
35,36,,MEDIUM,1.0,24,2,,
36,37,,MEDIUM,2.0,4,2,,
37,38,,MEDIUM,3.0,4,2,,
38,39,,MEDIUM,4.0,4,2,,
39,40,0 days 00:01:56.340000,MEDIUM,5.0,1,2,147.3750000014261,16
40,41,0 days 00:01:53.693000,MEDIUM,6.0,1,2,192.56611111253733,16
41,42,0 days 00:01:52.701000,MEDIUM,7.0,1,2,298.1266666681913,16
42,43,0 days 00:01:51.903000,MEDIUM,8.0,1,2,405.9677777796751,16
43,44,0 days 00:01:51.355000,MEDIUM,9.0,1,2,518.660000001546,16
44,45,0 days 00:01:50.538000,MEDIUM,10.0,1,2,594.5905555574282,16
45,46,0 days 00:01:50.363000,MEDIUM,11.0,1,2,714.6000000019849,16
46,47,0 days 00:01:50.501000,MEDIUM,12.0,1,2,782.6263888908725,16
47,48,0 days 00:01:49.500000,MEDIUM,13.0,1,2,910.9794444460713,16
48,49,0 days 00:01:49.189000,MEDIUM,14.0,1,2,958.6758333349717,16
49,50,0 days 00:01:49.285000,MEDIUM,15.0,1,2,1069.712500001624,16
50,51,0 days 00:01:49.565000,MEDIUM,16.0,1,2,1184.5458333347342,16
51,52,0 days 00:01:48.841000,MEDIUM,17.0,1,2,1251.0425000016403,16
52,53,0 days 00:01:48.578000,MEDIUM,18.0,1,2,1314.2494444458862,16
53,54,0 days 00:01:48.576000,MEDIUM,19.0,1,2,1387.2716666683555,16
54,55,0 days 00:01:48.645000,MEDIUM,20.0,1,2,1467.5177777800127,16
55,56,0 days 00:01:48.251000,MEDIUM,21.0,1,2,1544.9302777797566,16
56,57,0 days 00:01:48.165000,MEDIUM,22.0,1,2,1631.0886111137224,16
57,58,0 days 00:01:49.009000,MEDIUM,23.0,1,2,1670.0611111132312,16
58,59,0 days 00:01:49.652000,MEDIUM,24.0,1,2,1640.9155555575271,16
0,1,,INTERMEDIATE,1.0,2,1,,
1,2,0 days 00:02:01.214000,INTERMEDIATE,2.0,1,1,83.53666666666413,11
2,3,0 days 00:02:00.939000,INTERMEDIATE,3.0,1,1,64.54694444444067,11
3,4,0 days 00:02:00.734000,INTERMEDIATE,4.0,1,1,47.38583333335009,11
4,5,0 days 00:02:00.219000,INTERMEDIATE,5.0,1,1,77.76055555557832,11
5,6,0 days 00:02:00.229000,INTERMEDIATE,6.0,1,1,80.56777777781099,11
6,7,0 days 00:02:00.138000,INTERMEDIATE,7.0,2,1,77.10388888893067,11
7,8,0 days 00:02:16.598000,INTERMEDIATE,8.0,24,1,27.533055555577448,11
8,9,,INTERMEDIATE,9.0,4,1,86.01444444448134,11
9,10,,INTERMEDIATE,10.0,4,1,122.25000000010914,11
10,11,0 days 00:02:00.177000,INTERMEDIATE,11.0,1,1,1.8608333336087526,55
11,12,0 days 00:01:59.328000,INTERMEDIATE,12.0,1,1,51.709444444633846,11
12,13,0 days 00:01:59.653000,INTERMEDIATE,13.0,1,1,41.2302777779405,11
13,14,0 days 00:01:59.603000,INTERMEDIATE,14.0,1,1,59.41638888906891,11
14,15,0 days 00:01:59.357000,INTERMEDIATE,15.0,1,1,82.84000000024389,11
15,16,0 days 00:01:59.359000,INTERMEDIATE,16.0,1,1,111.09944444459688,11
16,17,0 days 00:01:58.983000,INTERMEDIATE,17.0,1,1,121.78666666688514,11
17,18,0 days 00:01:59.115000,INTERMEDIATE,18.0,1,1,107.53555555558705,11
18,19,0 days 00:01:59.176000,INTERMEDIATE,19.0,1,1,127.83888888896035,11
19,20,0 days 00:01:59.107000,INTERMEDIATE,20.0,1,1,159.19861111106002,11
20,21,0 days 00:01:59.446000,INTERMEDIATE,21.0,2,1,198.87416666658828,11
21,22,,INTERMEDIATE,22.0,26,1,248.9663888891373,11
22,23,0 days 00:02:03.112000,INTERMEDIATE,23.0,67,1,142.10444444468885,11
23,24,0 days 00:01:58.443000,INTERMEDIATE,24.0,1,1,185.35083333360672,11
24,25,0 days 00:01:58.576000,INTERMEDIATE,25.0,2,1,196.97250000025088,11
25,26,0 days 00:02:15.018000,INTERMEDIATE,26.0,26,1,217.7752777779242,11
26,27,0 days 00:02:06.478000,INTERMEDIATE,27.0,67,1,192.14194444457826,11
27,28,0 days 00:02:04.950000,INTERMEDIATE,28.0,26,1,283.0158333333966,11
28,29,,INTERMEDIATE,29.0,6,1,233.70083333313232,11
29,30,0 days 00:02:15.377000,INTERMEDIATE,30.0,67,1,380.3736111105827,11
30,31,0 days 00:01:56.259000,INTERMEDIATE,31.0,1,1,312.31611111052916,11
31,32,0 days 00:01:57.226000,INTERMEDIATE,32.0,1,1,226.60194444347871,11
32,33,0 days 00:01:56.811000,INTERMEDIATE,33.0,2,1,202.11027777698473,11
33,34,0 days 00:02:05.037000,INTERMEDIATE,34.0,1,1,208.08972222101875,11
34,35,0 days 00:02:27.541000,MEDIUM,1.0,1,2,608.082222221361,11
35,36,0 days 00:02:17.673000,MEDIUM,2.0,24,2,537.5149999990244,11
36,37,,MEDIUM,3.0,4,2,385.845555554406,11
37,38,,MEDIUM,4.0,4,2,47.53888888726942,11
38,39,,MEDIUM,5.0,4,2,109.04972222063225,11
39,40,0 days 00:01:56.709000,MEDIUM,6.0,1,2,,
40,41,0 days 00:01:53.302000,MEDIUM,7.0,1,2,,
41,42,0 days 00:01:52.533000,MEDIUM,8.0,1,2,,
42,43,0 days 00:01:51.724000,MEDIUM,9.0,1,2,,
43,44,0 days 00:01:51.582000,MEDIUM,10.0,1,2,,
44,45,0 days 00:01:50.328000,MEDIUM,11.0,1,2,,
45,46,0 days 00:01:50.798000,MEDIUM,12.0,1,2,,
46,47,0 days 00:01:50.151000,MEDIUM,13.0,1,2,,
47,48,0 days 00:01:50.469000,MEDIUM,14.0,1,2,,
48,49,0 days 00:01:49.177000,MEDIUM,15.0,1,2,,
49,50,0 days 00:01:49.336000,MEDIUM,16.0,1,2,,
50,51,0 days 00:01:50.099000,MEDIUM,17.0,1,2,,
51,52,0 days 00:01:49.557000,MEDIUM,18.0,1,2,,
52,53,0 days 00:01:48.839000,MEDIUM,19.0,1,2,,
53,54,0 days 00:01:48.753000,MEDIUM,20.0,1,2,,
54,55,0 days 00:01:49.016000,MEDIUM,21.0,1,2,,
55,56,0 days 00:01:49.012000,MEDIUM,22.0,1,2,,
56,57,0 days 00:01:49.069000,MEDIUM,23.0,1,2,,
57,58,0 days 00:01:51.181000,MEDIUM,24.0,1,2,,
58,59,0 days 00:01:49.913000,MEDIUM,25.0,1,2,,
0,1,,INTERMEDIATE,1.0,2,1,,
1,2,0 days 00:02:02.702000,INTERMEDIATE,2.0,1,1,117.23555555555868,16
2,3,0 days 00:02:01.872000,INTERMEDIATE,3.0,1,1,224.74638888891423,16
3,4,0 days 00:02:01.488000,INTERMEDIATE,4.0,1,1,279.16305555557847,16
4,5,0 days 00:02:01.111000,INTERMEDIATE,5.0,1,1,302.82416666665085,16
5,6,0 days 00:02:00.428000,INTERMEDIATE,6.0,1,1,305.2558333333218,16
6,7,0 days 00:02:00.833000,INTERMEDIATE,7.0,2,1,307.8730555555012,16
7,8,0 days 00:02:14.044000,INTERMEDIATE,8.0,24,1,335.08722222218785,11
8,9,,INTERMEDIATE,9.0,4,1,172.22749999977532,16
9,10,,INTERMEDIATE,10.0,4,1,18.168611110806523,16
10,11,0 days 00:02:01.252000,INTERMEDIATE,11.0,1,1,0.291666666380479,16
11,12,0 days 00:02:00.463000,INTERMEDIATE,12.0,1,1,67.86833333302638,16
12,13,0 days 00:02:00.631000,INTERMEDIATE,13.0,1,1,149.65861111084087,16
13,14,0 days 00:02:00.917000,INTERMEDIATE,14.0,1,1,225.3505555553129,16
14,15,0 days 00:02:00.439000,INTERMEDIATE,15.0,1,1,271.0072222220042,16
15,16,0 days 00:02:00.389000,INTERMEDIATE,16.0,1,1,313.28055555526225,16
16,17,0 days 00:02:00.144000,INTERMEDIATE,17.0,1,1,320.5508333328471,16
17,18,0 days 00:02:00.061000,INTERMEDIATE,18.0,1,1,366.50472222176904,16
18,19,0 days 00:01:59.869000,INTERMEDIATE,19.0,1,1,382.21277777726937,16
19,20,0 days 00:02:00.003000,INTERMEDIATE,20.0,1,1,393.1499999995867,16
20,21,0 days 00:02:06.780000,INTERMEDIATE,21.0,26,1,419.40444444396417,16
21,22,,INTERMEDIATE,22.0,67,1,455.81222222147335,16
22,23,0 days 00:02:01.685000,INTERMEDIATE,23.0,7,1,421.2919444439176,16
23,24,0 days 00:01:58.940000,INTERMEDIATE,24.0,1,1,514.4102777774242,16
24,25,0 days 00:01:59.192000,INTERMEDIATE,25.0,2,1,531.4177777775185,16
25,26,0 days 00:02:17.465000,INTERMEDIATE,26.0,26,1,557.5927777776378,16
26,27,0 days 00:02:04.708000,INTERMEDIATE,27.0,67,1,490.92611111086444,16
27,28,0 days 00:02:10.081000,INTERMEDIATE,28.0,26,1,584.1236111109029,16
28,29,,INTERMEDIATE,29.0,6,1,571.8644444444799,16
29,30,0 days 00:02:12.223000,INTERMEDIATE,30.0,67,1,543.6080555563094,16
30,31,0 days 00:01:57.456000,INTERMEDIATE,31.0,1,1,633.481666667416,16
31,32,0 days 00:01:58.538000,INTERMEDIATE,32.0,1,1,699.8108333341661,16
32,33,0 days 00:01:58.780000,INTERMEDIATE,33.0,2,1,763.2008333342965,16
33,34,0 days 00:01:58.296000,INTERMEDIATE,34.0,1,1,830.2261111123371,16
34,35,0 days 00:02:07.162000,INTERMEDIATE,35.0,1,1,1059.7369444442738,11
35,36,,MEDIUM,1.0,24,2,304.68472222221317,11
36,37,,MEDIUM,2.0,4,2,757.371388890082,16
37,38,,MEDIUM,3.0,4,2,32.93277777932235,16
38,39,,MEDIUM,4.0,4,2,124.41750000140746,16
39,40,0 days 00:01:58.724000,MEDIUM,5.0,1,2,18.379166666942183,11
40,41,0 days 00:01:54.980000,MEDIUM,6.0,1,2,199.65000000075088,11
41,42,0 days 00:01:53.471000,MEDIUM,7.0,1,2,272.8227777784632,11
42,43,0 days 00:01:54.241000,MEDIUM,8.0,1,2,307.5302777780453,11
43,44,0 days 00:01:52.063000,MEDIUM,9.0,1,2,390.257500000298,11
44,45,0 days 00:01:50.988000,MEDIUM,10.0,1,2,429.8152777777286,11
45,46,0 days 00:01:51.048000,MEDIUM,11.0,1,2,444.2513888888643,11
46,47,0 days 00:01:50.340000,MEDIUM,12.0,1,2,455.56916666650795,11
47,48,0 days 00:01:50.101000,MEDIUM,13.0,1,2,447.47111111102276,11
48,49,0 days 00:01:50.005000,MEDIUM,14.0,1,2,460.11000000001513,11
49,50,0 days 00:01:50.096000,MEDIUM,15.0,1,2,466.675000000163,11
50,51,0 days 00:01:49.424000,MEDIUM,16.0,1,2,474.3380555556505,11
51,52,0 days 00:01:49.683000,MEDIUM,17.0,1,2,466.81777777781826,11
52,53,0 days 00:01:49.420000,MEDIUM,18.0,1,2,484.77944444393506,11
53,54,0 days 00:01:49.626000,MEDIUM,19.0,1,2,529.9133333330392,11
54,55,0 days 00:01:49.346000,MEDIUM,20.0,1,2,590.3966666663182,11
55,56,0 days 00:01:49.013000,MEDIUM,21.0,1,2,653.9902777774842,11
56,57,0 days 00:01:48.712000,MEDIUM,22.0,1,2,688.9149999995716,11
57,58,0 days 00:01:48.746000,MEDIUM,23.0,1,2,746.5147222224041,11
58,59,0 days 00:01:48.414000,MEDIUM,24.0,1,2,708.2902777771815,11
0,1,,INTERMEDIATE,1.0,2,1,,
1,2,0 days 00:02:04.065000,INTERMEDIATE,2.0,1,1,78.81333333332987,44
2,3,0 days 00:02:02.717000,INTERMEDIATE,3.0,1,1,167.19527777775693,44
3,4,0 days 00:02:02.313000,INTERMEDIATE,4.0,1,1,237.72222222220626,44
4,5,0 days 00:02:02.322000,INTERMEDIATE,5.0,1,1,289.0227777777436,44
