,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,SOFT,4.0,2,1,,
1,2,0 days 00:01:27.509000,SOFT,5.0,1,1,73.66944444444562,16
2,3,0 days 00:01:27.574000,SOFT,6.0,1,1,81.62166666667872,16
3,4,0 days 00:01:27.601000,SOFT,7.0,1,1,128.29944444443754,16
4,5,0 days 00:01:27.937000,SOFT,8.0,1,1,130.22472222220676,16
5,6,0 days 00:01:27.761000,SOFT,9.0,1,1,148.5272222222011,16
6,7,0 days 00:01:28.070000,SOFT,10.0,2,1,179.67749999997977,16
7,8,0 days 00:01:28.115000,SOFT,11.0,1,1,192.6366666666181,16
8,9,0 days 00:01:36.463000,SOFT,12.0,2,1,225.79777777770505,16
9,10,0 days 00:01:29.262000,SOFT,13.0,1,1,52.9213888889135,11
10,11,0 days 00:01:29.192000,SOFT,14.0,1,1,50.94722222223936,11
11,12,0 days 00:01:29.055000,SOFT,15.0,1,1,219.23388888878253,63
12,13,0 days 00:01:32.379000,SOFT,16.0,1,1,239.51055555532366,63
13,14,0 days 00:01:45.251000,MEDIUM,1.0,1,2,186.20944444436464,11
14,15,0 days 00:01:27.317000,MEDIUM,2.0,1,2,269.22083333302,77
15,16,0 days 00:01:28.085000,MEDIUM,3.0,1,2,267.0297222219233,63
16,17,0 days 00:01:28.130000,MEDIUM,4.0,1,2,289.6288888886629,63
17,18,0 days 00:01:28.336000,MEDIUM,5.0,1,2,142.43638888876012,11
18,19,0 days 00:01:27.954000,MEDIUM,6.0,1,2,310.39499999991676,63
19,20,0 days 00:01:28.275000,MEDIUM,7.0,1,2,321.46666666654346,63
20,21,0 days 00:01:28.094000,MEDIUM,8.0,1,2,342.0147222220112,63
21,22,0 days 00:01:28.207000,MEDIUM,9.0,1,2,362.49555555547704,63
22,23,0 days 00:01:28.466000,MEDIUM,10.0,1,2,382.03666666672507,63
23,24,0 days 00:01:29.602000,MEDIUM,11.0,1,2,394.62250000009954,63
24,25,0 days 00:01:28.957000,MEDIUM,12.0,1,2,69.25777777811163,11
25,26,0 days 00:01:28.486000,MEDIUM,13.0,1,2,135.19111111156235,11
26,27,0 days 00:01:28.533000,MEDIUM,14.0,1,2,144.57750000036322,11
27,28,0 days 00:01:32.263000,MEDIUM,15.0,1,2,87.15194444423832,16
28,29,0 days 00:01:43.366000,SOFT,4.0,1,3,493.2272222224128,11
29,30,0 days 00:01:25.732000,SOFT,5.0,1,3,702.9249999999884,77
30,31,0 days 00:01:27,SOFT,6.0,1,3,459.7052777776844,77
31,32,0 days 00:01:25.974000,SOFT,7.0,1,3,266.28833333333023,77
32,33,0 days 00:01:26.799000,SOFT,8.0,1,3,73.72638888869551,77
33,34,0 days 00:01:26.517000,SOFT,9.0,1,3,1014.9938888888282,63
34,35,0 days 00:01:26.951000,SOFT,10.0,1,3,808.2977777775959,63
35,36,0 days 00:01:27.255000,SOFT,11.0,1,3,657.4483333332755,63
36,37,0 days 00:01:26.773000,SOFT,12.0,1,3,382.62555555586005,63
37,38,0 days 00:01:26.586000,SOFT,13.0,1,3,272.39055555601954,11
38,39,0 days 00:01:26.776000,SOFT,14.0,1,3,,
39,40,0 days 00:01:26.930000,SOFT,15.0,1,3,,
40,41,0 days 00:01:27.455000,SOFT,16.0,1,3,,
41,42,0 days 00:01:27.176000,SOFT,17.0,1,3,,
42,43,0 days 00:01:27.134000,SOFT,18.0,1,3,,
43,44,0 days 00:01:30.814000,SOFT,19.0,1,3,,
44,45,0 days 00:01:43.854000,MEDIUM,1.0,1,4,,
45,46,0 days 00:01:25.456000,MEDIUM,2.0,1,4,320.32083333298215,63
46,47,0 days 00:01:25.704000,MEDIUM,3.0,1,4,195.46444444416557,63
47,48,0 days 00:01:25.755000,MEDIUM,4.0,1,4,123.08666666640784,63
48,49,0 days 00:01:26.242000,MEDIUM,5.0,1,4,114.81944444397232,63
49,50,0 days 00:01:26.491000,MEDIUM,6.0,1,4,92.19555555540137,63
50,51,0 days 00:01:26.660000,MEDIUM,7.0,1,4,82.73277777771,63
51,52,0 days 00:01:26.785000,MEDIUM,8.0,1,4,77.85138888901565,63
52,53,0 days 00:01:26.656000,MEDIUM,9.0,1,4,65.20555555567262,11
53,54,0 days 00:01:26.935000,MEDIUM,10.0,1,4,20.017222222522832,11
54,55,0 days 00:01:27.015000,MEDIUM,11.0,1,4,,
55,56,0 days 00:01:27.038000,MEDIUM,12.0,1,4,,
56,57,0 days 00:01:26.618000,MEDIUM,13.0,1,4,,
57,58,0 days 00:01:26.621000,MEDIUM,14.0,1,4,,
58,59,0 days 00:01:26.863000,MEDIUM,15.0,1,4,,
59,60,0 days 00:01:26.590000,MEDIUM,16.0,1,4,,
60,61,0 days 00:01:26.819000,MEDIUM,17.0,1,4,,
61,62,0 days 00:01:26.924000,MEDIUM,18.0,1,4,,
62,63,0 days 00:01:27.205000,MEDIUM,19.0,1,4,,
63,64,0 days 00:01:27.345000,MEDIUM,20.0,1,4,,
64,65,0 days 00:01:27.611000,MEDIUM,21.0,1,4,,
65,66,0 days 00:01:27.437000,MEDIUM,22.0,1,4,,
0,1,,SOFT,4.0,2,1,,
1,2,0 days 00:01:27.791000,SOFT,5.0,1,1,128.3938888888879,63
2,3,0 days 00:01:27.942000,SOFT,6.0,1,1,125.48166666667748,63
3,4,0 days 00:01:28.119000,SOFT,7.0,1,1,147.99166666667406,63
4,5,0 days 00:01:28.534000,SOFT,8.0,1,1,151.73555555553685,63
5,6,0 days 00:01:28.708000,SOFT,9.0,1,1,151.69583333332412,63
6,7,0 days 00:01:28.456000,SOFT,10.0,2,1,171.71666666669626,63
7,8,0 days 00:01:28.703000,SOFT,11.0,1,1,154.69527777772237,63
8,9,0 days 00:01:29.475000,SOFT,12.0,2,1,160.1563888889359,63
9,10,0 days 00:01:29.546000,SOFT,13.0,1,1,166.67805555544328,63
10,11,0 days 00:01:30.777000,SOFT,14.0,1,1,178.61499999990338,63
11,12,0 days 00:01:29.571000,SOFT,15.0,1,1,65.80027777779469,1
12,13,0 days 00:01:29.348000,SOFT,16.0,1,1,104.96833333342511,1
13,14,0 days 00:01:29.176000,SOFT,17.0,1,1,84.64749999991182,63
14,15,0 days 00:01:29.283000,SOFT,18.0,1,1,1070.0961111108554,16
15,16,0 days 00:01:29.234000,SOFT,19.0,1,1,1112.4116666663904,16
16,17,0 days 00:01:32.728000,SOFT,20.0,1,1,1151.7783333330735,16
17,18,0 days 00:01:45.488000,MEDIUM,1.0,1,2,1465.9580555553985,16
18,19,0 days 00:01:27.169000,MEDIUM,2.0,1,2,533.5655555555713,1
19,20,0 days 00:01:27.312000,MEDIUM,3.0,1,2,399.25833333304035,1
20,21,0 days 00:01:27.383000,MEDIUM,4.0,1,2,312.6344444441638,1
21,22,0 days 00:01:27.419000,MEDIUM,5.0,1,2,225.12083333305782,1
22,23,0 days 00:01:28.060000,MEDIUM,6.0,1,2,152.90749999972468,1
23,24,0 days 00:01:27.722000,MEDIUM,7.0,1,2,112.68138888852263,1
24,25,0 days 00:01:28.409000,MEDIUM,8.0,1,2,337.873333333162,63
25,26,0 days 00:01:28.498000,MEDIUM,9.0,1,2,304.5288888887444,63
26,27,0 days 00:01:28.642000,MEDIUM,10.0,1,2,300.10916666664707,63
27,28,0 days 00:01:28.610000,MEDIUM,11.0,1,2,321.82250000018394,63
28,29,0 days 00:01:27.972000,MEDIUM,12.0,1,2,310.9975000000559,63
29,30,0 days 00:01:28.328000,MEDIUM,13.0,1,2,249.85138888892834,63
30,31,0 days 00:01:27.920000,MEDIUM,14.0,1,2,242.656944444112,63
31,32,0 days 00:01:28.276000,MEDIUM,15.0,1,2,66.97249999968335,63
32,33,0 days 00:01:28.393000,MEDIUM,16.0,1,2,,
33,34,0 days 00:01:28.047000,MEDIUM,17.0,1,2,,
34,35,0 days 00:01:28.288000,MEDIUM,18.0,1,2,,
