,LapNumber,LapTime,Compound,TyreLife,TrackStatus,Stint,DistanceToDriverAhead,DriverAhead
0,1,,MEDIUM,1.0,2,1,,
1,2,0 days 00:01:41.696000,MEDIUM,2.0,1,1,,
2,3,0 days 00:01:41.893000,MEDIUM,3.0,1,1,22.530000000020664,44
3,4,0 days 00:01:42.581000,MEDIUM,4.0,1,1,15.45750000002954,44
4,5,0 days 00:01:42.870000,MEDIUM,5.0,1,1,21.83305555554398,44
5,6,0 days 00:01:42.826000,MEDIUM,6.0,1,1,28.068055555540923,44
6,7,0 days 00:01:42.314000,MEDIUM,7.0,1,1,46.026388888905785,44
7,8,0 days 00:01:42.830000,MEDIUM,8.0,1,1,24.678611111179634,44
8,9,0 days 00:01:42.412000,MEDIUM,9.0,1,1,33.76444444449589,44
9,10,0 days 00:01:42.492000,MEDIUM,10.0,1,1,15.917500000017753,44
10,11,0 days 00:01:42.583000,MEDIUM,11.0,1,1,23.73805555544095,44
11,12,0 days 00:01:43.011000,MEDIUM,12.0,1,1,26.295833333169867,44
12,13,0 days 00:01:42.675000,MEDIUM,13.0,1,1,22.487499999850115,44
13,14,0 days 00:02:02.112000,HARD,1.0,1,2,,
14,15,0 days 00:01:42.424000,HARD,2.0,1,2,9.218888888615766,44
15,16,0 days 00:01:41.905000,HARD,3.0,1,2,28.103333333216142,18
16,17,0 days 00:01:42.483000,HARD,4.0,1,2,,
17,18,0 days 00:01:59.720000,HARD,5.0,24,2,,
18,19,,HARD,6.0,4,2,24.046666666094097,44
19,20,,HARD,7.0,4,2,157.85888888880436,44
20,21,,HARD,8.0,4,2,167.11083333333954,44
21,22,0 days 00:02:02.170000,HARD,9.0,24,2,206.5447222222283,44
22,23,,HARD,10.0,4,2,212.06055555555213,44
23,24,,HARD,11.0,4,2,229.42250000000058,44
24,25,,HARD,12.0,4,2,245.06888888914546,44
25,26,0 days 00:01:41.378000,HARD,13.0,1,2,251.13361111129052,44
26,27,0 days 00:01:41.505000,HARD,14.0,1,2,214.5766666670097,44
27,28,0 days 00:01:41.538000,HARD,15.0,1,2,187.88527777895797,44
28,29,0 days 00:01:41.045000,HARD,16.0,1,2,196.2366666678572,44
29,30,0 days 00:01:41.184000,HARD,17.0,1,2,179.99138889007736,44
30,31,0 days 00:01:41.411000,HARD,18.0,1,2,169.56916666781763,44
31,32,0 days 00:01:41.338000,HARD,19.0,1,2,160.92194444558118,44
32,33,0 days 00:01:41.721000,HARD,20.0,1,2,173.6341666681401,44
33,34,0 days 00:01:41.242000,HARD,21.0,1,2,177.71888889023103,44
34,35,0 days 00:01:41.289000,HARD,22.0,1,2,146.11166666806093,44
35,36,0 days 00:02:07.712000,MEDIUM,1.0,1,3,,
36,37,0 days 00:01:39.541000,MEDIUM,2.0,1,3,131.72666666764417,20
37,38,0 days 00:01:40.211000,MEDIUM,3.0,1,3,398.82722222348093,11
38,39,0 days 00:01:40.337000,MEDIUM,4.0,1,3,668.7083333343326,5
39,40,0 days 00:01:40.108000,MEDIUM,5.0,1,3,624.3022222230793,5
40,41,0 days 00:01:40.077000,MEDIUM,6.0,1,3,453.41000000122585,5
41,42,0 days 00:01:40.010000,MEDIUM,7.0,1,3,110.60388889012393,5
42,43,0 days 00:01:39.776000,MEDIUM,8.0,1,3,669.7172222236113,44
43,44,0 days 00:01:40.410000,MEDIUM,9.0,1,3,658.6269444456557,44
44,45,0 days 00:01:39.986000,MEDIUM,10.0,1,3,644.5300000011048,44
45,46,0 days 00:01:39.945000,MEDIUM,11.0,1,3,659.766666667565,44
46,47,0 days 00:01:40.058000,MEDIUM,12.0,1,3,660.6772222228465,44
47,48,0 days 00:01:40.271000,MEDIUM,13.0,1,3,644.321666666976,44
48,49,0 days 00:01:40.230000,MEDIUM,14.0,1,3,663.9338888893544,44
49,50,0 days 00:01:40.830000,MEDIUM,15.0,1,3,661.409166667203,44
50,51,0 days 00:01:40.152000,MEDIUM,16.0,1,3,579.0058333346387,44
51,52,0 days 00:01:40.431000,MEDIUM,17.0,1,3,568.8383333344245,44
52,53,0 days 00:01:40.297000,MEDIUM,18.0,1,3,578.3838888895698,44
53,54,0 days 00:01:40.168000,MEDIUM,19.0,1,3,572.5197222233983,44
54,55,0 days 00:01:40.674000,MEDIUM,20.0,1,3,547.8577777790488,44
55,56,0 days 00:01:40.654000,MEDIUM,21.0,1,3,539.7261111125117,44
0,1,,MEDIUM,1.0,2,1,,
